F,G,H,I,J,O
Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Divorced,Handlers-cleaners,Not-in-family,White,Male,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,<=50K
Married-civ-spouse,Prof-specialty,Wife,Black,Female,<=50K
Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50K
Married-spouse-absent,Other-service,Not-in-family,Black,Female,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Prof-specialty,Not-in-family,White,Female,>50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Married-civ-spouse,Exec-managerial,Husband,Black,Male,>50K
Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50K
Never-married,Adm-clerical,Own-child,White,Female,<=50K
Never-married,Sales,Not-in-family,Black,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,>50K
Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,<=50K
Never-married,Farming-fishing,Own-child,White,Male,<=50K
Never-married,Machine-op-inspct,Unmarried,White,Male,<=50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Divorced,Exec-managerial,Unmarried,White,Female,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Separated,Other-service,Unmarried,Black,Female,<=50K
Married-civ-spouse,Farming-fishing,Husband,Black,Male,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Divorced,Tech-support,Unmarried,White,Female,<=50K
Married-civ-spouse,Tech-support,Husband,White,Male,>50K
Never-married,Craft-repair,Own-child,White,Male,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Asian-Pac-Islander,Male,>50K
Divorced,Exec-managerial,Not-in-family,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Protective-serv,Not-in-family,White,Male,<=50K
Never-married,Sales,Own-child,Black,Male,<=50K
Divorced,Exec-managerial,Own-child,White,Male,<=50K
Married-civ-spouse,Adm-clerical,Own-child,White,Male,<=50K
Married-civ-spouse,Other-service,Husband,Black,Male,<=50K
Never-married,Machine-op-inspct,Unmarried,White,Male,<=50K
Never-married,Machine-op-inspct,Own-child,White,Male,<=50K
Married-AF-spouse,Adm-clerical,Wife,White,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Married-civ-spouse,Tech-support,Husband,White,Male,<=50K
Separated,Adm-clerical,Unmarried,White,Female,<=50K
Never-married,Handlers-cleaners,Not-in-family,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,Black,Male,>50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Divorced,Exec-managerial,Unmarried,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Wife,Other,Female,<=50K
Never-married,Other-service,Own-child,White,Female,<=50K
Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
Divorced,Exec-managerial,Not-in-family,White,Male,>50K
Divorced,Exec-managerial,Not-in-family,White,Male,<=50K
Married-civ-spouse,Tech-support,Husband,White,Male,>50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Married-spouse-absent,noValueSetHere123156456,Not-in-family,White,Male,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Divorced,Tech-support,Not-in-family,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
Married-civ-spouse,Adm-clerical,Wife,White,Female,>50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
Never-married,Prof-specialty,Own-child,White,Male,<=50K
Separated,Sales,Own-child,Black,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Other-relative,White,Male,<=50K
Never-married,Other-service,Own-child,White,Male,<=50K
Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
Never-married,Other-service,Own-child,White,Female,<=50K
Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Never-married,Sales,Not-in-family,White,Male,<=50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Married-civ-spouse,Other-service,Wife,White,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Divorced,Craft-repair,Not-in-family,White,Female,>50K
Divorced,Sales,Own-child,White,Female,<=50K
Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Never-married,Sales,Not-in-family,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,White,Female,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Divorced,Craft-repair,Unmarried,White,Female,<=50K
Divorced,Machine-op-inspct,Unmarried,Black,Female,<=50K
Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,<=50K
Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
Never-married,Handlers-cleaners,Not-in-family,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Divorced,Exec-managerial,Unmarried,White,Female,<=50K
Never-married,Other-service,Own-child,Black,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
Never-married,Tech-support,Own-child,White,Female,<=50K
Never-married,Craft-repair,Not-in-family,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Never-married,noValueSetHere123156456,Own-child,White,Female,<=50K
Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
Never-married,Sales,Other-relative,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Other-service,Husband,White,Male,>50K
Married-civ-spouse,Sales,Wife,White,Female,<=50K
Never-married,Machine-op-inspct,Own-child,White,Female,<=50K
