H,I,N,O
Not-in-family,White,United-States,<=50K
Husband,White,United-States,<=50K
Not-in-family,White,United-States,<=50K
Husband,Black,United-States,<=50K
Wife,Black,Cuba,<=50K
Wife,White,United-States,<=50K
Not-in-family,Black,Jamaica,<=50K
Husband,White,United-States,>50K
Not-in-family,White,United-States,>50K
Husband,White,United-States,>50K
Husband,Black,United-States,>50K
Husband,Asian-Pac-Islander,India,>50K
Own-child,White,United-States,<=50K
Not-in-family,Black,United-States,<=50K
Husband,Asian-Pac-Islander,noValueSetHere123156456,>50K
Husband,Amer-Indian-Eskimo,Mexico,<=50K
Own-child,White,United-States,<=50K
Unmarried,White,United-States,<=50K
Husband,White,United-States,<=50K
Unmarried,White,United-States,>50K
Husband,White,United-States,>50K
Unmarried,Black,United-States,<=50K
Husband,Black,United-States,<=50K
Husband,White,United-States,<=50K
Unmarried,White,United-States,<=50K
Husband,White,United-States,>50K
Own-child,White,United-States,<=50K
Husband,Asian-Pac-Islander,South,>50K
Not-in-family,White,United-States,<=50K
Husband,White,United-States,<=50K
Not-in-family,White,United-States,<=50K
Own-child,Black,United-States,<=50K
Own-child,White,United-States,<=50K
Own-child,White,United-States,<=50K
Husband,Black,United-States,<=50K
Unmarried,White,Puerto-Rico,<=50K
Own-child,White,United-States,<=50K
Wife,White,United-States,<=50K
Husband,White,noValueSetHere123156456,>50K
Husband,White,United-States,<=50K
Husband,White,United-States,<=50K
Husband,White,United-States,<=50K
Husband,White,United-States,<=50K
Unmarried,White,United-States,<=50K
Not-in-family,White,United-States,<=50K
Husband,Black,United-States,>50K
Husband,White,United-States,<=50K
Unmarried,White,United-States,<=50K
Husband,White,United-States,<=50K
Not-in-family,White,United-States,<=50K
Wife,Other,United-States,<=50K
Own-child,White,noValueSetHere123156456,<=50K
Wife,White,Honduras,>50K
Not-in-family,White,United-States,>50K
Not-in-family,White,United-States,<=50K
Husband,White,United-States,>50K
Husband,White,Mexico,<=50K
Husband,White,Puerto-Rico,<=50K
Husband,White,United-States,<=50K
Husband,White,United-States,<=50K
Husband,White,United-States,<=50K
Not-in-family,White,noValueSetHere123156456,<=50K
Husband,White,United-States,<=50K
Husband,White,United-States,>50K
Not-in-family,White,United-States,<=50K
Husband,White,United-States,<=50K
Not-in-family,White,United-States,<=50K
Wife,White,United-States,>50K
Husband,White,United-States,>50K
Own-child,White,United-States,<=50K
Own-child,White,United-States,<=50K
Own-child,Black,United-States,<=50K
Husband,White,United-States,>50K
