A,F
39,Never-married
50,Married-civ-spouse
38,Divorced
53,Married-civ-spouse
28,Married-civ-spouse
37,Married-civ-spouse
49,Married-spouse-absent
52,Married-civ-spouse
31,Never-married
42,Married-civ-spouse
37,Married-civ-spouse
30,Married-civ-spouse
23,Never-married
32,Never-married
40,Married-civ-spouse
34,Married-civ-spouse
25,Never-married
32,Never-married
38,Married-civ-spouse
43,Divorced
40,Married-civ-spouse
54,Separated
35,Married-civ-spouse
43,Married-civ-spouse
59,Divorced
56,Married-civ-spouse
19,Never-married
54,Married-civ-spouse
39,Divorced
49,Married-civ-spouse
23,Never-married
20,Never-married
45,Divorced
30,Married-civ-spouse
22,Married-civ-spouse
48,Never-married
21,Never-married
19,Married-AF-spouse
31,Married-civ-spouse
48,Married-civ-spouse
31,Married-civ-spouse
53,Married-civ-spouse
24,Married-civ-spouse
49,Separated
25,Never-married
57,Married-civ-spouse
53,Married-civ-spouse
44,Divorced
41,Married-civ-spouse
29,Never-married
25,Married-civ-spouse
18,Never-married
47,Married-civ-spouse
50,Divorced
47,Divorced
43,Married-civ-spouse
46,Married-civ-spouse
35,Married-civ-spouse
41,Married-civ-spouse
30,Married-civ-spouse
30,Married-civ-spouse
32,Married-spouse-absent
48,Married-civ-spouse
42,Married-civ-spouse
29,Divorced
36,Married-civ-spouse
28,Divorced
53,Married-civ-spouse
49,Married-civ-spouse
25,Never-married
19,Never-married
31,Separated
29,Married-civ-spouse
23,Never-married
79,Married-civ-spouse
27,Never-married
40,Married-civ-spouse
67,Married-civ-spouse
18,Never-married
31,Married-civ-spouse
18,Never-married
52,Married-civ-spouse
46,Married-civ-spouse
59,Married-civ-spouse
44,Divorced
53,Divorced
49,Married-civ-spouse
33,Married-civ-spouse
30,Never-married
43,Never-married
57,Married-civ-spouse
37,Divorced
28,Divorced
30,Married-civ-spouse
34,Married-civ-spouse
29,Never-married
48,Married-civ-spouse
37,Married-civ-spouse
48,Divorced
32,Never-married
76,Married-civ-spouse
44,Married-civ-spouse
47,Never-married
20,Never-married
29,Never-married
32,Married-civ-spouse
17,Never-married
30,Never-married
31,Never-married
42,Married-civ-spouse
24,Never-married
38,Married-civ-spouse
56,Married-civ-spouse
28,Married-civ-spouse
36,Never-married
53,Married-civ-spouse
56,Married-civ-spouse
49,Married-civ-spouse
55,Married-civ-spouse
22,Never-married
21,Never-married
40,Married-civ-spouse
30,Never-married
29,Married-civ-spouse
19,Never-married
47,Married-civ-spouse
20,Never-married
31,Married-civ-spouse
35,Married-civ-spouse
39,Divorced
28,Never-married
24,Never-married
38,Married-civ-spouse
37,Married-civ-spouse
46,Divorced
38,Married-civ-spouse
43,Married-civ-spouse
27,Married-civ-spouse
20,Never-married
49,Married-civ-spouse
61,Married-civ-spouse
27,Never-married
19,Never-married
45,Never-married
70,Never-married
31,Never-married
22,Married-civ-spouse
36,Widowed
64,Married-civ-spouse
43,Divorced
47,Divorced
34,Never-married
33,Never-married
21,Never-married
52,Divorced
48,Married-civ-spouse
23,Never-married
71,Separated
29,Divorced
42,Separated
68,Divorced
25,Never-married
44,Divorced
28,Never-married
45,Married-civ-spouse
36,Divorced
39,Never-married
46,Widowed
18,Never-married
66,Widowed
27,Never-married
28,Married-civ-spouse
51,Married-civ-spouse
27,Never-married
28,Married-civ-spouse
27,Married-spouse-absent
21,Never-married
34,Never-married
18,Never-married
33,Married-civ-spouse
44,Married-civ-spouse
43,Divorced
30,Never-married
40,Married-civ-spouse
37,Married-civ-spouse
34,Married-civ-spouse
41,Divorced
53,Divorced
31,Married-civ-spouse
58,Married-civ-spouse
38,Divorced
24,Married-civ-spouse
41,Married-civ-spouse
47,Married-civ-spouse
41,Married-civ-spouse
23,Married-civ-spouse
36,Divorced
40,Never-married
35,Married-civ-spouse
24,Never-married
26,Never-married
19,Never-married
51,Married-civ-spouse
42,Never-married
37,Divorced
18,Never-married
36,Married-civ-spouse
35,Divorced
58,Married-civ-spouse
17,Never-married
44,Married-civ-spouse
37,Married-civ-spouse
35,Never-married
60,Married-civ-spouse
54,Married-civ-spouse
37,Never-married
50,Divorced
38,Married-civ-spouse
45,Married-civ-spouse
25,Never-married
31,Married-civ-spouse
64,Divorced
90,Never-married
54,Married-civ-spouse
53,Never-married
18,Never-married
60,Divorced
66,Married-civ-spouse
75,Widowed
65,Divorced
35,Separated
41,Divorced
25,Never-married
33,Divorced
28,Never-married
59,Married-civ-spouse
40,Never-married
41,Married-civ-spouse
38,Married-civ-spouse
23,Never-married
40,Married-civ-spouse
41,Married-civ-spouse
24,Married-civ-spouse
20,Never-married
38,Divorced
56,Married-civ-spouse
58,Married-civ-spouse
32,Never-married
40,Married-civ-spouse
45,Married-civ-spouse
41,Married-civ-spouse
42,Married-civ-spouse
59,Widowed
19,Never-married
58,Never-married
42,Married-civ-spouse
20,Never-married
32,Separated
45,Widowed
50,Divorced
36,Divorced
45,Married-civ-spouse
17,Never-married
59,Married-civ-spouse
26,Married-civ-spouse
37,Married-civ-spouse
19,Never-married
64,Married-civ-spouse
33,Never-married
33,Married-civ-spouse
61,Married-civ-spouse
17,Never-married
50,Married-civ-spouse
27,Never-married
30,Divorced
43,Married-civ-spouse
44,Married-civ-spouse
35,Never-married
25,Never-married
24,Married-civ-spouse
22,Never-married
42,Married-civ-spouse
34,Divorced
60,Divorced
21,Never-married
57,Married-civ-spouse
41,Married-civ-spouse
50,Divorced
25,Never-married
50,Married-civ-spouse
36,Married-civ-spouse
31,Divorced
29,Never-married
21,Never-married
27,Never-married
65,Married-civ-spouse
37,Divorced
39,Married-civ-spouse
24,Never-married
38,Divorced
48,Married-civ-spouse
21,Never-married
31,Married-civ-spouse
55,Married-civ-spouse
24,Married-civ-spouse
43,Divorced
26,Never-married
46,Never-married
35,Married-civ-spouse
41,Married-civ-spouse
26,Never-married
34,Married-civ-spouse
19,Never-married
36,Divorced
22,Never-married
24,Never-married
77,Married-civ-spouse
22,Married-civ-spouse
29,Never-married
62,Widowed
39,Married-civ-spouse
43,Married-civ-spouse
35,Divorced
29,Never-married
76,Married-civ-spouse
63,Married-civ-spouse
23,Never-married
