E,H,J,K,L,M,O
13,Not-in-family,Male,2174,0,40,<=50K
13,Husband,Male,0,0,13,<=50K
9,Not-in-family,Male,0,0,40,<=50K
7,Husband,Male,0,0,40,<=50K
13,Wife,Female,0,0,40,<=50K
14,Wife,Female,0,0,40,<=50K
5,Not-in-family,Female,0,0,16,<=50K
9,Husband,Male,0,0,45,>50K
14,Not-in-family,Female,14084,0,50,>50K
13,Husband,Male,5178,0,40,>50K
10,Husband,Male,0,0,80,>50K
13,Husband,Male,0,0,40,>50K
13,Own-child,Female,0,0,30,<=50K
12,Not-in-family,Male,0,0,50,<=50K
11,Husband,Male,0,0,40,>50K
4,Husband,Male,0,0,45,<=50K
9,Own-child,Male,0,0,35,<=50K
9,Unmarried,Male,0,0,40,<=50K
7,Husband,Male,0,0,50,<=50K
14,Unmarried,Female,0,0,45,>50K
16,Husband,Male,0,0,60,>50K
9,Unmarried,Female,0,0,20,<=50K
5,Husband,Male,0,0,40,<=50K
7,Husband,Male,0,2042,40,<=50K
9,Unmarried,Female,0,0,40,<=50K
13,Husband,Male,0,0,40,>50K
9,Own-child,Male,0,0,40,<=50K
10,Husband,Male,0,0,60,>50K
9,Not-in-family,Male,0,0,80,<=50K
9,Husband,Male,0,0,40,<=50K
12,Not-in-family,Male,0,0,52,<=50K
10,Own-child,Male,0,0,44,<=50K
13,Own-child,Male,0,1408,40,<=50K
10,Own-child,Male,0,0,40,<=50K
10,Husband,Male,0,0,15,<=50K
7,Unmarried,Male,0,0,40,<=50K
10,Own-child,Male,0,0,40,<=50K
9,Wife,Female,0,0,25,<=50K
10,Husband,Male,0,0,38,>50K
12,Husband,Male,0,0,40,<=50K
5,Husband,Male,0,0,43,<=50K
13,Husband,Male,0,0,40,<=50K
13,Husband,Male,0,0,50,<=50K
9,Unmarried,Female,0,0,40,<=50K
9,Not-in-family,Male,0,0,35,<=50K
13,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,38,<=50K
14,Unmarried,Female,0,0,40,<=50K
11,Husband,Male,0,0,40,<=50K
11,Not-in-family,Male,0,0,43,<=50K
10,Wife,Female,0,0,40,<=50K
9,Own-child,Female,0,0,30,<=50K
15,Wife,Female,0,1902,60,>50K
13,Not-in-family,Male,0,0,55,>50K
9,Not-in-family,Male,0,0,60,<=50K
10,Husband,Male,0,0,40,>50K
3,Husband,Male,0,0,40,<=50K
11,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,48,<=50K
9,Husband,Male,5013,0,40,<=50K
13,Husband,Male,2407,0,40,<=50K
4,Not-in-family,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
16,Husband,Male,0,0,45,>50K
10,Not-in-family,Male,0,0,58,<=50K
9,Husband,Male,0,0,40,<=50K
10,Not-in-family,Female,0,0,40,<=50K
9,Wife,Female,0,0,40,>50K
10,Husband,Male,0,0,50,>50K
10,Own-child,Male,0,0,40,<=50K
10,Own-child,Male,0,0,32,<=50K
13,Own-child,Female,0,0,40,<=50K
13,Husband,Male,0,0,70,>50K
10,Not-in-family,Male,0,0,40,<=50K
10,Other-relative,Male,0,0,20,<=50K
9,Own-child,Male,0,0,40,<=50K
12,Husband,Male,0,0,40,<=50K
6,Husband,Male,0,0,2,<=50K
7,Own-child,Female,0,0,22,<=50K
4,Husband,Male,0,0,40,<=50K
9,Not-in-family,Male,0,0,30,<=50K
13,Husband,Male,0,0,40,<=50K
9,Wife,Female,0,0,40,<=50K
9,Husband,Male,0,0,48,<=50K
9,Not-in-family,Female,14344,0,40,>50K
9,Own-child,Female,0,0,35,<=50K
9,Husband,Male,0,0,40,>50K
14,Husband,Male,0,0,50,<=50K
5,Not-in-family,Male,0,0,40,<=50K
16,Not-in-family,Female,0,0,50,>50K
11,Husband,Male,0,0,40,<=50K
10,Unmarried,Female,0,0,40,<=50K
10,Unmarried,Female,0,0,25,<=50K
9,Wife,Female,0,1573,35,<=50K
13,Husband,Male,0,0,40,>50K
10,Not-in-family,Male,0,0,50,<=50K
16,Husband,Male,0,1902,60,>50K
10,Husband,Male,0,0,48,>50K
12,Unmarried,Female,0,0,40,<=50K
9,Own-child,Male,0,0,40,<=50K
14,Husband,Male,0,0,40,>50K
