B,G
State-gov,Adm-clerical
Self-emp-not-inc,Exec-managerial
Private,Handlers-cleaners
Private,Handlers-cleaners
Private,Prof-specialty
Private,Exec-managerial
Private,Other-service
Self-emp-not-inc,Exec-managerial
Private,Prof-specialty
Private,Exec-managerial
Private,Exec-managerial
State-gov,Prof-specialty
Private,Adm-clerical
Private,Sales
Private,Craft-repair
Private,Transport-moving
Self-emp-not-inc,Farming-fishing
Private,Machine-op-inspct
Private,Sales
Self-emp-not-inc,Exec-managerial
Private,Prof-specialty
Private,Other-service
Federal-gov,Farming-fishing
Private,Transport-moving
Private,Tech-support
Local-gov,Tech-support
Private,Craft-repair
noValueSetHere123156456,noValueSetHere123156456
Private,Exec-managerial
Private,Craft-repair
Local-gov,Protective-serv
Private,Sales
Private,Exec-managerial
Federal-gov,Adm-clerical
State-gov,Other-service
Private,Machine-op-inspct
Private,Machine-op-inspct
Private,Adm-clerical
Private,Sales
Self-emp-not-inc,Prof-specialty
Private,Machine-op-inspct
Self-emp-not-inc,Prof-specialty
Private,Tech-support
Private,Adm-clerical
Private,Handlers-cleaners
Federal-gov,Prof-specialty
Private,Machine-op-inspct
Private,Exec-managerial
State-gov,Craft-repair
Private,Prof-specialty
Private,Exec-managerial
Private,Other-service
Private,Prof-specialty
Federal-gov,Exec-managerial
Self-emp-inc,Exec-managerial
Private,Tech-support
Private,Machine-op-inspct
Private,Other-service
Private,Adm-clerical
Private,Machine-op-inspct
Private,Sales
noValueSetHere123156456,noValueSetHere123156456
Private,Transport-moving
Private,Prof-specialty
Private,Tech-support
Private,Craft-repair
Private,Adm-clerical
Private,Adm-clerical
Self-emp-inc,Exec-managerial
noValueSetHere123156456,noValueSetHere123156456
Private,Prof-specialty
Private,Sales
Self-emp-not-inc,Sales
Private,Machine-op-inspct
Private,Prof-specialty
Private,Other-service
Private,Adm-clerical
noValueSetHere123156456,noValueSetHere123156456
Private,Other-service
Local-gov,Farming-fishing
Private,Sales
Private,Other-service
Private,Other-service
Private,Sales
Private,Craft-repair
Private,Sales
Local-gov,Protective-serv
Private,Prof-specialty
Private,Sales
Federal-gov,Prof-specialty
Private,Prof-specialty
Private,Craft-repair
Private,Machine-op-inspct
Private,Sales
Local-gov,Protective-serv
Local-gov,Handlers-cleaners
Self-emp-not-inc,Prof-specialty
Private,Sales
Private,Exec-managerial
Federal-gov,Other-service
Private,Exec-managerial
Private,Exec-managerial
Self-emp-not-inc,Prof-specialty
Private,Tech-support
Private,Craft-repair
Self-emp-inc,Craft-repair
noValueSetHere123156456,noValueSetHere123156456
Private,Handlers-cleaners
Local-gov,Adm-clerical
Private,Handlers-cleaners
Private,Sales
Private,Prof-specialty
Self-emp-not-inc,Other-service
Private,Sales
Private,Machine-op-inspct
Private,Handlers-cleaners
Self-emp-inc,Sales
Local-gov,Craft-repair
Private,Sales
Private,Craft-repair
Private,Other-service
Private,Exec-managerial
Private,Exec-managerial
State-gov,Prof-specialty
Private,Other-service
Private,Exec-managerial
Private,Adm-clerical
Private,Adm-clerical
noValueSetHere123156456,noValueSetHere123156456
Private,Craft-repair
Private,Sales
Private,Other-service
Self-emp-not-inc,Craft-repair
Private,Sales
Private,Tech-support
Federal-gov,Prof-specialty
Self-emp-not-inc,Craft-repair
Private,Adm-clerical
Private,Sales
Private,Craft-repair
Self-emp-inc,Craft-repair
Private,Sales
Private,Other-service
Private,Prof-specialty
Private,Tech-support
Private,Transport-moving
Private,Other-service
Private,Other-service
Private,Craft-repair
noValueSetHere123156456,noValueSetHere123156456
Local-gov,Adm-clerical
Private,Adm-clerical
Private,Exec-managerial
Private,Craft-repair
noValueSetHere123156456,noValueSetHere123156456
Private,Craft-repair
Private,Handlers-cleaners
Self-emp-not-inc,Sales
Private,Craft-repair
Private,Other-service
noValueSetHere123156456,noValueSetHere123156456
Private,Other-service
Self-emp-inc,Exec-managerial
Private,Exec-managerial
Self-emp-not-inc,Sales
Private,Other-service
Federal-gov,Exec-managerial
State-gov,Protective-serv
Private,Handlers-cleaners
Local-gov,Prof-specialty
Private,Other-service
State-gov,Protective-serv
Private,Sales
Private,Craft-repair
State-gov,Prof-specialty
Private,Sales
Private,Craft-repair
Private,Handlers-cleaners
Private,Other-service
Private,Prof-specialty
Local-gov,Exec-managerial
Private,Adm-clerical
Private,Craft-repair
Private,Machine-op-inspct
Federal-gov,Adm-clerical
Private,Adm-clerical
Self-emp-not-inc,Exec-managerial
noValueSetHere123156456,noValueSetHere123156456
Private,Prof-specialty
State-gov,Prof-specialty
Private,Machine-op-inspct
Private,Machine-op-inspct
Local-gov,Craft-repair
Private,Tech-support
Federal-gov,Tech-support
Private,Transport-moving
Private,Craft-repair
Federal-gov,Exec-managerial
Private,Prof-specialty
Self-emp-not-inc,Sales
Private,Prof-specialty
noValueSetHere123156456,noValueSetHere123156456
Private,Exec-managerial
Local-gov,Prof-specialty
State-gov,Adm-clerical
Private,Sales
Private,Other-service
Private,Craft-repair
Self-emp-inc,Sales
Private,Sales
Local-gov,Transport-moving
Private,Craft-repair
Private,Sales
Private,Craft-repair
Self-emp-inc,Machine-op-inspct
Private,Exec-managerial
Private,Sales
Private,Sales
Private,Prof-specialty
Private,Craft-repair
Private,Handlers-cleaners
noValueSetHere123156456,noValueSetHere123156456
Private,Other-service
Private,Adm-clerical
Local-gov,Machine-op-inspct
Private,Sales
noValueSetHere123156456,noValueSetHere123156456
Self-emp-not-inc,Farming-fishing
Private,Adm-clerical
Private,Adm-clerical
Private,Transport-moving
Private,Sales
Private,Adm-clerical
Private,Craft-repair
Private,Prof-specialty
State-gov,Other-service
State-gov,Adm-clerical
Private,Exec-managerial
Local-gov,Exec-managerial
Private,Transport-moving
Private,Prof-specialty
Self-emp-not-inc,Other-service
State-gov,Protective-serv
noValueSetHere123156456,noValueSetHere123156456
Private,Craft-repair
Private,Adm-clerical
Private,Adm-clerical
Private,Other-service
Private,Tech-support
Private,Adm-clerical
Private,Prof-specialty
Private,Adm-clerical
Local-gov,Other-service
Local-gov,Adm-clerical
Private,Transport-moving
Self-emp-not-inc,Farming-fishing
Private,Other-service
Private,Other-service
Private,Exec-managerial
Private,Craft-repair
Private,Prof-specialty
Private,Sales
Private,Other-service
Private,Sales
Private,Craft-repair
Self-emp-inc,Exec-managerial
noValueSetHere123156456,noValueSetHere123156456
Private,Exec-managerial
Private,Prof-specialty
Private,Craft-repair
Private,Exec-managerial
Private,Other-service
Self-emp-not-inc,Farming-fishing
Local-gov,Prof-specialty
Private,Prof-specialty
Private,Handlers-cleaners
Private,Craft-repair
Private,Exec-managerial
Private,Tech-support
Private,Machine-op-inspct
Private,Prof-specialty
Local-gov,Craft-repair
Private,Sales
Private,Prof-specialty
Private,Handlers-cleaners
Federal-gov,Sales
Private,Prof-specialty
Private,Other-service
Private,Exec-managerial
Private,Craft-repair
Private,Prof-specialty
Private,Prof-specialty
Local-gov,Protective-serv
Private,Sales
Private,Tech-support
Private,Transport-moving
Self-emp-inc,Sales
noValueSetHere123156456,noValueSetHere123156456
Private,Craft-repair
Private,Sales
Private,Adm-clerical
Private,Other-service
Private,Transport-moving
Private,Sales
Private,Adm-clerical
Private,Adm-clerical
Private,Tech-support
Private,Prof-specialty
Private,Adm-clerical
Self-emp-inc,Farming-fishing
Private,Sales
Private,Exec-managerial
noValueSetHere123156456,noValueSetHere123156456
Self-emp-not-inc,Prof-specialty
Private,Sales
Private,Machine-op-inspct
Self-emp-not-inc,Sales
Private,Machine-op-inspct
Private,Tech-support
Private,Other-service
Self-emp-not-inc,Exec-managerial
Private,Craft-repair
Private,Transport-moving
Private,Exec-managerial
Self-emp-not-inc,Craft-repair
Self-emp-not-inc,Farming-fishing
noValueSetHere123156456,noValueSetHere123156456
Private,Prof-specialty
Self-emp-not-inc,Handlers-cleaners
Private,Transport-moving
Private,Craft-repair
Private,Adm-clerical
Private,Other-service
Local-gov,Adm-clerical
Private,Transport-moving
Private,Other-service
Private,Craft-repair
Private,Prof-specialty
Private,Sales
Private,Other-service
Private,Sales
Private,Craft-repair
State-gov,Protective-serv
Private,Farming-fishing
State-gov,Protective-serv
Self-emp-not-inc,Sales
noValueSetHere123156456,noValueSetHere123156456
noValueSetHere123156456,noValueSetHere123156456
Private,Other-service
Private,Prof-specialty
Private,Exec-managerial
Private,Other-service
Private,Exec-managerial
Local-gov,Transport-moving
noValueSetHere123156456,noValueSetHere123156456
Federal-gov,Adm-clerical
Private,Other-service
Private,Tech-support
Private,Adm-clerical
Self-emp-not-inc,Craft-repair
Private,Other-service
Private,Prof-specialty
Private,Transport-moving
Private,Exec-managerial
Private,Sales
Private,Craft-repair
Self-emp-not-inc,Sales
Private,Sales
Private,Exec-managerial
Private,Sales
Federal-gov,Adm-clerical
Private,Other-service
State-gov,Machine-op-inspct
Private,Machine-op-inspct
Private,Craft-repair
Local-gov,Adm-clerical
Private,Craft-repair
Private,Sales
Self-emp-not-inc,Exec-managerial
Private,Sales
Private,Transport-moving
Private,Craft-repair
Private,Craft-repair
Private,Sales
Local-gov,Transport-moving
Private,Other-service
Private,Machine-op-inspct
Private,Adm-clerical
Private,Adm-clerical
Private,Other-service
Private,Other-service
Private,Craft-repair
Self-emp-not-inc,Craft-repair
State-gov,Exec-managerial
Private,Other-service
Private,Tech-support
Private,Handlers-cleaners
noValueSetHere123156456,noValueSetHere123156456
Private,Exec-managerial
Self-emp-inc,Exec-managerial
Private,Handlers-cleaners
Private,Other-service
State-gov,Protective-serv
Private,Tech-support
Private,Handlers-cleaners
Private,Exec-managerial
Private,Adm-clerical
Self-emp-not-inc,Craft-repair
noValueSetHere123156456,noValueSetHere123156456
Private,Exec-managerial
Local-gov,Other-service
Private,Handlers-cleaners
Private,Exec-managerial
Private,Exec-managerial
State-gov,Machine-op-inspct
Private,Craft-repair
Private,Machine-op-inspct
Private,Other-service
Local-gov,Machine-op-inspct
State-gov,Transport-moving
Private,Sales
Private,Handlers-cleaners
State-gov,Exec-managerial
Private,Farming-fishing
Private,Craft-repair
Private,Transport-moving
Federal-gov,Prof-specialty
Private,Handlers-cleaners
Self-emp-inc,Exec-managerial
Local-gov,Prof-specialty
noValueSetHere123156456,noValueSetHere123156456
noValueSetHere123156456,noValueSetHere123156456
Self-emp-not-inc,Prof-specialty
Private,Other-service
Private,Craft-repair
Private,Prof-specialty
Local-gov,Farming-fishing
Local-gov,Protective-serv
Private,Adm-clerical
Local-gov,Adm-clerical
Private,Prof-specialty
Private,Adm-clerical
Federal-gov,Armed-Forces
Private,Prof-specialty
Private,Craft-repair
Private,Sales
Private,Exec-managerial
Private,Craft-repair
Private,Machine-op-inspct
noValueSetHere123156456,noValueSetHere123156456
Private,Machine-op-inspct
Self-emp-inc,Craft-repair
Private,Craft-repair
Private,Exec-managerial
Self-emp-not-inc,Sales
Private,Machine-op-inspct
Private,Exec-managerial
Private,Transport-moving
Private,Transport-moving
noValueSetHere123156456,noValueSetHere123156456
Private,Farming-fishing
Local-gov,Transport-moving
Private,Prof-specialty
Private,Craft-repair
Private,Tech-support
Private,Adm-clerical
Private,Transport-moving
Private,Transport-moving
Private,Exec-managerial
Private,Tech-support
Private,Prof-specialty
noValueSetHere123156456,noValueSetHere123156456
Private,Craft-repair
Private,Transport-moving
Private,Other-service
Private,Craft-repair
Private,Other-service
Private,Handlers-cleaners
Private,Other-service
Private,Other-service
Private,Craft-repair
Self-emp-not-inc,Craft-repair
State-gov,Prof-specialty
Private,Craft-repair
noValueSetHere123156456,noValueSetHere123156456
Private,Adm-clerical
noValueSetHere123156456,noValueSetHere123156456
Local-gov,Transport-moving
Local-gov,Prof-specialty
Private,Sales
Private,Other-service
Federal-gov,Adm-clerical
Private,Exec-managerial
Private,Prof-specialty
Private,Craft-repair
Private,Adm-clerical
Private,Machine-op-inspct
Private,Other-service
Private,Prof-specialty
noValueSetHere123156456,noValueSetHere123156456
Local-gov,Farming-fishing
Local-gov,Transport-moving
Private,Adm-clerical
Private,Other-service
Private,Sales
Private,Exec-managerial
Private,Protective-serv
Private,Exec-managerial
Local-gov,Adm-clerical
Private,Other-service
Private,Handlers-cleaners
noValueSetHere123156456,noValueSetHere123156456
Private,Craft-repair
Private,Prof-specialty
Private,Craft-repair
noValueSetHere123156456,noValueSetHere123156456
Private,Adm-clerical
noValueSetHere123156456,noValueSetHere123156456
noValueSetHere123156456,noValueSetHere123156456
Private,Prof-specialty
Self-emp-inc,Exec-managerial
Private,Exec-managerial
Local-gov,Handlers-cleaners
Local-gov,Tech-support
Private,Machine-op-inspct
Private,Sales
Private,Exec-managerial
Private,Adm-clerical
Self-emp-not-inc,Craft-repair
Self-emp-not-inc,Prof-specialty
Private,Machine-op-inspct
Private,Machine-op-inspct
Private,Other-service
Private,Exec-managerial
Private,Prof-specialty
Local-gov,Tech-support
Private,Priv-house-serv
Private,Craft-repair
Self-emp-inc,Farming-fishing
noValueSetHere123156456,noValueSetHere123156456
Private,Transport-moving
Private,Prof-specialty
Private,Handlers-cleaners
Private,Transport-moving
Private,Sales
Private,Handlers-cleaners
Private,Other-service
Local-gov,Protective-serv
Private,Handlers-cleaners
Private,Craft-repair
Self-emp-not-inc,Exec-managerial
Self-emp-not-inc,Other-service
Private,Adm-clerical
Private,Machine-op-inspct
Federal-gov,Craft-repair
Private,Machine-op-inspct
Private,Machine-op-inspct
Private,Adm-clerical
Private,Tech-support
Private,Other-service
Private,Transport-moving
Private,Sales
Private,Prof-specialty
Private,Handlers-cleaners
Self-emp-not-inc,Prof-specialty
Private,Handlers-cleaners
Self-emp-inc,Exec-managerial
Private,Other-service
Self-emp-not-inc,Craft-repair
Private,Exec-managerial
Private,Craft-repair
Private,Prof-specialty
Private,Sales
Private,Craft-repair
Private,Prof-specialty
Private,Exec-managerial
noValueSetHere123156456,noValueSetHere123156456
Self-emp-not-inc,Sales
Local-gov,Prof-specialty
Self-emp-not-inc,Craft-repair
noValueSetHere123156456,noValueSetHere123156456
Private,Sales
Private,Craft-repair
Private,Machine-op-inspct
Self-emp-not-inc,Tech-support
Private,Sales
Private,Adm-clerical
Private,Other-service
Private,Craft-repair
Self-emp-inc,Prof-specialty
noValueSetHere123156456,noValueSetHere123156456
noValueSetHere123156456,noValueSetHere123156456
Private,Transport-moving
Private,Prof-specialty
Private,Adm-clerical
Private,Sales
noValueSetHere123156456,noValueSetHere123156456
Self-emp-not-inc,Prof-specialty
Private,Tech-support
Private,Prof-specialty
Private,Tech-support
Private,Adm-clerical
Private,Other-service
Local-gov,Other-service
Self-emp-not-inc,Farming-fishing
Private,Adm-clerical
Private,Craft-repair
Private,Craft-repair
Local-gov,Exec-managerial
Private,Other-service
Private,Prof-specialty
Private,Craft-repair
Private,Handlers-cleaners
Local-gov,Prof-specialty
Private,Other-service
Private,Handlers-cleaners
Private,Transport-moving
Self-emp-not-inc,Exec-managerial
Self-emp-inc,Sales
Private,Prof-specialty
Private,Sales
Private,Other-service
Private,Priv-house-serv
Private,Transport-moving
Private,Handlers-cleaners
Private,Farming-fishing
Private,Sales
