A,F,H,J
39,Never-married,Not-in-family,Male
50,Married-civ-spouse,Husband,Male
38,Divorced,Not-in-family,Male
53,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Wife,Female
37,Married-civ-spouse,Wife,Female
49,Married-spouse-absent,Not-in-family,Female
52,Married-civ-spouse,Husband,Male
31,Never-married,Not-in-family,Female
42,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Female
32,Never-married,Not-in-family,Male
40,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Husband,Male
25,Never-married,Own-child,Male
32,Never-married,Unmarried,Male
38,Married-civ-spouse,Husband,Male
43,Divorced,Unmarried,Female
40,Married-civ-spouse,Husband,Male
54,Separated,Unmarried,Female
35,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
59,Divorced,Unmarried,Female
56,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Male
54,Married-civ-spouse,Husband,Male
39,Divorced,Not-in-family,Male
49,Married-civ-spouse,Husband,Male
23,Never-married,Not-in-family,Male
20,Never-married,Own-child,Male
45,Divorced,Own-child,Male
30,Married-civ-spouse,Own-child,Male
22,Married-civ-spouse,Husband,Male
48,Never-married,Unmarried,Male
21,Never-married,Own-child,Male
19,Married-AF-spouse,Wife,Female
31,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
31,Married-civ-spouse,Husband,Male
53,Married-civ-spouse,Husband,Male
24,Married-civ-spouse,Husband,Male
49,Separated,Unmarried,Female
25,Never-married,Not-in-family,Male
57,Married-civ-spouse,Husband,Male
53,Married-civ-spouse,Husband,Male
44,Divorced,Unmarried,Female
41,Married-civ-spouse,Husband,Male
29,Never-married,Not-in-family,Male
25,Married-civ-spouse,Wife,Female
18,Never-married,Own-child,Female
47,Married-civ-spouse,Wife,Female
50,Divorced,Not-in-family,Male
47,Divorced,Not-in-family,Male
43,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
32,Married-spouse-absent,Not-in-family,Male
48,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
29,Divorced,Not-in-family,Male
36,Married-civ-spouse,Husband,Male
28,Divorced,Not-in-family,Female
53,Married-civ-spouse,Wife,Female
49,Married-civ-spouse,Husband,Male
25,Never-married,Own-child,Male
19,Never-married,Own-child,Male
31,Separated,Own-child,Female
29,Married-civ-spouse,Husband,Male
23,Never-married,Not-in-family,Male
79,Married-civ-spouse,Other-relative,Male
27,Never-married,Own-child,Male
40,Married-civ-spouse,Husband,Male
67,Married-civ-spouse,Husband,Male
18,Never-married,Own-child,Female
31,Married-civ-spouse,Husband,Male
18,Never-married,Not-in-family,Male
52,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Wife,Female
59,Married-civ-spouse,Husband,Male
44,Divorced,Not-in-family,Female
53,Divorced,Own-child,Female
49,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
30,Never-married,Not-in-family,Male
43,Never-married,Not-in-family,Female
57,Married-civ-spouse,Husband,Male
37,Divorced,Unmarried,Female
28,Divorced,Unmarried,Female
30,Married-civ-spouse,Wife,Female
34,Married-civ-spouse,Husband,Male
29,Never-married,Not-in-family,Male
48,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
48,Divorced,Unmarried,Female
32,Never-married,Own-child,Male
76,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
47,Never-married,Not-in-family,Female
20,Never-married,Own-child,Female
29,Never-married,Not-in-family,Male
32,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Female
30,Never-married,Own-child,Male
31,Never-married,Not-in-family,Female
42,Married-civ-spouse,Husband,Male
24,Never-married,Other-relative,Male
38,Married-civ-spouse,Husband,Male
56,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Wife,Female
36,Never-married,Own-child,Female
53,Married-civ-spouse,Husband,Male
56,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
55,Married-civ-spouse,Husband,Male
22,Never-married,Not-in-family,Male
21,Never-married,Own-child,Female
40,Married-civ-spouse,Husband,Male
30,Never-married,Own-child,Male
29,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Male
47,Married-civ-spouse,Wife,Female
20,Never-married,Own-child,Female
31,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Husband,Male
39,Divorced,Not-in-family,Male
28,Never-married,Not-in-family,Female
24,Never-married,Not-in-family,Female
38,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
46,Divorced,Not-in-family,Female
38,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
27,Married-civ-spouse,Wife,Female
20,Never-married,Own-child,Male
49,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
27,Never-married,Own-child,Female
19,Never-married,Own-child,Male
45,Never-married,Not-in-family,Female
70,Never-married,Other-relative,Male
31,Never-married,Unmarried,Female
22,Married-civ-spouse,Husband,Male
36,Widowed,Unmarried,Female
64,Married-civ-spouse,Husband,Male
43,Divorced,Not-in-family,Female
47,Divorced,Unmarried,Female
34,Never-married,Not-in-family,Female
33,Never-married,Other-relative,Female
21,Never-married,Own-child,Male
52,Divorced,Not-in-family,Male
48,Married-civ-spouse,Husband,Male
23,Never-married,Not-in-family,Male
71,Separated,Unmarried,Male
29,Divorced,Not-in-family,Male
42,Separated,Other-relative,Male
68,Divorced,Not-in-family,Female
25,Never-married,Unmarried,Female
44,Divorced,Unmarried,Female
28,Never-married,Not-in-family,Female
45,Married-civ-spouse,Husband,Male
36,Divorced,Unmarried,Female
39,Never-married,Not-in-family,Male
46,Widowed,Unmarried,Male
18,Never-married,Own-child,Male
66,Widowed,Not-in-family,Female
27,Never-married,Not-in-family,Male
28,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
27,Never-married,Not-in-family,Male
