B,E,G,H,J
State-gov,13,Adm-clerical,Not-in-family,Male
Self-emp-not-inc,13,Exec-managerial,Husband,Male
Private,9,Handlers-cleaners,Not-in-family,Male
Private,7,Handlers-cleaners,Husband,Male
Private,13,Prof-specialty,Wife,Female
Private,14,Exec-managerial,Wife,Female
Private,5,Other-service,Not-in-family,Female
Self-emp-not-inc,9,Exec-managerial,Husband,Male
Private,14,Prof-specialty,Not-in-family,Female
Private,13,Exec-managerial,Husband,Male
Private,10,Exec-managerial,Husband,Male
State-gov,13,Prof-specialty,Husband,Male
Private,13,Adm-clerical,Own-child,Female
Private,12,Sales,Not-in-family,Male
Private,11,Craft-repair,Husband,Male
Private,4,Transport-moving,Husband,Male
Self-emp-not-inc,9,Farming-fishing,Own-child,Male
Private,9,Machine-op-inspct,Unmarried,Male
Private,7,Sales,Husband,Male
Self-emp-not-inc,14,Exec-managerial,Unmarried,Female
Private,16,Prof-specialty,Husband,Male
Private,9,Other-service,Unmarried,Female
Federal-gov,5,Farming-fishing,Husband,Male
Private,7,Transport-moving,Husband,Male
Private,9,Tech-support,Unmarried,Female
Local-gov,13,Tech-support,Husband,Male
Private,9,Craft-repair,Own-child,Male
noValueSetHere123156456,10,noValueSetHere123156456,Husband,Male
Private,9,Exec-managerial,Not-in-family,Male
Private,9,Craft-repair,Husband,Male
Local-gov,12,Protective-serv,Not-in-family,Male
Private,10,Sales,Own-child,Male
Private,13,Exec-managerial,Own-child,Male
Federal-gov,10,Adm-clerical,Own-child,Male
State-gov,10,Other-service,Husband,Male
Private,7,Machine-op-inspct,Unmarried,Male
Private,10,Machine-op-inspct,Own-child,Male
Private,9,Adm-clerical,Wife,Female
Private,10,Sales,Husband,Male
Self-emp-not-inc,12,Prof-specialty,Husband,Male
Private,5,Machine-op-inspct,Husband,Male
Self-emp-not-inc,13,Prof-specialty,Husband,Male
Private,13,Tech-support,Husband,Male
Private,9,Adm-clerical,Unmarried,Female
Private,9,Handlers-cleaners,Not-in-family,Male
Federal-gov,13,Prof-specialty,Husband,Male
Private,9,Machine-op-inspct,Husband,Male
Private,14,Exec-managerial,Unmarried,Female
State-gov,11,Craft-repair,Husband,Male
Private,11,Prof-specialty,Not-in-family,Male
Private,10,Exec-managerial,Wife,Female
Private,9,Other-service,Own-child,Female
Private,15,Prof-specialty,Wife,Female
Federal-gov,13,Exec-managerial,Not-in-family,Male
Self-emp-inc,9,Exec-managerial,Not-in-family,Male
Private,10,Tech-support,Husband,Male
Private,3,Machine-op-inspct,Husband,Male
Private,11,Other-service,Husband,Male
Private,9,Adm-clerical,Husband,Male
Private,9,Machine-op-inspct,Husband,Male
Private,13,Sales,Husband,Male
noValueSetHere123156456,4,noValueSetHere123156456,Not-in-family,Male
Private,9,Transport-moving,Husband,Male
Private,16,Prof-specialty,Husband,Male
Private,10,Tech-support,Not-in-family,Male
Private,9,Craft-repair,Husband,Male
Private,10,Adm-clerical,Not-in-family,Female
Private,9,Adm-clerical,Wife,Female
Self-emp-inc,10,Exec-managerial,Husband,Male
noValueSetHere123156456,10,noValueSetHere123156456,Own-child,Male
Private,10,Prof-specialty,Own-child,Male
Private,13,Sales,Own-child,Female
