F,G,H,J,M,O
Never-married,Adm-clerical,Not-in-family,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,13,<=50K
Divorced,Handlers-cleaners,Not-in-family,Male,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,40,<=50K
Married-civ-spouse,Exec-managerial,Wife,Female,40,<=50K
Married-spouse-absent,Other-service,Not-in-family,Female,16,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,>50K
Never-married,Prof-specialty,Not-in-family,Female,50,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,80,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Adm-clerical,Own-child,Female,30,<=50K
Never-married,Sales,Not-in-family,Male,50,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Transport-moving,Husband,Male,45,<=50K
Never-married,Farming-fishing,Own-child,Male,35,<=50K
Never-married,Machine-op-inspct,Unmarried,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,50,<=50K
Divorced,Exec-managerial,Unmarried,Female,45,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,>50K
Separated,Other-service,Unmarried,Female,20,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Divorced,Tech-support,Unmarried,Female,40,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,>50K
Never-married,Craft-repair,Own-child,Male,40,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,60,>50K
Divorced,Exec-managerial,Not-in-family,Male,80,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Protective-serv,Not-in-family,Male,52,<=50K
Never-married,Sales,Own-child,Male,44,<=50K
Divorced,Exec-managerial,Own-child,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Own-child,Male,40,<=50K
Married-civ-spouse,Other-service,Husband,Male,15,<=50K
Never-married,Machine-op-inspct,Unmarried,Male,40,<=50K
Never-married,Machine-op-inspct,Own-child,Male,40,<=50K
Married-AF-spouse,Adm-clerical,Wife,Female,25,<=50K
Married-civ-spouse,Sales,Husband,Male,38,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,43,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Married-civ-spouse,Tech-support,Husband,Male,50,<=50K
Separated,Adm-clerical,Unmarried,Female,40,<=50K
Never-married,Handlers-cleaners,Not-in-family,Male,35,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,38,<=50K
Divorced,Exec-managerial,Unmarried,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Prof-specialty,Not-in-family,Male,43,<=50K
Married-civ-spouse,Exec-managerial,Wife,Female,40,<=50K
Never-married,Other-service,Own-child,Female,30,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,60,>50K
Divorced,Exec-managerial,Not-in-family,Male,55,>50K
Divorced,Exec-managerial,Not-in-family,Male,60,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,>50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,48,<=50K
