INTUBATION,PVSAT,MINVOL,VENTALV,VENTLUNG,ARTCO2,FIO2,PRESS
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,NORMAL
NORMAL,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,LOW
NORMAL,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,HIGH
ONESIDED,LOW,LOW,LOW,LOW,HIGH,NORMAL,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,HIGH
NORMAL,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,NORMAL
ONESIDED,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,LOW
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,LOW
ESOPHAGEAL,LOW,ZERO,ZERO,LOW,HIGH,NORMAL,HIGH
NORMAL,NORMAL,HIGH,HIGH,LOW,LOW,LOW,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,HIGH
NORMAL,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,NORMAL,NORMAL,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,ZERO
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,NORMAL
NORMAL,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,HIGH
NORMAL,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,HIGH
NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,NORMAL
NORMAL,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,NORMAL
NORMAL,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,HIGH
NORMAL,LOW,LOW,LOW,HIGH,HIGH,NORMAL,HIGH
NORMAL,HIGH,HIGH,HIGH,LOW,NORMAL,NORMAL,HIGH
ESOPHAGEAL,HIGH,LOW,HIGH,NORMAL,LOW,NORMAL,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH,NORMAL,HIGH
