HRBP,ERRCAUTER,INSUFFANESTH,LVFAILURE,LVEDVOLUME,CO,HRSAT,HREKG,HR,CATECHOL,STROKEVOLUME,ERRLOWOUTPUT,MINVOLSET
HIGH,True,False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
HIGH,False,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,NORMAL
HIGH,False,True,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,NORMAL
HIGH,True,False,False,HIGH,LOW,NORMAL,NORMAL,HIGH,HIGH,LOW,False,NORMAL
HIGH,False,False,True,LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW,False,NORMAL
LOW,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,NORMAL,False,NORMAL
HIGH,False,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,NORMAL
HIGH,False,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,NORMAL
HIGH,False,False,True,LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW,False,NORMAL
LOW,False,False,True,LOW,LOW,LOW,LOW,NORMAL,NORMAL,LOW,False,NORMAL
HIGH,False,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,NORMAL
HIGH,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,NORMAL
HIGH,False,True,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,False,NORMAL
HIGH,False,False,True,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH,LOW,False,NORMAL
LOW,False,True,False,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,False,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,NORMAL
HIGH,False,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,NORMAL
LOW,False,False,False,NORMAL,LOW,LOW,LOW,NORMAL,HIGH,LOW,False,NORMAL
HIGH,False,False,True,LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW,False,NORMAL
HIGH,False,False,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,False,NORMAL
