INSUFFANESTH,PVSAT,VENTALV,SHUNT,FIO2
False,LOW,ZERO,NORMAL,NORMAL
False,HIGH,HIGH,NORMAL,NORMAL
True,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,LOW
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,HIGH,HIGH,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
True,LOW,LOW,HIGH,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
True,HIGH,HIGH,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,HIGH,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,LOW,HIGH,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,NORMAL,HIGH,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,HIGH,NORMAL
False,LOW,ZERO,NORMAL,LOW
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
True,LOW,ZERO,NORMAL,NORMAL
False,NORMAL,HIGH,NORMAL,LOW
False,LOW,ZERO,NORMAL,NORMAL
False,HIGH,HIGH,NORMAL,NORMAL
False,LOW,ZERO,HIGH,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,LOW,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,HIGH,HIGH,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,NORMAL,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,HIGH,HIGH,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,HIGH,HIGH,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,LOW
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,LOW,HIGH,NORMAL
False,HIGH,HIGH,NORMAL,NORMAL
False,HIGH,HIGH,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
True,HIGH,HIGH,NORMAL,NORMAL
False,HIGH,HIGH,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,LOW,NORMAL,NORMAL,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
False,HIGH,HIGH,NORMAL,NORMAL
True,NORMAL,LOW,HIGH,NORMAL
False,LOW,ZERO,NORMAL,NORMAL
