VENTTUBE,INTUBATION,MINVOL,KINKEDTUBE,VENTALV,PRESS,DISCONNECT
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
LOW,NORMAL,HIGH,False,HIGH,HIGH,False
LOW,NORMAL,ZERO,True,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,HIGH,False,HIGH,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,ONESIDED,LOW,False,LOW,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,HIGH,False,HIGH,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
HIGH,ONESIDED,HIGH,False,LOW,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
ZERO,ONESIDED,NORMAL,False,NORMAL,LOW,True
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
ZERO,NORMAL,ZERO,False,ZERO,NORMAL,True
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,ESOPHAGEAL,ZERO,False,ZERO,HIGH,False
ZERO,NORMAL,HIGH,False,HIGH,HIGH,True
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
ZERO,NORMAL,HIGH,False,HIGH,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
NORMAL,NORMAL,ZERO,True,ZERO,ZERO,False
LOW,NORMAL,ZERO,True,ZERO,NORMAL,False
LOW,NORMAL,ZERO,False,LOW,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
HIGH,NORMAL,HIGH,False,HIGH,LOW,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,LOW,False,NORMAL,LOW,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
ZERO,NORMAL,HIGH,False,HIGH,HIGH,True
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
ZERO,NORMAL,HIGH,False,HIGH,HIGH,True
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,True,ZERO,HIGH,False
NORMAL,NORMAL,LOW,False,LOW,HIGH,True
ZERO,NORMAL,HIGH,False,HIGH,HIGH,False
LOW,ESOPHAGEAL,LOW,False,HIGH,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
HIGH,ESOPHAGEAL,ZERO,False,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False,HIGH,LOW,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,NORMAL,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,NORMAL,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
ZERO,NORMAL,HIGH,False,HIGH,HIGH,True
LOW,ONESIDED,ZERO,False,LOW,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,HIGH,False,HIGH,NORMAL,False
HIGH,NORMAL,HIGH,False,HIGH,LOW,False
HIGH,NORMAL,HIGH,False,HIGH,LOW,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
LOW,NORMAL,LOW,False,ZERO,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,ESOPHAGEAL,LOW,False,HIGH,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,NORMAL,False
HIGH,NORMAL,HIGH,False,HIGH,LOW,False
LOW,ONESIDED,LOW,False,LOW,HIGH,False
ZERO,NORMAL,ZERO,True,ZERO,ZERO,False
HIGH,NORMAL,HIGH,False,HIGH,LOW,False
ZERO,NORMAL,HIGH,False,HIGH,HIGH,False
LOW,ONESIDED,ZERO,False,LOW,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
ZERO,ONESIDED,NORMAL,False,NORMAL,LOW,True
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
ZERO,NORMAL,HIGH,False,HIGH,HIGH,False
LOW,NORMAL,ZERO,True,ZERO,NORMAL,False
LOW,NORMAL,ZERO,False,HIGH,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
ZERO,NORMAL,HIGH,False,HIGH,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,LOW,False
LOW,NORMAL,HIGH,False,HIGH,HIGH,False
LOW,NORMAL,ZERO,False,ZERO,HIGH,False
ZERO,NORMAL,ZERO,False,ZERO,HIGH,True
