HRBP,VENTTUBE,ERRCAUTER,PVSAT,CO,MINVOL,HRSAT,HREKG,PCWP,KINKEDTUBE,VENTALV,TPR
HIGH,LOW,True,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,LOW
HIGH,LOW,True,LOW,LOW,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,LOW,False,ZERO,NORMAL
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,LOW,False,ZERO,HIGH
LOW,LOW,False,HIGH,LOW,HIGH,LOW,LOW,LOW,False,HIGH,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,LOW,HIGH,HIGH,LOW,False,LOW,NORMAL
HIGH,LOW,False,LOW,NORMAL,ZERO,HIGH,HIGH,LOW,False,ZERO,NORMAL
LOW,LOW,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
LOW,LOW,False,LOW,LOW,ZERO,LOW,LOW,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,LOW,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,False,ZERO,HIGH
HIGH,HIGH,False,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,False,LOW,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
LOW,ZERO,False,LOW,NORMAL,NORMAL,LOW,LOW,NORMAL,False,NORMAL,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,NORMAL,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,True,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,NORMAL
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,True,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
LOW,ZERO,False,NORMAL,NORMAL,HIGH,LOW,LOW,HIGH,False,HIGH,HIGH
HIGH,LOW,True,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,NORMAL
LOW,ZERO,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,False,HIGH,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
LOW,LOW,False,LOW,LOW,ZERO,NORMAL,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,True,LOW,HIGH,ZERO,NORMAL,NORMAL,HIGH,False,ZERO,HIGH
HIGH,NORMAL,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,HIGH
LOW,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,LOW,LOW
HIGH,LOW,True,LOW,HIGH,ZERO,NORMAL,NORMAL,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,HIGH,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
