PULMEMBOLUS,LVFAILURE,INTUBATION,EXPCO2,MINVOL,VENTALV,SHUNT
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,HIGH,HIGH,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,True,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,True,NORMAL,LOW,ZERO,ZERO,NORMAL
False,True,NORMAL,LOW,HIGH,HIGH,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,ONESIDED,NORMAL,LOW,LOW,HIGH
False,True,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,HIGH,HIGH,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,HIGH
False,True,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,ONESIDED,HIGH,HIGH,LOW,HIGH
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,ONESIDED,LOW,NORMAL,NORMAL,HIGH
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,HIGH
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,ESOPHAGEAL,NORMAL,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,HIGH,HIGH,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,HIGH,HIGH,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,HIGH
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
False,False,NORMAL,LOW,ZERO,ZERO,NORMAL
