VENTMACH,ERRCAUTER,INSUFFANESTH,PVSAT,CO,HRSAT,PCWP,FIO2
NORMAL,True,False,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,False,HIGH,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,True,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,True,False,LOW,LOW,NORMAL,NORMAL,LOW
NORMAL,False,False,LOW,LOW,HIGH,LOW,NORMAL
NORMAL,False,False,LOW,NORMAL,LOW,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,LOW,LOW,HIGH,LOW,NORMAL
NORMAL,False,False,HIGH,LOW,LOW,LOW,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,HIGH,NORMAL
NORMAL,False,True,LOW,LOW,HIGH,LOW,NORMAL
NORMAL,False,False,LOW,NORMAL,HIGH,LOW,NORMAL
NORMAL,False,True,HIGH,NORMAL,LOW,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,LOW,LOW,LOW,NORMAL,NORMAL
NORMAL,False,False,LOW,LOW,HIGH,LOW,NORMAL
NORMAL,False,False,LOW,LOW,HIGH,HIGH,NORMAL
HIGH,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,LOW,NORMAL,LOW,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,HIGH,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,LOW,NORMAL,HIGH,HIGH,NORMAL
NORMAL,True,False,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,False,LOW,NORMAL,LOW,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,LOW
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,True,False,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,True,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,NORMAL,NORMAL,LOW,HIGH,LOW
NORMAL,True,False,LOW,HIGH,NORMAL,NORMAL,NORMAL
LOW,False,False,HIGH,NORMAL,LOW,HIGH,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,LOW,LOW,NORMAL,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,True,False,LOW,HIGH,NORMAL,HIGH,NORMAL
LOW,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,True,False,LOW,HIGH,NORMAL,HIGH,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,HIGH,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,HIGH,NORMAL
NORMAL,False,False,LOW,LOW,LOW,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,NORMAL,NORMAL
ZERO,True,False,HIGH,LOW,HIGH,HIGH,NORMAL
NORMAL,False,False,LOW,HIGH,HIGH,LOW,NORMAL
NORMAL,False,False,HIGH,HIGH,HIGH,LOW,NORMAL
NORMAL,False,False,LOW,HIGH,LOW,NORMAL,NORMAL
