VENTTUBE,INSUFFANESTH,LVEDVOLUME,PVSAT,MINVOL,PCWP,VENTLUNG,FIO2
LOW,False,NORMAL,LOW,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,HIGH,HIGH,NORMAL,LOW,NORMAL
LOW,True,NORMAL,LOW,ZERO,NORMAL,ZERO,NORMAL
LOW,False,HIGH,LOW,ZERO,NORMAL,ZERO,LOW
LOW,False,LOW,LOW,ZERO,LOW,ZERO,NORMAL
LOW,False,NORMAL,LOW,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,LOW,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,LOW,ZERO,NORMAL,ZERO,NORMAL
LOW,False,LOW,LOW,ZERO,LOW,ZERO,NORMAL
LOW,False,LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,False,NORMAL,LOW,ZERO,NORMAL,ZERO,NORMAL
LOW,False,HIGH,LOW,ZERO,HIGH,ZERO,NORMAL
LOW,True,HIGH,LOW,LOW,LOW,LOW,NORMAL
LOW,False,LOW,LOW,ZERO,LOW,ZERO,NORMAL
LOW,True,NORMAL,HIGH,HIGH,NORMAL,LOW,NORMAL
LOW,False,NORMAL,LOW,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,LOW,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,LOW,ZERO,NORMAL,ZERO,NORMAL
LOW,False,LOW,LOW,ZERO,LOW,ZERO,NORMAL
LOW,False,HIGH,LOW,ZERO,HIGH,ZERO,NORMAL
HIGH,False,NORMAL,LOW,HIGH,NORMAL,HIGH,NORMAL
LOW,False,NORMAL,LOW,ZERO,NORMAL,ZERO,NORMAL
ZERO,False,NORMAL,LOW,NORMAL,NORMAL,ZERO,NORMAL
LOW,False,HIGH,LOW,ZERO,HIGH,ZERO,NORMAL
ZERO,False,NORMAL,LOW,ZERO,NORMAL,ZERO,NORMAL
LOW,False,HIGH,LOW,ZERO,HIGH,ZERO,NORMAL
LOW,False,NORMAL,LOW,ZERO,NORMAL,ZERO,NORMAL
