ERRCAUTER,LVFAILURE,LVEDVOLUME,PVSAT,CO,PCWP,CVP
True,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,NORMAL,HIGH,HIGH,NORMAL,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
True,False,HIGH,LOW,LOW,NORMAL,HIGH
False,True,LOW,LOW,LOW,LOW,LOW
False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,True,LOW,LOW,LOW,LOW,NORMAL
False,True,LOW,HIGH,LOW,LOW,LOW
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,HIGH,LOW,HIGH,HIGH,HIGH
False,False,HIGH,LOW,LOW,LOW,HIGH
False,True,LOW,LOW,NORMAL,LOW,LOW
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,NORMAL,LOW,LOW,NORMAL,NORMAL
False,True,LOW,LOW,LOW,LOW,LOW
False,False,HIGH,LOW,LOW,HIGH,HIGH
False,False,NORMAL,LOW,HIGH,NORMAL,LOW
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL
False,False,HIGH,LOW,HIGH,HIGH,HIGH
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,HIGH,LOW,NORMAL,HIGH,HIGH
True,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
True,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,HIGH,NORMAL,NORMAL,HIGH,HIGH
True,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,HIGH,HIGH,NORMAL,HIGH,HIGH
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,NORMAL,LOW,LOW,NORMAL,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
True,False,HIGH,LOW,HIGH,HIGH,HIGH
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
True,False,HIGH,LOW,HIGH,HIGH,LOW
False,False,HIGH,LOW,HIGH,HIGH,HIGH
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,NORMAL,HIGH,HIGH,NORMAL,NORMAL
False,False,HIGH,LOW,HIGH,HIGH,HIGH
False,False,NORMAL,LOW,LOW,NORMAL,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
True,False,HIGH,HIGH,LOW,HIGH,HIGH
False,False,LOW,LOW,HIGH,LOW,LOW
False,False,NORMAL,HIGH,HIGH,LOW,NORMAL
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,False,HIGH,LOW,NORMAL,HIGH,HIGH
False,False,HIGH,LOW,LOW,HIGH,HIGH
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
False,True,LOW,HIGH,LOW,LOW,LOW
False,False,HIGH,HIGH,HIGH,HIGH,HIGH
False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
