HRBP,VENTMACH,VENTTUBE,INSUFFANESTH,LVFAILURE,INTUBATION,EXPCO2,PVSAT,MINVOL,HRSAT,HREKG,KINKEDTUBE,VENTALV,SHUNT,VENTLUNG,ARTCO2,HR
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH
HIGH,NORMAL,LOW,True,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,True,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,True,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,True,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,True,NORMAL,LOW,HIGH,HIGH,LOW,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
