HRBP,VENTMACH,VENTTUBE,INSUFFANESTH,EXPCO2,PVSAT,CO,MINVOL,HRSAT,HREKG,VENTALV,VENTLUNG,ARTCO2,HR
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,True,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,HIGH,LOW,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,NORMAL,LOW,LOW,LOW,HIGH,HIGH,LOW,LOW,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,True,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,HIGH,HIGH,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,ZERO,False,LOW,LOW,NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,ZERO,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,HIGH,HIGH
LOW,NORMAL,ZERO,False,LOW,NORMAL,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
LOW,LOW,ZERO,False,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,NORMAL,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,NORMAL,HIGH,ZERO,ZERO,HIGH,LOW
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,LOW,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,ZERO,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,HIGH,HIGH,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
NORMAL,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,ZERO,ZERO,False,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,LOW,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,HIGH,NORMAL,False,HIGH,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,HIGH,HIGH
LOW,ZERO,ZERO,False,ZERO,HIGH,LOW,HIGH,LOW,HIGH,HIGH,LOW,NORMAL,LOW
HIGH,NORMAL,LOW,False,NORMAL,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,HIGH,HIGH,True,NORMAL,HIGH,LOW,ZERO,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH
HIGH,HIGH,HIGH,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,NORMAL,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,NORMAL,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,True,NORMAL,NORMAL,HIGH,ZERO,HIGH,HIGH,LOW,LOW,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,HIGH
HIGH,HIGH,HIGH,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
LOW,HIGH,HIGH,False,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,True,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,LOW,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,LOW,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,True,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
