VENTMACH,VENTTUBE,INSUFFANESTH,LVFAILURE,INTUBATION,EXPCO2,PVSAT,CO,MINVOL,VENTALV,SHUNT,VENTLUNG,ARTCO2,HR
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH
NORMAL,LOW,True,False,NORMAL,LOW,LOW,HIGH,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,False,True,NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,False,True,NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,False,True,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,True,False,ONESIDED,NORMAL,LOW,LOW,LOW,LOW,HIGH,LOW,HIGH,HIGH
NORMAL,LOW,False,True,NORMAL,LOW,LOW,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,True,False,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,LOW,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,LOW,ZERO,ZERO,HIGH,ZERO,HIGH,NORMAL
NORMAL,LOW,False,True,NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,HIGH,False,False,ONESIDED,HIGH,LOW,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,ZERO,False,False,ONESIDED,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH,ZERO,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,ZERO,False,False,NORMAL,LOW,LOW,HIGH,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,ZERO,HIGH,ZERO,HIGH,NORMAL
