HRBP,VENTTUBE,LVEDVOLUME,PVSAT,CO,MINVOL,HRSAT,HREKG,VENTALV,TPR,VENTLUNG,ARTCO2,HR
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH
HIGH,LOW,HIGH,LOW,LOW,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,LOW,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,LOW,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH
HIGH,LOW,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,LOW,LOW,HIGH,LOW,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH
HIGH,LOW,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,LOW,HIGH,LOW,LOW,LOW,HIGH,HIGH,LOW,NORMAL,LOW,HIGH,HIGH
HIGH,LOW,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,LOW,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,LOW,NORMAL,LOW,LOW,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL
HIGH,LOW,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH
HIGH,LOW,HIGH,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH
HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,LOW,NORMAL,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,NORMAL,NORMAL
HIGH,LOW,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,ZERO,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH
HIGH,LOW,HIGH,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,LOW,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,LOW,HIGH,HIGH
LOW,ZERO,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL
HIGH,LOW,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH
