INTUBATION,PVSAT,PAP,MINVOL,KINKEDTUBE,VENTALV,VENTLUNG,ARTCO2,FIO2,SAO2,PRESS,ERRLOWOUTPUT,HISTORY
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,True,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,LOW,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,True
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,LOW,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,True
NORMAL,HIGH,LOW,HIGH,False,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False,True
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
ONESIDED,LOW,NORMAL,LOW,False,LOW,LOW,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,True
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,True
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
ONESIDED,LOW,NORMAL,HIGH,False,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,LOW,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
ONESIDED,LOW,HIGH,NORMAL,False,NORMAL,ZERO,NORMAL,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,LOW,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,HIGH,ZERO,False,ZERO,ZERO,HIGH,LOW,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
ESOPHAGEAL,LOW,HIGH,ZERO,False,ZERO,LOW,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,NORMAL,LOW,HIGH,False,HIGH,LOW,LOW,LOW,NORMAL,HIGH,False,False
NORMAL,LOW,LOW,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,False,False
NORMAL,LOW,HIGH,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,NORMAL,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,True,ZERO,ZERO,HIGH,NORMAL,LOW,ZERO,False,False
NORMAL,LOW,NORMAL,ZERO,True,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,NORMAL,ZERO,False,LOW,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,LOW,NORMAL,HIGH,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,True,False
NORMAL,LOW,NORMAL,LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,HIGH,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,HIGH,ZERO,False,ZERO,ZERO,HIGH,LOW,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,True,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,LOW,False,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,NORMAL,NORMAL,HIGH,HIGH,False,True
ESOPHAGEAL,HIGH,NORMAL,LOW,False,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
ESOPHAGEAL,HIGH,NORMAL,ZERO,False,HIGH,NORMAL,NORMAL,NORMAL,HIGH,HIGH,False,False
NORMAL,HIGH,LOW,HIGH,False,HIGH,LOW,LOW,NORMAL,HIGH,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,NORMAL,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,NORMAL,NORMAL,LOW,NORMAL,HIGH,NORMAL,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,False,False
ONESIDED,NORMAL,NORMAL,ZERO,False,LOW,LOW,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,True
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False,False
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,LOW,NORMAL,HIGH,LOW,False,False
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,LOW,NORMAL,HIGH,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,NORMAL,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,HIGH,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,LOW,LOW,HIGH,False,True
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,NORMAL,LOW,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,HIGH,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
ESOPHAGEAL,HIGH,NORMAL,LOW,False,HIGH,ZERO,NORMAL,NORMAL,HIGH,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,True
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,False,False
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,NORMAL,NORMAL,HIGH,LOW,False,False
ONESIDED,LOW,NORMAL,LOW,False,LOW,LOW,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,True,ZERO,ZERO,HIGH,NORMAL,LOW,ZERO,False,False
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,LOW,NORMAL,HIGH,LOW,False,False
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,NORMAL,NORMAL,HIGH,HIGH,False,False
ONESIDED,LOW,NORMAL,ZERO,False,LOW,LOW,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
ONESIDED,LOW,NORMAL,NORMAL,False,NORMAL,ZERO,NORMAL,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
NORMAL,HIGH,NORMAL,HIGH,False,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,True,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,True,False
NORMAL,HIGH,NORMAL,ZERO,False,HIGH,ZERO,LOW,NORMAL,HIGH,HIGH,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,False,False
NORMAL,LOW,NORMAL,ZERO,False,ZERO,ZERO,HIGH,NORMAL,LOW,HIGH,False,False
