VENTTUBE,PULMEMBOLUS,INTUBATION,EXPCO2,PVSAT,CO,MINVOL,HRSAT,VENTALV,SHUNT,VENTLUNG,ARTCO2,SAO2,PRESS,CATECHOL,DISCONNECT,MINVOLSET
LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,HIGH,LOW,HIGH,LOW,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,False,NORMAL
LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,HIGH,False,NORMAL
LOW,False,ONESIDED,NORMAL,LOW,LOW,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,False,NORMAL
LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,LOW,LOW,ZERO,LOW,ZERO,HIGH,ZERO,HIGH,LOW,NORMAL,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,HIGH,False,NORMAL
LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,HIGH,False,NORMAL
HIGH,False,ONESIDED,HIGH,LOW,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,False,NORMAL
