VENTMACH,VENTTUBE,EXPCO2,PVSAT,MINVOL,VENTALV,SHUNT,VENTLUNG,ARTCO2,SAO2,PRESS,HYPOVOLEMIA,DISCONNECT,MINVOLSET
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False,False,NORMAL
NORMAL,LOW,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,True,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False,False,NORMAL
NORMAL,LOW,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True,False,NORMAL
NORMAL,LOW,NORMAL,LOW,LOW,LOW,HIGH,LOW,HIGH,LOW,HIGH,True,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False,False,NORMAL
NORMAL,LOW,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,HIGH,ZERO,HIGH,LOW,NORMAL,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True,False,NORMAL
HIGH,HIGH,HIGH,LOW,HIGH,LOW,HIGH,HIGH,HIGH,LOW,HIGH,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False,False,NORMAL
NORMAL,ZERO,LOW,LOW,NORMAL,NORMAL,HIGH,ZERO,NORMAL,LOW,LOW,False,True,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True,False,NORMAL
NORMAL,ZERO,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False,True,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,HIGH,ZERO,HIGH,LOW,LOW,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False,False,NORMAL
NORMAL,LOW,NORMAL,LOW,ZERO,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,False,False,NORMAL
NORMAL,ZERO,LOW,NORMAL,HIGH,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,True,True,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False,False,NORMAL
LOW,ZERO,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,True,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,HIGH,ZERO,HIGH,LOW,LOW,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,NORMAL,LOW,HIGH,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,True,False,NORMAL
LOW,NORMAL,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,ZERO,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,LOW,NORMAL,ZERO,HIGH,LOW,NORMAL,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True,False,NORMAL
NORMAL,LOW,ZERO,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False,False,NORMAL
HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,LOW,False,False,HIGH
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True,False,NORMAL
NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,LOW,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False,False,NORMAL
NORMAL,LOW,LOW,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False,False,NORMAL
