HRBP,ERRCAUTER,INSUFFANESTH,HR,ERRLOWOUTPUT
HIGH,True,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,True,HIGH,False
HIGH,True,False,HIGH,False
HIGH,False,False,HIGH,False
LOW,False,False,NORMAL,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
LOW,False,False,NORMAL,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,True,HIGH,False
HIGH,False,False,HIGH,False
LOW,False,True,NORMAL,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
LOW,False,False,NORMAL,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
LOW,False,False,NORMAL,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,True,False,HIGH,False
LOW,False,False,NORMAL,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,True,False,HIGH,False
HIGH,False,True,HIGH,False
LOW,False,False,NORMAL,False
HIGH,True,False,HIGH,False
LOW,False,False,NORMAL,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
LOW,False,False,LOW,False
HIGH,False,False,HIGH,False
HIGH,True,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
LOW,False,False,HIGH,False
HIGH,True,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
NORMAL,False,False,HIGH,True
LOW,False,False,NORMAL,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
LOW,True,False,NORMAL,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
LOW,False,False,LOW,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,True,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
LOW,False,False,NORMAL,False
HIGH,False,False,HIGH,False
HIGH,False,True,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,True,False,HIGH,False
HIGH,False,False,HIGH,False
LOW,False,False,NORMAL,False
HIGH,False,False,HIGH,False
HIGH,False,True,HIGH,False
HIGH,True,False,HIGH,False
LOW,False,False,NORMAL,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
LOW,False,False,NORMAL,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
LOW,False,False,NORMAL,False
LOW,False,False,NORMAL,False
HIGH,False,True,HIGH,False
HIGH,True,False,HIGH,False
HIGH,False,True,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,True,HIGH,False
HIGH,True,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
LOW,False,False,NORMAL,False
HIGH,False,True,HIGH,False
HIGH,True,False,HIGH,False
HIGH,False,True,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
HIGH,False,False,HIGH,False
NORMAL,False,False,HIGH,True
HIGH,False,True,HIGH,False
