PULMEMBOLUS,EXPCO2,VENTLUNG,ARTCO2
False,LOW,ZERO,HIGH
False,LOW,LOW,LOW
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,LOW,LOW
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,NORMAL,LOW,HIGH
False,LOW,ZERO,HIGH
False,LOW,LOW,LOW
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,HIGH,HIGH,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,NORMAL
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,NORMAL,LOW,HIGH
False,LOW,LOW,LOW
False,LOW,ZERO,HIGH
False,LOW,LOW,LOW
False,LOW,ZERO,HIGH
False,LOW,ZERO,NORMAL
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,ZERO,ZERO,HIGH
False,LOW,LOW,LOW
False,LOW,ZERO,HIGH
False,NORMAL,NORMAL,NORMAL
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,LOW,LOW
False,LOW,ZERO,HIGH
False,LOW,LOW,LOW
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,HIGH,HIGH,HIGH
False,ZERO,LOW,NORMAL
False,NORMAL,NORMAL,LOW
False,LOW,ZERO,HIGH
False,NORMAL,NORMAL,NORMAL
False,LOW,LOW,LOW
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,NORMAL,NORMAL,LOW
False,LOW,ZERO,HIGH
False,LOW,LOW,LOW
False,NORMAL,LOW,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,LOW,LOW
False,LOW,LOW,LOW
False,LOW,LOW,LOW
False,LOW,ZERO,NORMAL
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,NORMAL
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,ZERO,LOW,NORMAL
False,NORMAL,LOW,HIGH
False,LOW,ZERO,HIGH
False,LOW,LOW,LOW
False,ZERO,LOW,NORMAL
False,NORMAL,LOW,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,NORMAL
False,LOW,ZERO,HIGH
False,LOW,LOW,LOW
False,LOW,ZERO,HIGH
False,ZERO,ZERO,LOW
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,ZERO,LOW,NORMAL
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,LOW,ZERO,HIGH
False,NORMAL,ZERO,HIGH
