VENTTUBE,PVSAT,VENTALV,FIO2,SAO2
LOW,LOW,ZERO,NORMAL,LOW
LOW,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,LOW,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,LOW,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
HIGH,LOW,LOW,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
ZERO,LOW,NORMAL,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
ZERO,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,LOW,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
ZERO,NORMAL,HIGH,LOW,NORMAL
LOW,LOW,ZERO,NORMAL,LOW
ZERO,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
NORMAL,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,LOW,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
HIGH,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
ZERO,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
ZERO,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,LOW,LOW
LOW,LOW,ZERO,NORMAL,LOW
NORMAL,LOW,LOW,NORMAL,LOW
ZERO,HIGH,HIGH,NORMAL,HIGH
LOW,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
HIGH,HIGH,HIGH,NORMAL,HIGH
HIGH,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
ZERO,HIGH,HIGH,NORMAL,HIGH
LOW,NORMAL,LOW,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,HIGH,HIGH,NORMAL,HIGH
HIGH,HIGH,HIGH,NORMAL,HIGH
HIGH,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,HIGH
LOW,LOW,ZERO,LOW,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
HIGH,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,LOW,NORMAL,LOW
ZERO,LOW,ZERO,NORMAL,LOW
HIGH,HIGH,HIGH,NORMAL,HIGH
ZERO,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,LOW,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
ZERO,LOW,NORMAL,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
ZERO,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
LOW,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
ZERO,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,LOW,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,LOW,LOW
LOW,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
ZERO,LOW,ZERO,NORMAL,LOW
LOW,LOW,LOW,NORMAL,LOW
ZERO,HIGH,HIGH,NORMAL,NORMAL
ZERO,HIGH,HIGH,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,NORMAL
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
HIGH,HIGH,HIGH,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
ZERO,HIGH,HIGH,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,LOW
LOW,LOW,ZERO,NORMAL,HIGH
LOW,LOW,ZERO,LOW,LOW
LOW,LOW,ZERO,LOW,LOW
LOW,LOW,ZERO,NORMAL,LOW
