KINKEDTUBE,ARTCO2,PRESS
False,HIGH,NORMAL
False,LOW,HIGH
True,HIGH,HIGH
False,HIGH,LOW
False,HIGH,NORMAL
False,HIGH,LOW
False,HIGH,LOW
False,HIGH,LOW
False,HIGH,LOW
False,LOW,NORMAL
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,LOW,NORMAL
False,HIGH,LOW
False,HIGH,LOW
False,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,LOW
False,NORMAL,LOW
False,HIGH,HIGH
False,HIGH,NORMAL
False,HIGH,NORMAL
False,HIGH,LOW
False,HIGH,LOW
False,HIGH,LOW
False,HIGH,NORMAL
False,HIGH,LOW
False,HIGH,HIGH
False,LOW,HIGH
False,HIGH,HIGH
False,LOW,HIGH
False,HIGH,LOW
False,NORMAL,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,LOW
True,HIGH,ZERO
True,HIGH,NORMAL
False,HIGH,NORMAL
False,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,HIGH
False,LOW,LOW
False,HIGH,HIGH
False,NORMAL,LOW
False,HIGH,NORMAL
False,HIGH,NORMAL
False,LOW,HIGH
False,HIGH,NORMAL
False,LOW,HIGH
False,HIGH,LOW
False,HIGH,LOW
True,HIGH,HIGH
False,HIGH,HIGH
False,NORMAL,HIGH
False,LOW,HIGH
False,HIGH,HIGH
False,NORMAL,HIGH
False,LOW,LOW
False,HIGH,NORMAL
False,HIGH,LOW
False,HIGH,LOW
False,LOW,NORMAL
False,HIGH,NORMAL
False,LOW,HIGH
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,LOW
False,LOW,NORMAL
False,LOW,LOW
False,LOW,LOW
False,NORMAL,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,NORMAL
False,HIGH,NORMAL
False,HIGH,NORMAL
False,HIGH,LOW
False,NORMAL,HIGH
False,HIGH,LOW
False,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,NORMAL
False,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,NORMAL
False,NORMAL,LOW
False,HIGH,HIGH
True,HIGH,ZERO
False,LOW,LOW
False,NORMAL,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,NORMAL,LOW
False,HIGH,HIGH
False,LOW,HIGH
True,HIGH,NORMAL
False,LOW,HIGH
False,HIGH,LOW
False,HIGH,HIGH
False,NORMAL,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,LOW
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,LOW
False,LOW,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,NORMAL,HIGH
False,LOW,HIGH
False,HIGH,NORMAL
False,HIGH,LOW
False,HIGH,LOW
False,HIGH,NORMAL
False,LOW,NORMAL
False,HIGH,LOW
False,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,HIGH
False,LOW,NORMAL
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,LOW
False,LOW,HIGH
False,NORMAL,HIGH
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,HIGH
False,LOW,HIGH
False,HIGH,LOW
True,HIGH,LOW
False,HIGH,LOW
False,LOW,HIGH
False,HIGH,HIGH
False,NORMAL,HIGH
False,NORMAL,HIGH
False,HIGH,NORMAL
True,HIGH,ZERO
False,HIGH,HIGH
False,HIGH,HIGH
True,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,NORMAL
False,LOW,HIGH
False,HIGH,NORMAL
False,LOW,HIGH
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,NORMAL
False,HIGH,LOW
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,NORMAL
False,HIGH,NORMAL
False,NORMAL,HIGH
False,HIGH,LOW
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,NORMAL
False,LOW,HIGH
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,LOW
False,LOW,HIGH
False,HIGH,HIGH
False,NORMAL,LOW
False,LOW,HIGH
False,HIGH,NORMAL
False,HIGH,LOW
False,LOW,HIGH
False,LOW,LOW
False,NORMAL,HIGH
False,HIGH,HIGH
False,LOW,HIGH
False,HIGH,NORMAL
False,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,LOW
False,LOW,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,LOW,HIGH
False,HIGH,NORMAL
False,LOW,LOW
False,LOW,HIGH
False,HIGH,LOW
False,HIGH,LOW
False,NORMAL,ZERO
False,HIGH,NORMAL
False,HIGH,NORMAL
False,HIGH,LOW
False,LOW,LOW
False,HIGH,NORMAL
False,LOW,HIGH
False,HIGH,HIGH
False,LOW,HIGH
False,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,LOW
False,LOW,HIGH
False,HIGH,LOW
False,HIGH,NORMAL
False,HIGH,HIGH
False,NORMAL,HIGH
False,HIGH,LOW
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,LOW
False,LOW,LOW
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,LOW
False,HIGH,NORMAL
False,LOW,HIGH
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,NORMAL
False,HIGH,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,LOW,LOW
False,HIGH,NORMAL
False,HIGH,NORMAL
True,HIGH,ZERO
False,HIGH,HIGH
False,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,LOW,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,NORMAL,HIGH
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,NORMAL
False,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,ZERO
False,HIGH,NORMAL
False,HIGH,HIGH
False,LOW,HIGH
False,HIGH,NORMAL
False,LOW,HIGH
False,NORMAL,ZERO
False,HIGH,NORMAL
False,HIGH,NORMAL
False,HIGH,LOW
False,HIGH,NORMAL
False,HIGH,HIGH
False,LOW,HIGH
False,NORMAL,LOW
False,HIGH,HIGH
True,HIGH,ZERO
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
True,HIGH,NORMAL
False,LOW,LOW
False,LOW,HIGH
False,HIGH,LOW
False,LOW,ZERO
False,LOW,LOW
False,HIGH,HIGH
False,HIGH,NORMAL
False,LOW,LOW
False,HIGH,HIGH
False,NORMAL,HIGH
False,HIGH,LOW
False,HIGH,NORMAL
False,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
True,LOW,ZERO
False,LOW,HIGH
False,HIGH,NORMAL
False,HIGH,LOW
False,HIGH,NORMAL
False,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,LOW,HIGH
False,HIGH,LOW
False,NORMAL,HIGH
True,HIGH,LOW
False,NORMAL,NORMAL
False,HIGH,NORMAL
False,HIGH,HIGH
True,HIGH,NORMAL
False,HIGH,HIGH
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,NORMAL
False,HIGH,NORMAL
False,HIGH,HIGH
False,LOW,NORMAL
False,LOW,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,HIGH
False,HIGH,LOW
False,NORMAL,HIGH
False,LOW,HIGH
True,HIGH,LOW
False,LOW,HIGH
False,HIGH,HIGH
False,NORMAL,HIGH
False,HIGH,HIGH
False,LOW,HIGH
False,HIGH,NORMAL
False,LOW,HIGH
False,HIGH,HIGH
False,LOW,HIGH
False,LOW,LOW
False,HIGH,HIGH
False,HIGH,HIGH
False,NORMAL,HIGH
False,HIGH,HIGH
False,LOW,HIGH
False,NORMAL,HIGH
False,HIGH,HIGH
False,HIGH,NORMAL
False,LOW,HIGH
False,HIGH,LOW
False,HIGH,HIGH
False,HIGH,LOW
