PULMEMBOLUS,INTUBATION,VENTALV,SHUNT,SAO2
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,ONESIDED,LOW,HIGH,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,HIGH,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,ONESIDED,LOW,HIGH,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,ONESIDED,NORMAL,HIGH,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,HIGH,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,ESOPHAGEAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,NORMAL
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,HIGH,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,LOW,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,NORMAL,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,LOW,HIGH,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,ESOPHAGEAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,ESOPHAGEAL,HIGH,NORMAL,HIGH
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,NORMAL,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,ONESIDED,LOW,HIGH,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,ESOPHAGEAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,ONESIDED,LOW,HIGH,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,HIGH,NORMAL,HIGH
False,ONESIDED,LOW,HIGH,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,ONESIDED,NORMAL,HIGH,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,HIGH,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,ONESIDED,LOW,HIGH,LOW
False,NORMAL,HIGH,HIGH,NORMAL
False,NORMAL,HIGH,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,NORMAL
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
True,NORMAL,HIGH,HIGH,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,HIGH,HIGH,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,HIGH
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,LOW
