INSUFFANESTH,EXPCO2,KINKEDTUBE,VENTALV,TPR,VENTLUNG,ARTCO2,PRESS,CATECHOL,STROKEVOLUME
False,LOW,False,ZERO,HIGH,ZERO,HIGH,NORMAL,HIGH,HIGH
False,LOW,False,HIGH,LOW,LOW,LOW,HIGH,HIGH,NORMAL
True,LOW,True,ZERO,LOW,ZERO,HIGH,HIGH,HIGH,NORMAL
False,LOW,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,LOW
False,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL,HIGH,LOW
False,LOW,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,NORMAL
False,LOW,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,NORMAL
False,LOW,False,ZERO,LOW,ZERO,HIGH,LOW,HIGH,NORMAL
False,LOW,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,LOW
False,LOW,False,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,LOW
False,LOW,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,NORMAL
False,LOW,False,ZERO,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL
True,NORMAL,False,LOW,NORMAL,LOW,HIGH,HIGH,HIGH,LOW
False,LOW,False,ZERO,NORMAL,ZERO,HIGH,HIGH,HIGH,LOW
True,LOW,False,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL
False,LOW,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,NORMAL
False,LOW,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,NORMAL
False,LOW,False,ZERO,LOW,ZERO,HIGH,NORMAL,HIGH,LOW
False,LOW,False,ZERO,LOW,ZERO,HIGH,HIGH,HIGH,LOW
False,LOW,False,ZERO,HIGH,ZERO,HIGH,NORMAL,HIGH,LOW
False,HIGH,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL
False,LOW,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,NORMAL
False,LOW,False,NORMAL,LOW,ZERO,NORMAL,LOW,HIGH,NORMAL
