Fulfilment,Sales Channel ,ship-service-level,Qty,currency,ship-postal-code,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,1,INR,533126,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,600042,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,695541,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,194101,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,411027,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,531001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,411033,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,683515,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,400072,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,688013,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,800026,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,201301,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,572102,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,325221,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,502270,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,490011,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,560028,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,560028,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,342009,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,600062,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,462039,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,854301,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,400006,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,411036,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,509001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,500026,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,500017,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,688535,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,781001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,560049,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,834001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,834001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,560102,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,522501,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,502032,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,600094,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,400091,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,122001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,500030,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,421003,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,600004,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,143001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,500075,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,400608,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,122004,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,635109,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,625017,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,507002,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,678007,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,400065,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,411041,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,628216,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,628216,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,700078,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,560076,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,411021,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,670004,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,500013,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,110059,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,492001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,500049,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,683518,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,249193,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,600070,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,600070,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,600070,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,600070,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,682034,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,534001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,201310,IN,Easy Ship,False
