Fulfilment,Sales Channel ,ship-service-level,Style,Qty,currency,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,J0385,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3654,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3798,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0152,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0157,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET398,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET355,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3904,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET183,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET224,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3802,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET333,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0280,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3793,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET145,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,NW031,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3738,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET356,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0013,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0294,1,INR,IN,Easy Ship,False
