Fulfilment,Sales Channel ,ship-service-level,SKU,Qty,currency,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,J0385-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3654-TP-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3798-KR-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0152-DR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0157-DR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET398-KR-PP-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-A-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET355-KR-PP-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3904-DR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET183-KR-DH-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET224-KR-NP-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3802-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET333-KR-DPT-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0280-SKD-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3793-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET145-KR-NP-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,NW031-TP-PJ-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3738-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET356-KR-NP-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0013-SKD-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-A-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0294-TP-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3687-TU-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET293-KR-NP-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0117-TP-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0113-TP-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET347-KR-NP-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0003-SET-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3609-KR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0281-SKD-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET187-KR-DH-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0281-SKD-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3640-TP-N-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3487-KR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,NW030-TP-PJ-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5003-KR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0308-DR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3639-TP-N-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET355-KR-PP-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3697-KR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,PJNE3068-KR-5XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3468-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327-KR-DPT-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET307-KR-DPT-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3818-KR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET436-KR-NP-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3710-DR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-A-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET291-KR-PP-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET278-KR-NP-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET347-KR-NP-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3865-TP-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3779-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3759-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3798-KR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3720-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3431-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3753-KR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET317-KR-PP-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327-KR-DPT-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET236-KR-PP-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0126-SKD-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3567-KR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0348-SET-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3577-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5032-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0308-DR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3471-KR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3265-KR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3862-TU-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET187-KR-DH-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3905-DR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3836-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0003-SET-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3904-DR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0164-DR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3818-KR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET397-KR-NP  -M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3798-KR-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3671-TU-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3601-KR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5011-KR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3861-DR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0150-KR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0301-TP-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET281-KR-PP-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3735-KR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3449-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,NW012-TP-PJ-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5019-KR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0117-TP-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET291-KR-PP-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET310-KR-NP-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET401-KR-NP-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3627-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-L,1,INR,IN,Easy Ship,False
