Fulfilment,Sales Channel ,ship-service-level,Qty,currency,Amount,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,1,INR,888,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,371,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,0,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,690,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,885,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,1186,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,721,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,1229,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,599,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,759,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,1132,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,487,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,967,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,1556,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,355,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,885,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,788,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,582,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,383,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,999,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,1072,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,377,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,545,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,736,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,545,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,574,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,852,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,696,IN,Easy Ship,False
