Fulfilment,Sales Channel ,ship-service-level,Style,Category,Size,currency,Amount,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,J0385,kurta,M,INR,888,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3654,Top,XXL,INR,371,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3798,Western Dress,XS,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0152,Western Dress,L,INR,0,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0157,Western Dress,XL,INR,690,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341,Western Dress,L,INR,885,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800,Western Dress,M,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET398,Set,3XL,INR,1186,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869,Western Dress,M,INR,721,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800,Western Dress,L,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET355,Set,3XL,INR,1229,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800,Western Dress,XXL,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3904,Western Dress,3XL,INR,599,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET183,Set,M,INR,759,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET224,Set,XL,INR,1132,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3802,kurta,XL,INR,487,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET333,Set,M,INR,967,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0280,Set,M,INR,1556,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3793,kurta,XL,INR,355,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797,Western Dress,XL,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341,Western Dress,3XL,INR,885,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET145,Set,L,INR,788,IN,Easy Ship,False
Merchant,Amazon.in,Standard,NW031,Set,3XL,INR,582,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3738,kurta,XL,INR,383,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET356,Set,3XL,INR,999,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0013,Set,3XL,INR,1072,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800,Western Dress,S,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0294,Top,XS,INR,377,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3687,Top,3XL,INR,545,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET293,Set,XS,INR,736,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0117,Top,M,INR,545,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0113,Top,M,INR,574,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET347,Set,M,INR,852,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0003,Set,M,INR,696,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3609,kurta,XXL,INR,568,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0281,Set,L,INR,1477,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET187,Set,XL,INR,699,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0281,Set,L,INR,1477,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3640,Top,XXL,INR,518,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797,Western Dress,XL,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3487,kurta,S,INR,345,IN,Easy Ship,False
Merchant,Amazon.in,Standard,NW030,Set,L,INR,582,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797,Western Dress,XL,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5003,kurta,XXL,INR,633,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0308,Western Dress,3XL,INR,665,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3639,Top,XL,INR,518,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET355,Set,3XL,INR,1229,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3697,kurta,XXL,INR,517,IN,Easy Ship,False
Merchant,Amazon.in,Standard,PJNE3068,kurta,5XL,INR,1099,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3468,kurta,XL,INR,399,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341,Western Dress,3XL,INR,885,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327,Set,S,INR,999,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET307,Set,S,INR,736,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3818,kurta,XXL,INR,475,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET436,Set,XS,INR,1399,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3710,Western Dress,M,INR,699,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797,Western Dress,XL,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800,Western Dress,3XL,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET291,Set,3XL,INR,605,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET278,Set,S,INR,0,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341,Western Dress,L,INR,885,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET347,Set,XS,INR,852,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3865,Top,XXL,INR,513,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3779,kurta,XL,INR,346,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3759,kurta,XL,INR,568,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3798,Western Dress,L,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3720,kurta,XL,INR,517,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797,Western Dress,XL,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3431,kurta,M,INR,333,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3753,kurta,S,INR,475,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET317,Set,M,INR,1199,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327,Set,XL,INR,999,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET236,Set,M,INR,788,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0126,Set,M,INR,783,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3567,kurta,3XL,INR,399,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800,Western Dress,XXL,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0348,Set,XL,INR,478,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3577,kurta,M,INR,696,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797,Western Dress,XL,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5032,kurta,XL,INR,811,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0308,Western Dress,3XL,INR,665,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3471,kurta,L,INR,318,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3265,kurta,L,INR,318,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3862,Top,L,INR,599,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797,Western Dress,XL,INR,771,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET187,Set,XL,INR,699,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3905,Western Dress,S,INR,869,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3836,kurta,XL,INR,666,IN,Easy Ship,False
