Fulfilment,Sales Channel ,ship-service-level,SKU,currency,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,J0385-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3654-TP-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3798-KR-XS,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0152-DR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0157-DR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET398-KR-PP-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-A-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET355-KR-PP-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3904-DR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET183-KR-DH-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET224-KR-NP-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3802-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET333-KR-DPT-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0280-SKD-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3793-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET145-KR-NP-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,NW031-TP-PJ-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3738-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET356-KR-NP-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0013-SKD-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-A-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0294-TP-XS,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3687-TU-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET293-KR-NP-XS,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0117-TP-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0113-TP-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET347-KR-NP-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0003-SET-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3609-KR-XXL,INR,IN,Easy Ship,False
