Order ID,Fulfilment,Sales Channel ,ship-service-level,currency,ship-country,fulfilled-by,Unnamed: 22
408-4858463-2356347,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
402-7697834-2682766,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
402-7031777-0396341,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
408-1235521-4337163,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
403-3845187-4421165,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
171-1835528-9515557,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
407-3443436-4510708,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
408-0730692-6026747,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
407-3165269-1194731,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
171-2320443-6127563,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
402-3890557-2185149,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
407-8148061-4084353,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
404-5160267-7056315,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
405-7578712-9960320,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
171-8262036-7396339,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
404-9674095-7041128,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
408-7891501-1393915,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
408-7891501-1393915,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
405-8584178-5101966,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
404-8874122-8743552,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
407-7570887-8013113,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
408-5384140-8465103,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
408-2671397-6563516,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
