Fulfilment,Sales Channel ,ship-service-level,currency,ship-postal-code,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,INR,533126,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600042,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,695541,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,194101,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,411027,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,531001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,411033,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,683515,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400072,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,688013,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,800026,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,201301,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,572102,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,325221,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,502270,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,490011,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560028,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560028,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,342009,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600062,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,462039,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,854301,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400006,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,411036,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,509001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500026,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500017,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,688535,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,781001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560049,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,834001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,834001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560102,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,522501,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,502032,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600094,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400091,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,122001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500030,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,421003,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600004,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,143001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500075,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400608,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,122004,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,635109,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,625017,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,507002,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,678007,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400065,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,411041,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,628216,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,628216,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,700078,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560076,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,411021,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,670004,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500013,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,110059,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,492001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500049,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,683518,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,249193,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600070,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600070,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600070,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600070,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,682034,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,534001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,201310,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,497001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,632014,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,522034,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,522034,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,530044,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,251001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600078,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,562107,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,401305,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,201002,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400055,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560058,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560058,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,506001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500089,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400066,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,403713,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,201301,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560093,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,121004,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500016,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,201017,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560024,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,263139,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,690507,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560102,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,176057,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,201301,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500059,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,743268,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,416012,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,144514,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400056,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,575014,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600078,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,522001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600099,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,734008,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400093,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,637201,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,226022,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,411021,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400102,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,147001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560100,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400060,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,523316,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560043,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,131029,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600078,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,121004,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,751021,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,412307,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,769042,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560043,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560029,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,226002,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500083,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,171004,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,832110,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,208002,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500049,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500049,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,360330,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,411026,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,201301,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500015,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,226016,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,226016,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500072,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560076,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,631501,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600042,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,501505,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,572102,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,682018,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,713335,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,131001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400051,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,629158,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,686672,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,522017,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,403002,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,395003,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,180001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,421204,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,641301,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,390011,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400607,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,587301,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,390020,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,390020,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,831005,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,208014,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,411015,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,636402,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,201304,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,534145,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,452010,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560099,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,380061,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500062,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,247001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560060,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,500068,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600021,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400101,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,577501,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,110002,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400101,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,360005,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,334022,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560067,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,581320,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,683101,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,679577,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,834009,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,834009,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,734003,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,226025,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,110076,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,122004,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,686673,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,226016,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,524001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,411023,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,800014,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560068,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560037,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560016,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,695563,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600078,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,122001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,201005,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,201010,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,760001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,282001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560010,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,700033,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,110059,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,802301,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,248001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,534462,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,412806,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,177022,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,370001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,110059,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,305001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560020,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600085,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400058,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600018,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,678007,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,421301,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400067,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,700017,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,560100,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600053,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,782002,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,201301,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,441601,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,600073,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,641030,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,680751,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,602105,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,441111,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,799001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,795001,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,452010,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,160015,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,400607,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,411014,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,247667,IN,Easy Ship,False
