index,Fulfilment,Sales Channel ,ship-service-level,currency,ship-country,fulfilled-by,Unnamed: 22
49051,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49077,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49081,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49082,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49083,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49086,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49090,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49092,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49093,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49100,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49104,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49111,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49115,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49120,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49124,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49134,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49138,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49139,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49144,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49146,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49152,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49153,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49154,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49155,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49156,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49158,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49169,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49171,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49175,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49179,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49182,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49183,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49185,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49186,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49187,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49191,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49193,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49196,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49198,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49199,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49208,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49220,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49222,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49224,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49234,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49241,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49244,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49246,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49247,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49249,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49250,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49255,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49256,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49257,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49282,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49287,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49289,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49292,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49296,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49299,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49304,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49305,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49313,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49321,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49322,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49323,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49324,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49325,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49327,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49335,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49341,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49342,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49350,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49351,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49354,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49359,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49362,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49369,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49370,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49372,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49379,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49384,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49385,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49397,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49406,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49407,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49411,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49412,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49417,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49420,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49429,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49437,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49438,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49443,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49445,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49450,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49452,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
