RUQO2,HypoxiaInO2,LungFlow,Grunting,GruntingReport,Sick,LungParench
<5,Severe,Low,no,no,no,Normal
<5,Moderate,Low,no,no,no,Normal
12+,Mild,Normal,no,no,yes,Abnormal
<5,Severe,High,no,yes,no,Abnormal
5-12,Moderate,Normal,no,no,no,Normal
<5,Severe,High,no,no,no,Normal
12+,Severe,Low,no,no,no,Normal
<5,Moderate,Low,no,no,no,Normal
5-12,Moderate,Low,no,no,yes,Normal
5-12,Severe,Normal,no,yes,no,Normal
12+,Moderate,High,no,no,yes,Normal
5-12,Moderate,Normal,no,no,yes,Normal
5-12,Severe,High,no,no,no,Normal
<5,Severe,High,no,no,no,Normal
<5,Moderate,High,no,no,yes,Normal
<5,Moderate,Low,no,no,no,Normal
<5,Severe,Low,no,yes,no,Normal
12+,Mild,Normal,no,no,no,Normal
<5,Moderate,High,no,no,yes,Normal
5-12,Mild,High,no,no,no,Normal
5-12,Severe,High,no,no,no,Abnormal
<5,Moderate,Low,no,no,no,Normal
12+,Severe,High,no,no,yes,Normal
5-12,Moderate,High,no,no,no,Normal
<5,Moderate,Normal,yes,yes,no,Normal
<5,Severe,High,no,no,no,Normal
5-12,Severe,High,no,no,yes,Normal
<5,Moderate,Low,no,no,no,Normal
5-12,Moderate,Low,no,no,no,Normal
5-12,Moderate,Low,no,yes,no,Congested
5-12,Moderate,Low,no,no,no,Normal
5-12,Moderate,High,no,no,no,Normal
<5,Moderate,Low,no,no,no,Normal
5-12,Moderate,Low,no,no,no,Normal
<5,Severe,High,no,no,no,Normal
12+,Mild,Normal,yes,yes,yes,Normal
<5,Severe,High,yes,no,yes,Normal
5-12,Severe,Low,no,no,no,Normal
5-12,Severe,High,no,no,no,Abnormal
5-12,Moderate,Low,no,no,no,Normal
<5,Moderate,Low,no,no,no,Normal
5-12,Mild,Low,yes,no,no,Abnormal
<5,Severe,High,yes,yes,yes,Abnormal
5-12,Moderate,High,no,no,yes,Normal
<5,Severe,Low,yes,yes,no,Abnormal
5-12,Moderate,Low,no,no,no,Normal
5-12,Moderate,Low,yes,yes,yes,Normal
5-12,Mild,High,no,no,no,Abnormal
5-12,Severe,High,no,no,no,Normal
5-12,Moderate,Normal,no,yes,no,Normal
5-12,Severe,Normal,no,yes,no,Normal
<5,Severe,High,yes,yes,no,Abnormal
<5,Moderate,High,no,no,no,Normal
5-12,Mild,High,no,no,no,Normal
12+,Moderate,Low,no,no,no,Normal
5-12,Severe,High,no,yes,no,Normal
<5,Severe,High,no,no,no,Normal
