HypoxiaInO2,LowerBodyO2,HypDistrib,LVH
Moderate,5-12,Equal,no
Mild,5-12,Equal,no
Moderate,5-12,Equal,yes
Moderate,12+,Equal,no
Severe,5-12,Equal,no
Moderate,5-12,Equal,no
Severe,12+,Equal,yes
Moderate,<5,Equal,no
Severe,<5,Equal,yes
Moderate,<5,Equal,no
Severe,<5,Equal,yes
Severe,<5,Equal,no
Moderate,12+,Equal,yes
Severe,5-12,Equal,no
Moderate,5-12,Equal,yes
Severe,5-12,Equal,no
Moderate,5-12,Equal,no
Severe,5-12,Equal,yes
Moderate,<5,Equal,no
Mild,12+,Equal,no
Moderate,<5,Equal,no
Severe,12+,Equal,yes
Moderate,5-12,Unequal,no
Moderate,<5,Equal,no
Moderate,5-12,Equal,yes
Severe,<5,Equal,no
Moderate,<5,Equal,no
Mild,12+,Equal,yes
Severe,<5,Equal,yes
Moderate,5-12,Equal,no
Moderate,<5,Equal,no
Moderate,5-12,Equal,yes
Mild,12+,Equal,no
Severe,<5,Equal,no
Moderate,<5,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Equal,no
Severe,<5,Equal,no
Severe,<5,Equal,no
Mild,12+,Equal,no
Mild,<5,Equal,no
Moderate,5-12,Equal,no
Severe,5-12,Equal,no
Moderate,5-12,Equal,no
Severe,5-12,Equal,no
Severe,<5,Equal,no
Severe,5-12,Unequal,yes
Moderate,<5,Equal,no
Moderate,5-12,Equal,no
Severe,12+,Equal,no
Moderate,12+,Unequal,no
Moderate,5-12,Equal,no
Severe,5-12,Equal,no
Moderate,5-12,Equal,yes
Severe,12+,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Unequal,yes
Mild,5-12,Equal,no
Moderate,5-12,Equal,no
Mild,5-12,Equal,no
Moderate,5-12,Equal,yes
Mild,5-12,Equal,no
Mild,12+,Equal,yes
Moderate,5-12,Equal,yes
Moderate,5-12,Equal,yes
Mild,12+,Equal,no
Moderate,<5,Equal,no
Severe,<5,Equal,yes
Moderate,5-12,Equal,yes
Mild,12+,Unequal,no
Moderate,<5,Equal,no
Severe,<5,Equal,no
Severe,<5,Equal,no
Moderate,5-12,Equal,yes
Moderate,5-12,Equal,yes
Moderate,<5,Unequal,no
Moderate,<5,Equal,yes
Mild,12+,Equal,yes
Severe,<5,Equal,no
Severe,<5,Equal,yes
Moderate,<5,Unequal,no
Mild,12+,Equal,no
Moderate,5-12,Equal,no
Moderate,<5,Unequal,yes
Severe,12+,Equal,yes
Moderate,12+,Equal,yes
Moderate,5-12,Equal,yes
Severe,<5,Unequal,no
Severe,12+,Equal,yes
Severe,<5,Equal,no
Severe,5-12,Equal,no
Moderate,<5,Equal,no
Severe,<5,Equal,no
Moderate,5-12,Equal,no
Severe,5-12,Equal,yes
Moderate,5-12,Equal,no
Moderate,5-12,Unequal,no
Moderate,<5,Equal,yes
Moderate,<5,Unequal,no
Moderate,<5,Equal,no
Severe,5-12,Equal,no
Mild,12+,Equal,yes
Moderate,5-12,Equal,no
Severe,<5,Equal,no
Moderate,12+,Equal,no
Severe,5-12,Unequal,no
Moderate,5-12,Equal,yes
Severe,5-12,Equal,no
Severe,5-12,Equal,no
Mild,5-12,Equal,no
Severe,5-12,Equal,no
Moderate,<5,Equal,no
Mild,12+,Equal,no
Moderate,5-12,Equal,no
Moderate,<5,Equal,yes
Severe,<5,Equal,no
Moderate,5-12,Unequal,yes
Moderate,<5,Equal,yes
Moderate,5-12,Equal,no
Moderate,5-12,Equal,no
Severe,<5,Equal,no
Moderate,<5,Equal,yes
Mild,5-12,Equal,yes
Moderate,<5,Equal,no
Mild,12+,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Unequal,no
Severe,5-12,Equal,no
Moderate,<5,Equal,no
Moderate,5-12,Equal,yes
Moderate,5-12,Unequal,no
Moderate,5-12,Equal,yes
Moderate,5-12,Equal,no
Moderate,5-12,Equal,no
Severe,5-12,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Equal,no
Moderate,<5,Equal,no
Moderate,5-12,Equal,no
Moderate,<5,Equal,yes
Mild,12+,Equal,no
Moderate,5-12,Equal,no
Moderate,12+,Equal,no
Moderate,5-12,Unequal,no
Moderate,5-12,Equal,yes
Severe,<5,Equal,no
Severe,5-12,Equal,no
Severe,5-12,Equal,no
Severe,12+,Equal,no
Severe,<5,Equal,no
Severe,5-12,Equal,no
Moderate,5-12,Equal,yes
Severe,5-12,Equal,yes
Severe,<5,Equal,yes
Severe,5-12,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Equal,yes
Moderate,<5,Equal,no
Severe,5-12,Equal,no
Severe,<5,Equal,yes
Moderate,<5,Equal,yes
Severe,<5,Equal,no
Mild,5-12,Unequal,no
Severe,<5,Equal,no
Moderate,12+,Equal,yes
Moderate,5-12,Equal,yes
Severe,<5,Equal,no
Severe,<5,Unequal,yes
Moderate,5-12,Equal,no
Moderate,5-12,Unequal,no
Severe,<5,Equal,no
Severe,5-12,Equal,no
Mild,5-12,Equal,no
Moderate,<5,Equal,no
Severe,<5,Equal,no
Moderate,<5,Unequal,no
Severe,<5,Equal,yes
Moderate,5-12,Equal,yes
Moderate,<5,Equal,no
Moderate,5-12,Equal,yes
Moderate,12+,Equal,no
Severe,<5,Equal,yes
Moderate,5-12,Equal,no
Mild,5-12,Equal,no
Moderate,12+,Equal,yes
Severe,<5,Equal,no
Moderate,5-12,Equal,yes
Severe,<5,Equal,no
Mild,12+,Equal,no
Moderate,5-12,Equal,no
Moderate,<5,Equal,yes
Mild,12+,Equal,yes
Moderate,5-12,Equal,yes
Moderate,<5,Equal,no
Severe,5-12,Equal,no
Mild,<5,Equal,no
Severe,<5,Equal,no
Severe,5-12,Equal,yes
Severe,<5,Equal,no
Severe,5-12,Equal,no
Moderate,5-12,Equal,no
Moderate,12+,Equal,no
Severe,<5,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Equal,yes
Moderate,12+,Equal,no
Severe,5-12,Equal,no
Severe,<5,Equal,no
Severe,<5,Unequal,yes
Mild,12+,Equal,no
Mild,12+,Equal,no
Severe,5-12,Equal,yes
Moderate,<5,Equal,yes
Moderate,5-12,Equal,yes
Severe,<5,Equal,yes
Moderate,5-12,Equal,no
Moderate,12+,Equal,no
Severe,<5,Equal,no
Severe,5-12,Equal,no
Severe,<5,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Equal,yes
Moderate,5-12,Equal,yes
Moderate,5-12,Equal,no
Moderate,5-12,Equal,no
Mild,12+,Equal,no
Severe,12+,Equal,no
Moderate,5-12,Equal,no
Severe,<5,Equal,no
Severe,5-12,Equal,yes
Moderate,5-12,Equal,no
Moderate,5-12,Equal,yes
Moderate,12+,Equal,yes
Moderate,5-12,Equal,no
Moderate,<5,Equal,yes
Severe,<5,Equal,no
Severe,5-12,Unequal,yes
Severe,<5,Equal,no
Mild,12+,Equal,yes
Severe,5-12,Equal,no
Moderate,5-12,Equal,no
Mild,12+,Equal,no
Moderate,<5,Equal,no
Moderate,5-12,Equal,no
Moderate,<5,Equal,yes
Moderate,5-12,Equal,yes
Moderate,<5,Unequal,no
Severe,5-12,Equal,no
Moderate,5-12,Equal,yes
Mild,12+,Equal,no
Moderate,5-12,Equal,yes
Severe,12+,Equal,no
Moderate,5-12,Equal,yes
Severe,<5,Equal,no
Severe,5-12,Equal,yes
Severe,5-12,Equal,yes
Severe,<5,Equal,no
Severe,12+,Equal,no
Moderate,<5,Equal,yes
Moderate,<5,Equal,no
Severe,5-12,Equal,no
Severe,5-12,Equal,no
Severe,5-12,Equal,yes
Moderate,5-12,Equal,no
Mild,12+,Equal,yes
Moderate,5-12,Equal,yes
Severe,12+,Equal,no
Severe,5-12,Unequal,no
Severe,5-12,Equal,yes
Moderate,5-12,Equal,yes
Severe,12+,Equal,no
Severe,5-12,Equal,no
Severe,<5,Equal,no
Moderate,5-12,Equal,no
Severe,<5,Equal,no
Severe,5-12,Equal,no
Severe,<5,Unequal,no
Severe,5-12,Equal,yes
Moderate,<5,Equal,no
Severe,12+,Equal,no
Moderate,5-12,Unequal,no
Severe,<5,Equal,no
Moderate,5-12,Equal,no
Severe,5-12,Equal,no
Moderate,12+,Equal,no
Moderate,<5,Equal,no
Severe,12+,Equal,no
Severe,<5,Equal,no
Severe,<5,Equal,yes
Moderate,<5,Equal,no
Severe,5-12,Equal,yes
Moderate,<5,Equal,no
Moderate,<5,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Unequal,yes
Severe,<5,Equal,no
Moderate,<5,Equal,no
Moderate,<5,Equal,no
Severe,5-12,Equal,no
Severe,5-12,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Equal,yes
Moderate,5-12,Equal,yes
Severe,<5,Equal,yes
Moderate,5-12,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Equal,no
Severe,<5,Equal,no
Severe,5-12,Equal,no
Mild,5-12,Equal,no
Moderate,5-12,Equal,yes
Moderate,<5,Equal,no
Severe,<5,Unequal,no
Mild,12+,Equal,no
Mild,5-12,Equal,no
Mild,12+,Equal,no
Severe,5-12,Equal,no
Moderate,5-12,Equal,yes
Mild,5-12,Equal,no
Moderate,5-12,Equal,no
Moderate,5-12,Equal,no
Mild,5-12,Unequal,no
Moderate,12+,Equal,no
Moderate,12+,Equal,yes
Severe,<5,Equal,yes
Moderate,5-12,Equal,yes
Moderate,12+,Equal,yes
Moderate,5-12,Equal,yes
Mild,5-12,Equal,no
Moderate,5-12,Equal,yes
Moderate,5-12,Equal,no
Moderate,5-12,Equal,no
Severe,12+,Equal,yes
Moderate,12+,Equal,yes
Moderate,5-12,Equal,no
Severe,5-12,Equal,no
Severe,<5,Equal,no
Severe,5-12,Equal,no
Severe,5-12,Equal,no
Severe,<5,Equal,no
Severe,5-12,Equal,no
Severe,<5,Equal,no
Mild,<5,Equal,no
Moderate,12+,Equal,yes
Severe,5-12,Equal,no
Moderate,<5,Equal,no
Moderate,5-12,Equal,yes
Mild,12+,Equal,yes
Severe,<5,Unequal,yes
Moderate,5-12,Equal,yes
Moderate,<5,Equal,yes
Moderate,5-12,Equal,no
Moderate,12+,Equal,yes
Severe,5-12,Equal,no
Moderate,5-12,Equal,yes
Moderate,5-12,Equal,yes
Moderate,5-12,Equal,yes
Mild,<5,Unequal,no
Severe,5-12,Unequal,no
Mild,<5,Unequal,no
Severe,<5,Equal,yes
Moderate,5-12,Equal,no
Severe,5-12,Equal,no
Mild,12+,Equal,yes
Moderate,5-12,Equal,no
Moderate,<5,Equal,yes
Severe,<5,Equal,yes
Severe,12+,Equal,no
Severe,<5,Equal,no
Severe,<5,Equal,no
Severe,<5,Unequal,no
Moderate,5-12,Equal,no
Mild,12+,Equal,no
Severe,5-12,Equal,no
Severe,5-12,Equal,no
Mild,<5,Equal,no
Severe,<5,Equal,no
Severe,12+,Equal,no
Moderate,5-12,Unequal,no
Moderate,5-12,Unequal,yes
Moderate,5-12,Unequal,yes
Severe,5-12,Equal,no
Moderate,<5,Unequal,yes
Severe,5-12,Equal,yes
Severe,<5,Equal,no
Severe,<5,Equal,no
Moderate,5-12,Equal,no
Severe,<5,Equal,no
Severe,5-12,Equal,no
Moderate,<5,Equal,no
Severe,5-12,Equal,no
Moderate,<5,Equal,no
Moderate,<5,Equal,no
Moderate,5-12,Equal,no
Moderate,<5,Unequal,no
Mild,12+,Equal,yes
Severe,12+,Equal,no
Severe,12+,Equal,no
Moderate,12+,Equal,yes
Moderate,5-12,Equal,no
Severe,<5,Equal,no
Mild,12+,Equal,yes
Severe,<5,Equal,no
Moderate,5-12,Equal,no
Severe,12+,Equal,no
Moderate,5-12,Equal,yes
Mild,12+,Equal,no
Mild,<5,Unequal,no
Moderate,5-12,Equal,no
Moderate,5-12,Equal,no
Severe,<5,Equal,no
Mild,5-12,Equal,yes
