HypoxiaInO2,LowerBodyO2,DuctFlow,HypDistrib,LVH,CardiacMixing
Moderate,5-12,Lt_to_Rt,Equal,no,Complete
Mild,5-12,Lt_to_Rt,Equal,no,Mild
Moderate,5-12,Lt_to_Rt,Equal,yes,Mild
Moderate,12+,Lt_to_Rt,Equal,no,Mild
Severe,5-12,,Equal,no,Transp.
Moderate,5-12,,Equal,no,Mild
Severe,12+,Lt_to_Rt,Equal,yes,Complete
Moderate,<5,,Equal,no,Complete
Severe,<5,Lt_to_Rt,Equal,yes,Complete
Moderate,<5,Lt_to_Rt,Equal,no,Complete
Severe,<5,,Equal,yes,Transp.
Severe,<5,Lt_to_Rt,Equal,no,Complete
Moderate,12+,Lt_to_Rt,Equal,yes,Complete
Severe,5-12,,Equal,no,Transp.
Moderate,5-12,Lt_to_Rt,Equal,yes,Complete
Severe,5-12,,Equal,no,Transp.
Moderate,5-12,,Equal,no,Mild
Severe,5-12,,Equal,yes,Transp.
Moderate,<5,Rt_to_Lt,Equal,no,Transp.
Mild,12+,Lt_to_Rt,Equal,no,
Moderate,<5,Lt_to_Rt,Equal,no,Mild
Severe,12+,,Equal,yes,Transp.
Moderate,5-12,,Unequal,no,Mild
Moderate,<5,,Equal,no,Complete
Moderate,5-12,Lt_to_Rt,Equal,yes,Complete
Severe,<5,,Equal,no,Transp.
Moderate,<5,,Equal,no,
Mild,12+,Lt_to_Rt,Equal,yes,Complete
Severe,<5,Lt_to_Rt,Equal,yes,Complete
Moderate,5-12,Lt_to_Rt,Equal,no,Mild
Moderate,<5,Rt_to_Lt,Equal,no,Complete
Moderate,5-12,Lt_to_Rt,Equal,yes,Complete
Mild,12+,Lt_to_Rt,Equal,no,Complete
Severe,<5,,Equal,no,Transp.
Moderate,<5,,Equal,no,Mild
Moderate,5-12,Lt_to_Rt,Equal,no,
Moderate,5-12,,Equal,no,Transp.
Moderate,5-12,Lt_to_Rt,Equal,no,Mild
Severe,<5,Lt_to_Rt,Equal,no,Complete
Severe,<5,Lt_to_Rt,Equal,no,Mild
Mild,12+,Lt_to_Rt,Equal,no,Complete
Mild,<5,Lt_to_Rt,Equal,no,Complete
Moderate,5-12,,Equal,no,Transp.
Severe,5-12,Lt_to_Rt,Equal,no,Complete
Moderate,5-12,Rt_to_Lt,Equal,no,Complete
Severe,5-12,Lt_to_Rt,Equal,no,Complete
Severe,<5,,Equal,no,Transp.
Severe,5-12,Lt_to_Rt,Unequal,yes,Transp.
Moderate,<5,Lt_to_Rt,Equal,no,Complete
Moderate,5-12,Lt_to_Rt,Equal,no,Complete
Severe,12+,,Equal,no,Transp.
Moderate,12+,Rt_to_Lt,Unequal,no,Mild
Moderate,5-12,,Equal,no,Mild
Severe,5-12,,Equal,no,Transp.
Moderate,5-12,Lt_to_Rt,Equal,yes,Complete
Severe,12+,,Equal,no,Transp.
Moderate,5-12,Lt_to_Rt,Equal,no,Complete
Moderate,5-12,Lt_to_Rt,Unequal,yes,Complete
Mild,5-12,Lt_to_Rt,Equal,no,Mild
Moderate,5-12,,Equal,no,
