CO2Report,CO2,DuctFlow,CardiacMixing,LungParench
<7.5,Normal,,Transp.,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
>=7.5,High,Rt_to_Lt,,Abnormal
<7.5,Normal,,Transp.,Abnormal
<7.5,Normal,,Transp.,Normal
<7.5,Normal,,Transp.,Normal
>=7.5,High,Lt_to_Rt,Complete,Normal
>=7.5,Normal,Lt_to_Rt,Mild,Normal
<7.5,Normal,Rt_to_Lt,Complete,Normal
<7.5,Normal,,Transp.,Normal
<7.5,Normal,,Transp.,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
>=7.5,Normal,,Transp.,Normal
<7.5,Normal,Lt_to_Rt,Transp.,Normal
<7.5,Normal,,Transp.,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Rt_to_Lt,Mild,Normal
<7.5,Low,Lt_to_Rt,Complete,Normal
>=7.5,High,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,,Normal
>=7.5,High,,Transp.,Abnormal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,,Transp.,Normal
<7.5,Normal,,Transp.,Normal
<7.5,Normal,,Complete,Normal
<7.5,Normal,,Transp.,Normal
>=7.5,Low,,Transp.,Normal
<7.5,Normal,Lt_to_Rt,Transp.,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Congested
<7.5,Normal,Rt_to_Lt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Low,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Low,,Transp.,Normal
<7.5,Low,Rt_to_Lt,,Normal
<7.5,Normal,,Transp.,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
>=7.5,High,Lt_to_Rt,Complete,Abnormal
>=7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Abnormal
>=7.5,High,,Transp.,Abnormal
<7.5,Low,,Mild,Normal
>=7.5,Normal,,Transp.,Abnormal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,,Mild,Abnormal
<7.5,Normal,,Transp.,Normal
>=7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,,Transp.,Normal
<7.5,Normal,,Transp.,Abnormal
>=7.5,Normal,Lt_to_Rt,Mild,Normal
<7.5,Normal,,Mild,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,,Transp.,Normal
<7.5,Normal,,Transp.,Normal
<7.5,Normal,,Complete,Normal
<7.5,Normal,,Transp.,Normal
<7.5,Normal,,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
>=7.5,High,,Transp.,Normal
>=7.5,High,Lt_to_Rt,Complete,Abnormal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
>=7.5,High,Rt_to_Lt,Complete,Congested
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Low,Lt_to_Rt,Transp.,Normal
>=7.5,Normal,,Transp.,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
>=7.5,High,Lt_to_Rt,Complete,Normal
>=7.5,Normal,Rt_to_Lt,,Abnormal
<7.5,Normal,Rt_to_Lt,Transp.,Abnormal
<7.5,Low,Lt_to_Rt,Mild,Normal
>=7.5,Normal,,Transp.,Normal
>=7.5,High,,Transp.,Congested
<7.5,Normal,Lt_to_Rt,,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Rt_to_Lt,Mild,Abnormal
<7.5,Normal,,Complete,Normal
<7.5,Normal,,Mild,Abnormal
<7.5,Normal,Lt_to_Rt,Complete,Normal
>=7.5,High,Lt_to_Rt,Complete,Congested
<7.5,Normal,,Complete,Congested
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
>=7.5,Normal,,Mild,Normal
>=7.5,High,Lt_to_Rt,Mild,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
>=7.5,High,Lt_to_Rt,Complete,Abnormal
<7.5,Normal,Lt_to_Rt,Complete,Normal
>=7.5,High,,Mild,Abnormal
<7.5,Normal,,Transp.,Normal
<7.5,Normal,Rt_to_Lt,Mild,Normal
<7.5,Normal,Rt_to_Lt,,Congested
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
>=7.5,Low,,Transp.,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
>=7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Normal
<7.5,Normal,Lt_to_Rt,Complete,Abnormal
