LungFlow,ChestXray,Grunting,CO2,DuctFlow,Sick,CardiacMixing,LungParench
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Low,Asy/Patch,yes,High,Lt_to_Rt,yes,Mild,Abnormal
Low,Asy/Patch,yes,Normal,Lt_to_Rt,no,Mild,Abnormal
Low,Oligaemic,no,Normal,,no,Transp.,Normal
High,Oligaemic,no,Normal,,yes,Mild,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Normal,no,High,,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Low,,no,Transp.,Normal
Low,Grd_Glass,yes,Normal,Lt_to_Rt,yes,Complete,Congested
Low,Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
High,Oligaemic,yes,High,,no,Transp.,Abnormal
Low,Asy/Patch,no,Normal,Lt_to_Rt,yes,Complete,Congested
Low,Oligaemic,no,Low,,no,Transp.,Normal
Normal,Grd_Glass,no,Normal,,yes,Mild,Congested
Normal,Normal,no,Normal,,no,Transp.,Normal
High,Grd_Glass,yes,Normal,Rt_to_Lt,yes,Transp.,Congested
Normal,Asy/Patch,no,Normal,Lt_to_Rt,no,,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Plethoric,no,Normal,,yes,Mild,Normal
Low,Oligaemic,no,Low,,no,Complete,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
Normal,Grd_Glass,no,Normal,,no,,Congested
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Abnormal
Normal,Asy/Patch,no,Normal,Lt_to_Rt,yes,Mild,Abnormal
Low,Oligaemic,no,Normal,Rt_to_Lt,no,Complete,Normal
High,Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
High,Plethoric,no,Normal,,no,Mild,Normal
Low,Grd_Glass,yes,Normal,Lt_to_Rt,yes,,Congested
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Normal,no,Low,Lt_to_Rt,no,Mild,Normal
Low,Plethoric,no,Normal,Lt_to_Rt,no,Complete,Congested
Normal,Grd_Glass,no,Normal,Lt_to_Rt,no,Mild,Congested
Low,Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
High,Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Grd_Glass,no,Normal,,yes,Transp.,Abnormal
Normal,Asy/Patch,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Rt_to_Lt,no,Complete,Normal
Low,Normal,yes,Normal,Lt_to_Rt,no,Complete,Congested
Normal,Normal,no,Normal,,yes,Transp.,Normal
High,Plethoric,yes,Normal,Lt_to_Rt,no,Transp.,Normal
Low,Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Normal,no,High,,no,Transp.,Normal
High,Plethoric,no,Normal,Rt_to_Lt,yes,Mild,Normal
Normal,Plethoric,yes,Normal,,yes,Mild,Congested
High,Asy/Patch,yes,Normal,,yes,Transp.,Abnormal
Low,Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Low,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Grd_Glass,no,Low,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,Lt_to_Rt,no,Mild,Normal
Normal,Asy/Patch,no,Normal,,no,,Abnormal
