CO2,DuctFlow,LVH,LVHreport
High,Rt_to_Lt,no,no
Normal,,no,no
High,Lt_to_Rt,no,no
Normal,Rt_to_Lt,no,no
Normal,,yes,yes
High,Lt_to_Rt,no,no
High,Lt_to_Rt,no,no
Normal,Lt_to_Rt,no,no
Normal,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,no,no
High,,no,no
High,Rt_to_Lt,no,no
High,Rt_to_Lt,no,no
Normal,Lt_to_Rt,yes,no
Normal,Lt_to_Rt,no,no
Normal,,no,no
Normal,Rt_to_Lt,no,no
High,Rt_to_Lt,no,no
Normal,,no,no
High,,no,no
High,Lt_to_Rt,no,no
Normal,Lt_to_Rt,no,no
Normal,Rt_to_Lt,no,no
High,Lt_to_Rt,no,no
Low,,no,no
Normal,,no,no
Normal,Lt_to_Rt,no,no
Normal,Lt_to_Rt,yes,no
Normal,Lt_to_Rt,yes,yes
Normal,,no,no
Normal,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,no,no
Normal,Lt_to_Rt,yes,no
Normal,Rt_to_Lt,no,yes
Normal,Lt_to_Rt,no,no
Normal,Rt_to_Lt,yes,yes
High,,no,no
Normal,Lt_to_Rt,no,no
Normal,,no,no
Normal,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,no,no
Normal,,no,no
Normal,,no,no
Normal,Lt_to_Rt,yes,no
Normal,,no,yes
High,,no,no
Normal,Lt_to_Rt,no,yes
Normal,Lt_to_Rt,no,no
Normal,,yes,yes
High,,no,yes
High,,no,no
Normal,Rt_to_Lt,no,no
High,,no,no
Normal,,no,no
Normal,Lt_to_Rt,no,no
High,Lt_to_Rt,yes,yes
Low,Lt_to_Rt,yes,yes
High,,no,no
Normal,Rt_to_Lt,no,no
Normal,,no,no
Normal,Lt_to_Rt,no,no
Normal,,no,no
Normal,Rt_to_Lt,yes,yes
Normal,Lt_to_Rt,no,no
High,Lt_to_Rt,no,no
Normal,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,no,no
High,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,no,no
High,Lt_to_Rt,yes,yes
Low,Lt_to_Rt,no,no
Normal,,yes,yes
Normal,Lt_to_Rt,yes,yes
High,,no,no
Normal,Lt_to_Rt,yes,yes
High,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,no,no
Normal,Lt_to_Rt,no,no
Normal,,no,no
Normal,Lt_to_Rt,no,no
Normal,Lt_to_Rt,yes,yes
High,,yes,yes
High,Lt_to_Rt,no,no
High,,no,no
High,Rt_to_Lt,no,no
High,Lt_to_Rt,no,yes
Normal,Lt_to_Rt,no,no
Normal,Lt_to_Rt,no,no
Normal,Lt_to_Rt,no,no
Normal,Lt_to_Rt,yes,yes
High,Lt_to_Rt,no,no
Normal,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,yes,yes
Low,Lt_to_Rt,yes,no
Normal,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,no,no
Normal,,no,no
Normal,Lt_to_Rt,yes,yes
Normal,,no,no
Low,Rt_to_Lt,no,no
Normal,,no,no
Normal,,no,no
Normal,Lt_to_Rt,yes,no
Normal,Lt_to_Rt,no,no
Normal,,no,no
Normal,,no,no
High,Lt_to_Rt,no,no
Normal,Lt_to_Rt,no,no
Normal,,no,no
Normal,Lt_to_Rt,no,no
Normal,Lt_to_Rt,yes,yes
Normal,,yes,yes
Normal,Lt_to_Rt,no,no
Low,,no,no
Normal,Lt_to_Rt,yes,yes
Low,,no,no
Normal,Lt_to_Rt,no,no
Normal,Lt_to_Rt,no,no
Normal,,no,no
Normal,Lt_to_Rt,no,no
High,Rt_to_Lt,no,no
Normal,Lt_to_Rt,no,no
High,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,no,no
Normal,,no,no
Normal,,no,no
Normal,Rt_to_Lt,no,no
Normal,Lt_to_Rt,no,no
High,,no,no
Low,,no,no
Normal,Lt_to_Rt,no,no
Normal,,no,no
Normal,,no,no
Normal,Lt_to_Rt,yes,yes
High,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,no,no
Normal,Lt_to_Rt,yes,yes
Normal,,no,no
High,,no,no
Normal,Lt_to_Rt,no,no
Normal,Lt_to_Rt,no,no
High,,no,no
Normal,Lt_to_Rt,yes,yes
Normal,,no,yes
Low,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,no,no
Normal,,no,no
High,,no,no
Normal,,no,no
Normal,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,no,no
Normal,Rt_to_Lt,no,no
Normal,Lt_to_Rt,no,no
Low,,no,no
Normal,Lt_to_Rt,no,no
Normal,,yes,no
Normal,,no,no
Normal,Lt_to_Rt,no,no
Normal,Lt_to_Rt,no,no
Normal,Lt_to_Rt,yes,yes
High,Lt_to_Rt,no,no
Normal,,no,no
High,Lt_to_Rt,yes,yes
Normal,Lt_to_Rt,no,no
Normal,,no,no
High,Lt_to_Rt,no,no
Normal,Lt_to_Rt,yes,yes
Normal,,yes,yes
