Origin,OriginState
LGA,NY
MCO,FL
EWR,NJ
LAX,CA
LAX,CA
MCI,MO
ATL,GA
JFK,NY
SLC,UT
SAN,CA
DCA,VA
DEN,CO
HOU,TX
IAH,TX
ATL,GA
GSO,NC
LAX,CA
DEN,CO
PHX,AZ
IND,IN
MDW,IL
MSY,LA
PHX,AZ
SEA,WA
ATL,GA
PBI,FL
MSP,MN
BWI,MD
LAX,CA
DEN,CO
SAN,CA
ORD,IL
DFW,TX
SEA,WA
BOS,MA
DEN,CO
STL,MO
IAH,TX
MDW,IL
LGA,NY
RSW,FL
EWR,NJ
CLL,TX
MKE,WI
SEA,WA
DEN,CO
DCA,VA
DTW,MI
SJU,PR
DEN,CO
MDW,IL
JFK,NY
BOI,ID
LAX,CA
SEA,WA
TPA,FL
MCO,FL
ATL,GA
ELP,TX
LAS,NV
OKC,OK
IAH,TX
ANC,AK
IAH,TX
SAN,CA
ATL,GA
HNL,HI
SMX,CA
JAN,MS
DCA,VA
LAX,CA
GRR,MI
SLC,UT
IAD,VA
SMF,CA
BDL,CT
MIA,FL
DFW,TX
ORD,IL
RDU,NC
MLI,IL
ATL,GA
LAX,CA
IAH,TX
TUL,OK
ORD,IL
DEN,CO
ATL,GA
ATL,GA
BOS,MA
LAX,CA
DFW,TX
LGA,NY
PDX,OR
LAX,CA
LAX,CA
BOS,MA
PHX,AZ
ORD,IL
DFW,TX
PDX,OR
FLL,FL
LAS,NV
PHX,AZ
LGA,NY
BNA,TN
TPA,FL
RDU,NC
PIT,PA
SAT,TX
ATL,GA
RDU,NC
CHS,SC
MSP,MN
BKG,MO
RDU,NC
LGA,NY
PVD,RI
OGG,HI
SLC,UT
EWR,NJ
PHL,PA
ABQ,NM
LAX,CA
BUF,NY
DAL,TX
SLC,UT
JFK,NY
OAK,CA
SFO,CA
STL,MO
RDU,NC
ATL,GA
IAD,VA
EWR,NJ
HOU,TX
RNO,NV
FLL,FL
LAS,NV
CLT,NC
STL,MO
RDU,NC
ATL,GA
ATL,GA
MCI,MO
DCA,VA
PHX,AZ
MIA,FL
RSW,FL
SFO,CA
OGG,HI
JFK,NY
DFW,TX
"New York, NY",36
RDU,NC
IAD,VA
IAD,VA
OAK,CA
PHX,AZ
JFK,NY
DEN,CO
AUS,TX
SJC,CA
RIC,VA
SEA,WA
SJC,CA
ATL,GA
MSP,MN
PHX,AZ
DEN,CO
PHX,AZ
CRP,TX
ONT,CA
DEN,CO
IMT,MI
MDW,IL
ORD,IL
PHX,AZ
ORD,IL
STL,MO
MGM,AL
PDX,OR
PHX,AZ
MSP,MN
SMF,CA
JFK,NY
DEN,CO
ORD,IL
MSP,MN
LAX,CA
SEA,WA
LAX,CA
SFO,CA
MCI,MO
ORD,IL
PHX,AZ
PDX,OR
MEM,TN
SLC,UT
MDW,IL
MCI,MO
BOS,MA
MIA,FL
JFK,NY
IAH,TX
EKO,NV
ORD,IL
HOU,TX
ATL,GA
ELM,NY
SAN,CA
IND,IN
BWI,MD
FLL,FL
BUR,CA
PHX,AZ
CLT,NC
AUS,TX
DFW,TX
SLC,UT
DEN,CO
LFT,LA
DTW,MI
PHX,AZ
LAX,CA
CPR,WY
ABQ,NM
IAD,VA
TUS,AZ
LGA,NY
DFW,TX
TPA,FL
MDW,IL
DEN,CO
IAD,VA
IND,IN
HNL,HI
ORD,IL
SLC,UT
PHL,PA
AUS,TX
SLC,UT
LAX,CA
SEA,WA
RDU,NC
OAK,CA
MIA,FL
SFO,CA
RSW,FL
SFO,CA
MSP,MN
BOS,MA
MCO,FL
ORD,IL
SFO,CA
DCA,VA
MCO,FL
PDX,OR
DEN,CO
TYS,TN
DFW,TX
PHX,AZ
ATL,GA
DTW,MI
SAN,CA
DEN,CO
SAN,CA
BOS,MA
SLC,UT
OAK,CA
CLT,NC
SFO,CA
ATL,GA
LAS,NV
ORD,IL
FLL,FL
PHL,PA
GTF,MT
ROC,NY
SAT,TX
ATL,GA
MIA,FL
JFK,NY
ATL,GA
AZA,AZ
IAD,VA
IAH,TX
ORD,IL
LAS,NV
SFO,CA
DEN,CO
OAK,CA
DTW,MI
MIA,FL
IAH,TX
LAX,CA
LIT,AR
SFO,CA
PHX,AZ
DCA,VA
RSW,FL
SFO,CA
MIA,FL
LAS,NV
PHX,AZ
GSO,NC
ATL,GA
SFO,CA
CLT,NC
ORD,IL
DFW,TX
DFW,TX
IAH,TX
ORD,IL
HOU,TX
TUS,AZ
ORF,VA
BDL,CT
SFO,CA
PIT,PA
SNA,CA
LAX,CA
ONT,CA
OAJ,NC
DEN,CO
LGA,NY
LGA,NY
JFK,NY
LAX,CA
ORD,IL
HOU,TX
DFW,TX
DSM,IA
IAH,TX
BWI,MD
SLC,UT
ATL,GA
DFW,TX
RSW,FL
TYS,TN
JFK,NY
MKE,WI
MSP,MN
ATL,GA
ONT,CA
ABQ,NM
STT,VI
LAR,WY
SAN,CA
SNA,CA
BUF,NY
MCO,FL
ATL,GA
EWR,NJ
CLT,NC
DEN,CO
ORF,VA
ATL,GA
LAS,NV
CLT,NC
ATL,GA
SYR,NY
LGA,NY
EWR,NJ
SNA,CA
LAR,WY
SEA,WA
TPA,FL
STL,MO
MCO,FL
EWR,NJ
LGA,NY
LAS,NV
DFW,TX
PHX,AZ
MDW,IL
LAX,CA
PHL,PA
PSC,WA
SFO,CA
DFW,TX
DFW,TX
MOB,AL
ATL,GA
SAT,TX
LAX,CA
DFW,TX
CLT,NC
CVG,KY
RDU,NC
ATL,GA
SRQ,FL
BWI,MD
SMF,CA
SNA,CA
DFW,TX
LAS,NV
SAN,CA
FAT,CA
SJU,PR
SFO,CA
LAX,CA
HNL,HI
LIT,AR
HNL,HI
BOS,MA
DEN,CO
IND,IN
SAN,CA
BWI,MD
STT,VI
LGA,NY
MIA,FL
SMF,CA
LGA,NY
DAL,TX
DFW,TX
MIA,FL
DCA,VA
ATL,GA
MSP,MN
JFK,NY
MDW,IL
CLE,OH
LAX,CA
ORD,IL
TPA,FL
BOI,ID
MEM,TN
CLT,NC
MSY,LA
PDX,OR
DEN,CO
LAX,CA
LAX,CA
SFO,CA
DCA,VA
DEN,CO
ATL,GA
PSG,AK
MOB,AL
TUL,OK
JFK,NY
MIA,FL
MYR,SC
CLE,OH
ATL,GA
ATL,GA
MIA,FL
SFO,CA
TUL,OK
SEA,WA
DFW,TX
BWI,MD
HNL,HI
MTJ,CO
DEN,CO
TUL,OK
SAT,TX
FLL,FL
MDW,IL
JFK,NY
OGG,HI
LAX,CA
JFK,NY
DEN,CO
