DayofMonth,DayOfWeek
18,2
26,3
28,5
6,4
27,4
24,1
9,7
14,3
14,5
25,2
4,2
11,2
21,5
10,1
31,1
5,3
3,1
21,5
18,2
9,7
15,6
2,7
14,5
24,1
6,4
15,6
12,3
17,1
10,1
16,7
3,1
16,7
21,5
14,5
31,1
21,5
28,5
6,4
31,1
4,2
14,5
2,7
2,7
22,6
6,4
30,7
20,4
10,1
28,5
12,3
9,7
4,2
19,3
14,5
21,5
1,6
25,2
2,7
3,1
21,5
31,1
26,3
11,2
11,2
21,5
4,2
8,6
18,2
3,1
25,2
22,6
10,1
26,3
5,3
17,1
18,2
3,1
3,1
2,7
7,5
5,3
30,7
21,5
17,1
19,3
25,2
19,3
6,4
16,7
20,4
2,7
23,7
8,6
12,3
2,7
24,1
17,1
17,1
12,3
17,1
10,1
27,4
28,5
17,1
22,6
2,7
8,6
25,2
20,4
11,2
13,4
14,5
8,6
28,5
31,1
3,1
9,7
15,6
22,6
29,6
18,2
9,7
6,4
25,2
8,6
9,7
2,7
14,5
17,1
30,7
19,3
10,1
14,5
25,2
2,7
15,6
7,5
29,6
22,6
16,7
26,3
23,7
5,3
16,7
12,3
13,4
3,1
3,1
24,1
6,4
25,2
26,3
30,7
16,7
11,2
7,5
24,1
21,5
18,2
29,6
3,1
31,1
22,6
29,6
31,1
27,4
2,7
1,6
5,3
25,2
2,7
30,7
13,4
25,2
8,6
10,1
12,3
14,5
26,3
9,7
31,1
19,3
24,1
16,7
14,5
4,2
28,5
19,3
30,7
9,7
31,1
28,5
20,4
7,5
11,2
15,6
8,6
9,7
14,5
7,5
14,5
6,4
28,5
15,6
29,6
19,3
28,5
17,1
5,3
16,7
19,3
6,4
14,5
25,2
7,5
9,7
19,3
5,3
23,7
16,7
12,3
3,1
27,4
12,3
2,7
29,6
15,6
8,6
16,7
1,6
21,5
24,1
31,1
28,5
20,4
5,3
16,7
9,7
28,5
25,2
13,4
5,3
1,6
31,1
8,6
29,6
6,4
14,5
21,5
27,4
13,4
19,3
18,2
28,5
5,3
16,7
23,7
2,7
26,3
3,1
15,6
30,7
18,2
21,5
19,3
21,5
23,7
26,3
12,3
21,5
26,3
21,5
12,3
15,6
13,4
5,3
17,1
8,6
20,4
4,2
31,1
13,4
2,7
17,1
13,4
10,1
2,7
23,7
11,2
4,2
19,3
9,7
10,1
2,7
5,3
28,5
4,2
25,2
1,6
11,2
24,1
4,2
11,2
10,1
11,2
17,1
9,7
18,2
16,7
5,3
21,5
30,7
9,7
23,7
23,7
16,7
17,1
27,4
1,6
13,4
19,3
14,5
24,1
7,5
27,4
13,4
11,2
17,1
9,5
4,2
7,5
26,3
7,5
18,2
3,1
17,1
5,3
19,3
21,5
31,1
17,1
9,5
19,3
16,7
1,6
16,5
29,6
16,7
3,1
21,5
21,5
15,6
7,5
15,6
13,4
16,7
31,1
31,1
30,7
6,4
