N,O,P
Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling
Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling
Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival
Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling
Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge
Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling
Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination
Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival
Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling
Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination
Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge
Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival
Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge
Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival
Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Children&#8217;s Asthma Care,CAC-1,Children Who Received Reliever Medication While Hospitalized for Asthma
Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling
Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling
Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions
Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination
Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination
Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge
Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination
Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge
Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling
Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge
Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination
Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection
Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions
Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival
Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling
Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge
Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions
Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge
Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival
Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination
Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling
Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling
Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling
Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)
Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)
Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
Children&#8217;s Asthma Care,CAC-1,Children Who Received Reliever Medication While Hospitalized for Asthma
Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)
Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge
Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination
Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)
Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge
Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling
Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge
Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions
Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge
Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions
Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling
Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge
Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival
Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions
Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection
Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge
Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling
Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling
Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge
Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge
Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection
Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival
Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination
Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection
Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge
Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions
Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge
Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection
Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling
Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival
Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions
Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge
