A,Q
50028,100%
40011,100%
50205,100%
10169,100%
40074,100%
50173,100%
41324,100%
21303,100%
50174,0%
41324,100%
21305,0%
10047,100%
10045,100%
40081,100%
10054,100%
30033,90%
10015,90%
11302,100%
40076,90%
03013F,90%
20026,90%
50159,93%
30038,99%
10029,100%
50103,75%
40041,97%
30007,95%
30002,92%
10125,96%
50018,95%
30111,81%
40026,83%
10131,99%
10144,83%
50688,91%
50248,100%
20027,100%
50126,95%
50139,98%
10055,99%
30122,96%
40039,95%
10114,98%
10108,94%
30105,96%
40062,95%
50129,98%
43300,100%
10023,100%
50099,93%
10079,83%
50024,100%
50173,100%
10097,83%
41303,67%
10005,97%
50238,63%
10149,94%
50043,89%
30118,99%
40067,94%
50056,77%
10158,98%
50040,90%
30006,87%
30110,73%
50069,96%
10085,87%
50132,100%
30074,85%
10051,8%
50118,100%
50191,98%
10125,98%
50235,97%
10040,99%
50262,93%
30062,84%
30094,92%
10089,100%
50102,66%
30101,98%
10036,97%
10038,93%
40018,100%
40084,100%
50113,86%
50103,92%
10054,91%
30121,94%
30014,99%
50150,93%
40007,100%
50231,91%
40042,99%
50089,94%
40029,95%
10019,99%
40067,100%
41326,93%
50013,100%
30114,100%
10118,99%
50225,99%
10055,100%
40055,100%
50007,100%
30122,91%
40026,100%
10089,100%
30092,100%
10006,97%
11303,75%
50234,88%
41310,100%
50232,100%
41310,100%
50261,61%
10158,99%
50132,63%
10089,100%
10055,98%
50017,91%
30094,92%
40018,100%
50152,88%
41303,94%
20012,100%
10051,6%
41328,88%
40007,86%
30107,99%
10025,96%
50079,96%
50115,93%
30061,90%
50036,94%
50078,94%
10012,100%
50111,100%
10129,94%
50111,100%
40118,91%
10078,83%
30110,91%
30110,99%
10001,86%
50426,100%
40085,97%
50204,84%
10050,37%
10045,89%
40067,100%
20026,79%
30064,99%
10001,93%
50174,86%
50030,96%
10145,97%
10049,100%
30065,99%
50002,91%
10099,0%
10128,100%
10110,100%
50478,100%
31300,0%
50013,50%
10049,100%
01019F,100%
10022,100%
10102,0%
50189,50%
50159,100%
30084,85%
20017,100%
50036,90%
50159,92%
50159,99%
50138,98%
50228,99%
50056,96%
50126,98%
40062,98%
30011,97%
40051,100%
50189,90%
10061,76%
50135,67%
04010F,100%
40020,96%
50167,100%
50039,76%
50235,99%
50131,96%
50063,100%
10164,82%
41317,95%
04010F,96%
50235,98%
30117,100%
30100,96%
50224,98%
40027,90%
10011,89%
30107,78%
41324,100%
40078,100%
41328,87%
10089,100%
50129,78%
50073,89%
50058,100%
20012,91%
30022,99%
10104,90%
30038,69%
30102,100%
10126,100%
50167,100%
50137,100%
50036,50%
50239,93%
30100,99%
10001,100%
50264,94%
10016,100%
50058,100%
05025F,100%
30114,76%
50046,76%
50002,76%
40026,97%
50222,93%
30102,86%
30085,95%
50108,100%
50478,92%
20012,85%
50153,100%
30055,94%
50140,86%
30024,93%
21311,96%
10049,100%
21311,96%
10001,98%
20012,99%
41305,86%
30061,100%
50082,100%
20012,100%
50235,96%
41326,86%
50132,97%
41311,100%
50121,84%
10139,95%
40004,97%
10039,97%
50168,97%
10085,97%
10032,67%
21303,0%
31312,33%
30067,100%
10035,67%
50108,67%
50063,33%
30074,67%
40018,100%
10145,97%
21311,97%
50174,98%
40014,87%
30037,92%
03033F,100%
30055,84%
50107,97%
30100,73%
10097,97%
40080,100%
40022,73%
10083,100%
30110,61%
10129,85%
41316,85%
50077,94%
50125,94%
50125,94%
30087,74%
30030,46%
50192,9%
50135,78%
10168,92%
50002,94%
41329,57%
41329,57%
10118,100%
10150,89%
10100,95%
10090,92%
30016,95%
30023,100%
10097,97%
40072,92%
40142,100%
10118,100%
50173,100%
10125,75%
41330,100%
30067,100%
30078,50%
10073,75%
41303,100%
10109,65%
10073,42%
50008,72%
40014,95%
50129,95%
30067,80%
10012,95%
10131,100%
40085,100%
40014,76%
50042,100%
50191,100%
50150,95%
10118,100%
01014F,100%
50096,98%
50024,100%
50025,100%
50131,80%
20017,100%
30038,81%
50194,87%
50030,92%
50222,96%
30121,94%
50159,100%
10157,100%
50173,100%
50078,100%
10126,100%
30073,0%
41309,100%
