O,G,S
SCIP-CARD-2,CA,CA_SCIP-CARD-2
HF-3,AR,AR_HF-3
AMI-4,CA,CA_AMI-4
SCIP-INF-3,AL,AL_SCIP-INF-3
AMI-3,AR,AR_AMI-3
AMI-4,CA,CA_AMI-4
AMI-3,AR,AR_AMI-3
HF-3,AK,AK_HF-3
AMI-7A,CA,CA_AMI-7A
AMI-1,AR,AR_AMI-1
HF-4,AK,AK_HF-4
AMI-3,AL,AL_AMI-3
AMI-4,AL,AL_AMI-4
PN-3B,AR,AR_PN-3B
AMI-5,AL,AL_AMI-5
HF-4,AZ,AZ_HF-4
SCIP-VTE-1,AL,AL_SCIP-VTE-1
PN-7,AL,AL_PN-7
AMI-1,AR,AR_AMI-1
AMI-3,AZ,AZ_AMI-3
AMI-4,AK,AK_AMI-4
PN-3B,CA,CA_PN-3B
PN-3B,AZ,AZ_PN-3B
HF-4,AL,AL_HF-4
PN-6,CA,CA_PN-6
PN-3B,AR,AR_PN-3B
AMI-5,AZ,AZ_AMI-5
PN-5C,AZ,AZ_PN-5C
PN-7,AL,AL_PN-7
PN-2,CA,CA_PN-2
PN-5C,AZ,AZ_PN-5C
SCIP-INF-4,AR,AR_SCIP-INF-4
AMI-5,AL,AL_AMI-5
PN-6,AL,AL_PN-6
SCIP-CARD-2,CA,CA_SCIP-CARD-2
HF-4,CA,CA_HF-4
PN-5C,AK,AK_PN-5C
PN-5C,CA,CA_PN-5C
AMI-1,CA,CA_AMI-1
PN-6,AL,AL_PN-6
PN-3B,AZ,AZ_PN-3B
AMI-2,AR,AR_AMI-2
AMI-1,AL,AL_AMI-1
PN-2,AL,AL_PN-2
HF-3,AZ,AZ_HF-3
PN-5C,AR,AR_PN-5C
HF-3,CA,CA_HF-3
CAC-1,AR,AR_CAC-1
AMI-4,AL,AL_AMI-4
PN-2,CA,CA_PN-2
SCIP-CARD-2,AL,AL_SCIP-CARD-2
AMI-4,CA,CA_AMI-4
HF-1,CA,CA_HF-1
PN-5C,AL,AL_PN-5C
HF-1,AR,AR_HF-1
PN-3B,AL,AL_PN-3B
SCIP-CARD-2,CA,CA_SCIP-CARD-2
PN-5C,AL,AL_PN-5C
PN-2,CA,CA_PN-2
PN-5C,AZ,AZ_PN-5C
HF-2,AR,AR_HF-2
PN-3B,CA,CA_PN-3B
SCIP-VTE-2,AL,AL_SCIP-VTE-2
SCIP-VTE-1,CA,CA_SCIP-VTE-1
PN-2,AZ,AZ_PN-2
HF-1,AZ,AZ_HF-1
SCIP-INF-4,CA,CA_SCIP-INF-4
PN-7,AL,AL_PN-7
SCIP-CARD-2,CA,CA_SCIP-CARD-2
PN-5C,AZ,AZ_PN-5C
PN-7,AL,AL_PN-7
HF-1,CA,CA_HF-1
PN-5C,CA,CA_PN-5C
PN-2,AL,AL_PN-2
HF-3,CA,CA_HF-3
AMI-2,AL,AL_AMI-2
HF-3,CA,CA_HF-3
SCIP-VTE-1,AZ,AZ_SCIP-VTE-1
PN-7,AZ,AZ_PN-7
SCIP-VTE-1,AL,AL_SCIP-VTE-1
PN-7,CA,CA_PN-7
PN-5C,AZ,AZ_PN-5C
SCIP-INF-1,AL,AL_SCIP-INF-1
AMI-3,AL,AL_AMI-3
AMI-5,AR,AR_AMI-5
AMI-4,AR,AR_AMI-4
SCIP-CARD-2,CA,CA_SCIP-CARD-2
HF-3,CA,CA_HF-3
SCIP-INF-2,AL,AL_SCIP-INF-2
PN-5C,AZ,AZ_PN-5C
AMI-5,AZ,AZ_AMI-5
PN-3B,CA,CA_PN-3B
AMI-5,AR,AR_AMI-5
PN-7,CA,CA_PN-7
SCIP-INF-6,AR,AR_SCIP-INF-6
PN-5C,CA,CA_PN-5C
PN-2,AR,AR_PN-2
PN-3B,AL,AL_PN-3B
SCIP-INF-2,AR,AR_SCIP-INF-2
HF-1,AR,AR_HF-1
AMI-1,CA,CA_AMI-1
HF-4,AZ,AZ_HF-4
PN-5C,AL,AL_PN-5C
PN-2,CA,CA_PN-2
PN-3B,AL,AL_PN-3B
AMI-4,AR,AR_AMI-4
AMI-2,CA,CA_AMI-2
HF-1,AZ,AZ_HF-1
AMI-1,AR,AR_AMI-1
PN-3B,AL,AL_PN-3B
AMI-5,AZ,AZ_AMI-5
AMI-1,AL,AL_AMI-1
PN-7,AL,AL_PN-7
PN-4,CA,CA_PN-4
PN-4,AR,AR_PN-4
AMI-3,CA,CA_AMI-3
PN-4,AR,AR_PN-4
SCIP-VTE-1,CA,CA_SCIP-VTE-1
SCIP-INF-6,AL,AL_SCIP-INF-6
SCIP-INF-3,CA,CA_SCIP-INF-3
HF-2,AL,AL_HF-2
SCIP-INF-4,AL,AL_SCIP-INF-4
PN-6,CA,CA_PN-6
PN-2,AZ,AZ_PN-2
SCIP-INF-6,AR,AR_SCIP-INF-6
SCIP-VTE-1,CA,CA_SCIP-VTE-1
HF-2,AR,AR_HF-2
