middel_2,nedboer_2,meldug_3,meldug_4
0_50_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_l_ha,____4,0_00___0_01__,0_00___0_01__
0_25_l_ha,2___3,0_01___0_5__,0_00___0_01__
0_75_l_ha,____4,0_00___0_01__,0_00___0_01__
0_50_l_ha,____4,0_00___0_01__,0_00___0_01__
0_50_l_ha,0___1,0_00___0_01__,0_00___0_01__
0_50_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_l_ha,____4,2___6__,0_00___0_01__
0_25_l_ha,2___3,0_5___1__,0_00___0_01__
0_25_l_ha,____4,0_00___0_01__,0_00___0_01__
0_50_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_75_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_25_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_50_l_ha,0___1,0_00___0_01__,0_00___0_01__
0_50_l_ha,0___1,0_00___0_01__,0_00___0_01__
0_50_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_75_l_ha,____4,0_00___0_01__,0_00___0_01__
0_l_ha,____4,10___25__,50___100__
0_50_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_50_l_ha,____4,0_00___0_01__,0_00___0_01__
0_75_l_ha,____4,0_00___0_01__,0_00___0_01__
0_25_l_ha,2___3,1___2__,0_00___0_01__
0_l_ha,____4,25___50__,25___50__
0_75_l_ha,____4,0_00___0_01__,0_00___0_01__
0_50_l_ha,____4,0_00___0_01__,0_00___0_01__
0_25_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_l_ha,0___1,0_00___0_01__,0_00___0_01__
0_50_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_25_l_ha,____4,0_00___0_01__,0_00___0_01__
0_25_l_ha,0___1,0_5___1__,0_00___0_01__
0_50_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_25_l_ha,0___1,0_00___0_01__,0_00___0_01__
0_l_ha,____4,0_00___0_01__,0_00___0_01__
0_l_ha,____4,0_00___0_01__,0_00___0_01__
0_50_l_ha,0___1,6___10__,0_00___0_01__
0_25_l_ha,0___1,0_00___0_01__,0_00___0_01__
0_50_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_25_l_ha,____4,1___2__,0_00___0_01__
0_75_l_ha,____4,0_00___0_01__,0_00___0_01__
0_50_l_ha,0___1,0_00___0_01__,0_00___0_01__
0_50_l_ha,____4,0_00___0_01__,0_00___0_01__
0_75_l_ha,0___1,0_00___0_01__,0_00___0_01__
0_75_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_75_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_50_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_50_l_ha,____4,0_00___0_01__,0_00___0_01__
0_50_l_ha,2___3,0_00___0_01__,0_00___0_01__
0_75_l_ha,2___3,0_00___0_01__,0_00___0_01__
