temp_4,nedboer_2,straaling_3
____17_0_C,2___3,350___399_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
____17_0_C,____4,300___349_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
13_0___14_9_C,____4,300___349_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
____17_0_C,2___3,____400_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
____17_0_C,____4,300___349_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
____17_0_C,____4,350___399_MJ_m2
____17_0_C,____4,300___349_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
13_0___14_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
15_0___16_9_C,____4,____400_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,2___3,___300_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
____17_0_C,____4,350___399_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
____17_0_C,____4,300___349_MJ_m2
15_0___16_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
13_0___14_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
15_0___16_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
____17_0_C,0___1,____400_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
____17_0_C,0___1,300___349_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
13_0___14_9_C,____4,300___349_MJ_m2
15_0___16_9_C,____4,____400_MJ_m2
13_0___14_9_C,0___1,____400_MJ_m2
____17_0_C,____4,350___399_MJ_m2
____17_0_C,0___1,____400_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
13_0___14_9_C,0___1,___300_MJ_m2
____17_0_C,2___3,300___349_MJ_m2
13_0___14_9_C,2___3,300___349_MJ_m2
____17_0_C,____4,___300_MJ_m2
____17_0_C,0___1,350___399_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
13_0___14_9_C,0___1,____400_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
____17_0_C,____4,300___349_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
13_0___14_9_C,____4,300___349_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
____17_0_C,0___1,350___399_MJ_m2
13_0___14_9_C,____4,300___349_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
15_0___16_9_C,0___1,300___349_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
13_0___14_9_C,____4,____400_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
____17_0_C,0___1,350___399_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,____4,300___349_MJ_m2
____17_0_C,____4,300___349_MJ_m2
15_0___16_9_C,2___3,___300_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
____17_0_C,____4,350___399_MJ_m2
15_0___16_9_C,2___3,____400_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
____17_0_C,2___3,300___349_MJ_m2
15_0___16_9_C,0___1,____400_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
13_0___14_9_C,____4,300___349_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
____17_0_C,0___1,300___349_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
____17_0_C,____4,350___399_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
15_0___16_9_C,0___1,300___349_MJ_m2
____17_0_C,0___1,300___349_MJ_m2
13_0___14_9_C,0___1,____400_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,0___1,300___349_MJ_m2
13_0___14_9_C,____4,300___349_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
____17_0_C,____4,300___349_MJ_m2
____17_0_C,2___3,____400_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
13_0___14_9_C,____4,___300_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
15_0___16_9_C,2___3,___300_MJ_m2
____17_0_C,2___3,____400_MJ_m2
15_0___16_9_C,0___1,___300_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
15_0___16_9_C,____4,___300_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
____17_0_C,____4,300___349_MJ_m2
15_0___16_9_C,2___3,___300_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
____17_0_C,____4,350___399_MJ_m2
____17_0_C,____4,300___349_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
____17_0_C,2___3,300___349_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
13_0___14_9_C,____4,300___349_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
____17_0_C,____4,___300_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,2___3,300___349_MJ_m2
15_0___16_9_C,2___3,___300_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
13_0___14_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
15_0___16_9_C,0___1,____400_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
____17_0_C,0___1,300___349_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
____17_0_C,____4,300___349_MJ_m2
13_0___14_9_C,2___3,300___349_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
____17_0_C,____4,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
15_0___16_9_C,____4,____400_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,0___1,300___349_MJ_m2
____17_0_C,____4,350___399_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
15_0___16_9_C,0___1,300___349_MJ_m2
____17_0_C,0___1,350___399_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
____17_0_C,____4,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
____17_0_C,0___1,300___349_MJ_m2
____17_0_C,____4,350___399_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
____17_0_C,____4,350___399_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
____17_0_C,2___3,___300_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
13_0___14_9_C,2___3,300___349_MJ_m2
____17_0_C,2___3,300___349_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
____17_0_C,0___1,300___349_MJ_m2
13_0___14_9_C,2___3,___300_MJ_m2
____17_0_C,____4,300___349_MJ_m2
____17_0_C,2___3,____400_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
15_0___16_9_C,____4,____400_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,2___3,300___349_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
____17_0_C,2___3,300___349_MJ_m2
____17_0_C,____4,350___399_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
____17_0_C,____4,____400_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
15_0___16_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
13_0___14_9_C,2___3,300___349_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
13_0___14_9_C,2___3,300___349_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
____17_0_C,____4,300___349_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,2___3,300___349_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
____17_0_C,2___3,300___349_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
15_0___16_9_C,0___1,____400_MJ_m2
15_0___16_9_C,0___1,____400_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
15_0___16_9_C,0___1,300___349_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
15_0___16_9_C,0___1,___300_MJ_m2
____17_0_C,0___1,300___349_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
____17_0_C,0___1,350___399_MJ_m2
13_0___14_9_C,2___3,____400_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
____17_0_C,____4,300___349_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
____17_0_C,2___3,___300_MJ_m2
15_0___16_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
____17_0_C,____4,____400_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
13_0___14_9_C,2___3,350___399_MJ_m2
13_0___14_9_C,____4,300___349_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
13_0___14_9_C,2___3,300___349_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
____17_0_C,2___3,300___349_MJ_m2
15_0___16_9_C,2___3,____400_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,2___3,____400_MJ_m2
15_0___16_9_C,0___1,350___399_MJ_m2
____17_0_C,____4,300___349_MJ_m2
15_0___16_9_C,____4,____400_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,2___3,300___349_MJ_m2
____17_0_C,0___1,___300_MJ_m2
13_0___14_9_C,____4,350___399_MJ_m2
13_0___14_9_C,2___3,____400_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
13_0___14_9_C,2___3,300___349_MJ_m2
15_0___16_9_C,0___1,300___349_MJ_m2
15_0___16_9_C,____4,350___399_MJ_m2
15_0___16_9_C,2___3,300___349_MJ_m2
15_0___16_9_C,____4,300___349_MJ_m2
13_0___14_9_C,0___1,350___399_MJ_m2
____17_0_C,____4,___300_MJ_m2
13_0___14_9_C,____4,300___349_MJ_m2
13_0___14_9_C,0___1,300___349_MJ_m2
____17_0_C,2___3,350___399_MJ_m2
15_0___16_9_C,2___3,350___399_MJ_m2
____17_0_C,____4,350___399_MJ_m2
