udbytte,foto_2,lai_3,lai_1
85___87_hkg_ha,0_55_kg_m2,1_5___2_5,2_5___3_5
81___83_hkg_ha,0_35_kg_m2,1_5___2_5,2_5___3_5
107___109_hkg_ha,0_65_kg_m2,3_5___4_5,5_5___6_5
105___107_hkg_ha,0_50_kg_m2,3_5___4_5,5_5___6_5
107___109_hkg_ha,0_60_kg_m2,3_5___4_5,5_5___6_5
77___79_hkg_ha,0_45_kg_m2,1_5___2_5,2_5___3_5
89___91_hkg_ha,0_65_kg_m2,2_5___3_5,4_5___5_5
91___93_hkg_ha,0_60_kg_m2,2_5___3_5,4_5___5_5
65___67_hkg_ha,0_60_kg_m2,1_5___2_5,5_5___6_5
115___117_hkg_ha,0_50_kg_m2,4_5___5_5,4_5___5_5
95___97_hkg_ha,0_50_kg_m2,2_5___3_5,4_5___5_5
109___111_hkg_ha,0_35_kg_m2,4_5___5_5,5_5___6_5
27___29_hkg_ha,0_20_kg_m2,0_5___1_5,0_5___1_5
89___91_hkg_ha,0_50_kg_m2,2_5___3_5,3_5___4_5
115___117_hkg_ha,0_65_kg_m2,3_5___4_5,___6_5
83___85_hkg_ha,0_55_kg_m2,1_5___2_5,2_5___3_5
81___83_hkg_ha,0_40_kg_m2,1_5___2_5,2_5___3_5
3___5_hkg_ha,0_25_kg_m2,0_0___0_5,1_5___2_5
35___37_hkg_ha,0_50_kg_m2,0_5___1_5,1_5___2_5
93___95_hkg_ha,0_40_kg_m2,2_5___3_5,3_5___4_5
95___97_hkg_ha,0_45_kg_m2,2_5___3_5,5_5___6_5
41___43_hkg_ha,0_35_kg_m2,0_5___1_5,2_5___3_5
21___23_hkg_ha,0_35_kg_m2,0_0___0_5,1_5___2_5
87___89_hkg_ha,0_55_kg_m2,3_5___4_5,5_5___6_5
97___99_hkg_ha,0_55_kg_m2,3_5___4_5,4_5___5_5
69___71_hkg_ha,0_45_kg_m2,1_5___2_5,2_5___3_5
111___113_hkg_ha,0_50_kg_m2,3_5___4_5,5_5___6_5
97___99_hkg_ha,0_50_kg_m2,2_5___3_5,4_5___5_5
121___123_hkg_ha,0_65_kg_m2,2_5___3_5,3_5___4_5
63___65_hkg_ha,0_30_kg_m2,1_5___2_5,2_5___3_5
87___89_hkg_ha,0_50_kg_m2,2_5___3_5,3_5___4_5
69___71_hkg_ha,0_45_kg_m2,1_5___2_5,2_5___3_5
101___103_hkg_ha,0_50_kg_m2,3_5___4_5,5_5___6_5
101___103_hkg_ha,0_65_kg_m2,3_5___4_5,5_5___6_5
41___43_hkg_ha,0_30_kg_m2,0_5___1_5,1_5___2_5
95___97_hkg_ha,0_45_kg_m2,3_5___4_5,4_5___5_5
117___119_hkg_ha,0_50_kg_m2,3_5___4_5,3_5___4_5
41___43_hkg_ha,0_25_kg_m2,0_5___1_5,0_5___1_5
