temp_4,mikro_2,temp_2
____17_0_C,V_dt_og_koldt,13_0___14_9_C
13_0___14_9_C,V_dt_og_varmt,13_0___14_9_C
15_0___16_9_C,T_rt_og_koldt,___13_0_C
____17_0_C,V_dt_og_koldt,15_0___16_9_C
15_0___16_9_C,V_dt_og_varmt,15_0___16_9_C
13_0___14_9_C,T_rt_og_varmt,15_0___16_9_C
15_0___16_9_C,V_dt_og_varmt,13_0___14_9_C
13_0___14_9_C,V_dt_og_koldt,___13_0_C
15_0___16_9_C,V_dt_og_koldt,13_0___14_9_C
13_0___14_9_C,V_dt_og_koldt,13_0___14_9_C
____17_0_C,V_dt_og_varmt,13_0___14_9_C
15_0___16_9_C,V_dt_og_varmt,15_0___16_9_C
____17_0_C,T_rt_og_koldt,13_0___14_9_C
13_0___14_9_C,T_rt_og_koldt,15_0___16_9_C
15_0___16_9_C,T_rt_og_varmt,13_0___14_9_C
15_0___16_9_C,T_rt_og_varmt,13_0___14_9_C
13_0___14_9_C,V_dt_og_koldt,13_0___14_9_C
____17_0_C,V_dt_og_koldt,___13_0_C
15_0___16_9_C,V_dt_og_varmt,13_0___14_9_C
____17_0_C,V_dt_og_varmt,13_0___14_9_C
____17_0_C,V_dt_og_koldt,13_0___14_9_C
15_0___16_9_C,V_dt_og_koldt,15_0___16_9_C
15_0___16_9_C,V_dt_og_koldt,___13_0_C
15_0___16_9_C,V_dt_og_koldt,13_0___14_9_C
13_0___14_9_C,V_dt_og_koldt,13_0___14_9_C
13_0___14_9_C,T_rt_og_varmt,____17_0_C
13_0___14_9_C,T_rt_og_koldt,15_0___16_9_C
____17_0_C,V_dt_og_koldt,13_0___14_9_C
15_0___16_9_C,V_dt_og_koldt,___13_0_C
13_0___14_9_C,T_rt_og_varmt,____17_0_C
15_0___16_9_C,T_rt_og_koldt,13_0___14_9_C
13_0___14_9_C,T_rt_og_varmt,15_0___16_9_C
15_0___16_9_C,V_dt_og_koldt,15_0___16_9_C
____17_0_C,V_dt_og_koldt,13_0___14_9_C
13_0___14_9_C,T_rt_og_varmt,15_0___16_9_C
15_0___16_9_C,T_rt_og_varmt,13_0___14_9_C
13_0___14_9_C,V_dt_og_varmt,13_0___14_9_C
15_0___16_9_C,V_dt_og_varmt,13_0___14_9_C
15_0___16_9_C,V_dt_og_koldt,13_0___14_9_C
13_0___14_9_C,T_rt_og_varmt,___13_0_C
____17_0_C,V_dt_og_varmt,15_0___16_9_C
15_0___16_9_C,T_rt_og_koldt,13_0___14_9_C
15_0___16_9_C,T_rt_og_koldt,15_0___16_9_C
15_0___16_9_C,V_dt_og_koldt,___13_0_C
13_0___14_9_C,V_dt_og_koldt,13_0___14_9_C
15_0___16_9_C,V_dt_og_koldt,___13_0_C
13_0___14_9_C,V_dt_og_varmt,15_0___16_9_C
13_0___14_9_C,V_dt_og_koldt,13_0___14_9_C
____17_0_C,T_rt_og_koldt,15_0___16_9_C
13_0___14_9_C,T_rt_og_koldt,13_0___14_9_C
15_0___16_9_C,V_dt_og_koldt,15_0___16_9_C
15_0___16_9_C,T_rt_og_varmt,13_0___14_9_C
____17_0_C,T_rt_og_koldt,13_0___14_9_C
15_0___16_9_C,T_rt_og_varmt,15_0___16_9_C
____17_0_C,T_rt_og_varmt,15_0___16_9_C
13_0___14_9_C,V_dt_og_koldt,13_0___14_9_C
15_0___16_9_C,V_dt_og_varmt,15_0___16_9_C
13_0___14_9_C,V_dt_og_varmt,____17_0_C
15_0___16_9_C,V_dt_og_koldt,13_0___14_9_C
13_0___14_9_C,V_dt_og_varmt,13_0___14_9_C
____17_0_C,V_dt_og_koldt,15_0___16_9_C
____17_0_C,T_rt_og_varmt,15_0___16_9_C
13_0___14_9_C,V_dt_og_varmt,13_0___14_9_C
13_0___14_9_C,V_dt_og_koldt,15_0___16_9_C
____17_0_C,T_rt_og_varmt,15_0___16_9_C
13_0___14_9_C,V_dt_og_varmt,13_0___14_9_C
____17_0_C,V_dt_og_varmt,13_0___14_9_C
____17_0_C,T_rt_og_koldt,___13_0_C
____17_0_C,T_rt_og_koldt,___13_0_C
15_0___16_9_C,V_dt_og_koldt,___13_0_C
13_0___14_9_C,T_rt_og_varmt,15_0___16_9_C
13_0___14_9_C,T_rt_og_koldt,13_0___14_9_C
____17_0_C,V_dt_og_varmt,13_0___14_9_C
15_0___16_9_C,V_dt_og_koldt,13_0___14_9_C
15_0___16_9_C,V_dt_og_varmt,13_0___14_9_C
13_0___14_9_C,T_rt_og_varmt,13_0___14_9_C
15_0___16_9_C,V_dt_og_varmt,13_0___14_9_C
13_0___14_9_C,V_dt_og_koldt,___13_0_C
15_0___16_9_C,V_dt_og_koldt,13_0___14_9_C
13_0___14_9_C,V_dt_og_koldt,13_0___14_9_C
13_0___14_9_C,V_dt_og_varmt,15_0___16_9_C
15_0___16_9_C,T_rt_og_koldt,13_0___14_9_C
15_0___16_9_C,V_dt_og_varmt,____17_0_C
15_0___16_9_C,V_dt_og_varmt,13_0___14_9_C
____17_0_C,T_rt_og_varmt,13_0___14_9_C
13_0___14_9_C,V_dt_og_koldt,13_0___14_9_C
____17_0_C,T_rt_og_varmt,____17_0_C
15_0___16_9_C,V_dt_og_koldt,___13_0_C
13_0___14_9_C,V_dt_og_koldt,13_0___14_9_C
15_0___16_9_C,V_dt_og_koldt,___13_0_C
15_0___16_9_C,V_dt_og_varmt,____17_0_C
15_0___16_9_C,V_dt_og_varmt,13_0___14_9_C
15_0___16_9_C,T_rt_og_varmt,15_0___16_9_C
