temp_1,lai_0,mikro_1
13_0___14_9_C,3_5___4_5,T_rt_og_koldt
___13_0_C,2_5___3_5,T_rt_og_koldt
13_0___14_9_C,5_5___6_5,V_dt_og_koldt
15_0___16_9_C,5_5___6_5,V_dt_og_varmt
13_0___14_9_C,5_5___6_5,V_dt_og_koldt
13_0___14_9_C,2_5___3_5,V_dt_og_koldt
15_0___16_9_C,3_5___4_5,V_dt_og_koldt
13_0___14_9_C,4_5___5_5,V_dt_og_varmt
13_0___14_9_C,5_5___6_5,V_dt_og_varmt
____17_0_C,3_5___4_5,T_rt_og_varmt
13_0___14_9_C,4_5___5_5,V_dt_og_koldt
13_0___14_9_C,5_5___6_5,T_rt_og_varmt
13_0___14_9_C,5_5___6_5,V_dt_og_koldt
15_0___16_9_C,3_5___4_5,T_rt_og_koldt
13_0___14_9_C,___6_5,T_rt_og_varmt
15_0___16_9_C,2_5___3_5,V_dt_og_varmt
13_0___14_9_C,2_5___3_5,V_dt_og_koldt
____17_0_C,___6_5,T_rt_og_varmt
15_0___16_9_C,2_5___3_5,T_rt_og_koldt
13_0___14_9_C,4_5___5_5,T_rt_og_varmt
13_0___14_9_C,5_5___6_5,V_dt_og_varmt
15_0___16_9_C,3_5___4_5,T_rt_og_varmt
13_0___14_9_C,2_5___3_5,T_rt_og_koldt
___13_0_C,5_5___6_5,T_rt_og_koldt
13_0___14_9_C,5_5___6_5,T_rt_og_varmt
13_0___14_9_C,2_5___3_5,T_rt_og_koldt
13_0___14_9_C,4_5___5_5,T_rt_og_varmt
13_0___14_9_C,4_5___5_5,V_dt_og_varmt
13_0___14_9_C,3_5___4_5,V_dt_og_koldt
13_0___14_9_C,3_5___4_5,V_dt_og_koldt
15_0___16_9_C,3_5___4_5,V_dt_og_koldt
13_0___14_9_C,2_5___3_5,T_rt_og_koldt
13_0___14_9_C,5_5___6_5,V_dt_og_varmt
13_0___14_9_C,5_5___6_5,V_dt_og_koldt
13_0___14_9_C,5_5___6_5,T_rt_og_koldt
13_0___14_9_C,4_5___5_5,V_dt_og_varmt
13_0___14_9_C,4_5___5_5,T_rt_og_koldt
13_0___14_9_C,4_5___5_5,V_dt_og_koldt
