middel_2,middel_3,meldug_3,meldug_4,lai_4
0_50_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_25_l_ha,0_50_l_ha,0_01___0_5__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_l_ha,0_50_l_ha,2___6__,0_00___0_01__,0_5___1_5
0_25_l_ha,0_50_l_ha,0_5___1__,0_00___0_01__,0_0___0_5
0_25_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,1_5___2_5
0_50_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,1_5___2_5
0_25_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_0___0_5
0_50_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_l_ha,0_l_ha,10___25__,50___100__,0_0___0_5
0_50_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_0___0_5
0_50_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_25_l_ha,0_25_l_ha,1___2__,0_00___0_01__,0_0___0_5
0_l_ha,0_l_ha,25___50__,25___50__,0_0___0_5
0_75_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_25_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_0___0_5
0_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_25_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_25_l_ha,0_50_l_ha,0_5___1__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_25_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_75_l_ha,6___10__,0_00___0_01__,0_0___0_5
0_25_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_25_l_ha,0_25_l_ha,1___2__,0_00___0_01__,0_0___0_5
0_75_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_0___0_5
0_75_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_0___0_5
0_25_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_0___0_5
0_50_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_25_l_ha,0_50_l_ha,0_01___0_5__,0_00___0_01__,0_0___0_5
0_l_ha,0_l_ha,2___6__,2___6__,0_5___1_5
0_75_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_25_l_ha,6___10__,0_5___1__,0_0___0_5
0_50_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,0_0___0_5
0_50_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_25_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,1_5___2_5
0_75_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_l_ha,0_00___0_01__,0_01___0_5__,0_5___1_5
0_75_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_75_l_ha,0_5___1__,0_00___0_01__,0_0___0_5
0_25_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_l_ha,0_l_ha,2___6__,25___50__,0_0___0_5
0_75_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_l_ha,0_01___0_5__,0_5___1__,0_0___0_5
0_50_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_50_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,1_5___2_5
0_50_l_ha,0_75_l_ha,2___6__,0_00___0_01__,0_0___0_5
0_25_l_ha,0_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_75_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_25_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,1_5___2_5
0_50_l_ha,0_50_l_ha,0_00___0_01__,0_00___0_01__,1_5___2_5
0_50_l_ha,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
0_25_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_0___0_5
0_25_l_ha,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5
