meldug_1,lai_0,udbytte,foto_2,lai_3,middel_1,meldug_2,meldug_3,lai_1,foto_1,meldug_4,dm_2,straaling_2,lai_4,foto_3,dm_1,lai_2,dm_4,foto_4,dm_3
6___10__,3_5___4_5,85___87_hkg_ha,0_55_kg_m2,1_5___2_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,2_5___3_5,0_65_kg_m2,0_00___0_01__,0_66_kg_m2,____250_MJ_m2,0_5___1_5,0_65_kg_m2,0_38_kg_m2,1_5___2_5,1_02_kg_m2,0_30_kg_m2,0_94_kg_m2
0_01___0_5__,2_5___3_5,81___83_hkg_ha,0_35_kg_m2,1_5___2_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,2_5___3_5,0_60_kg_m2,0_00___0_01__,0_50_kg_m2,150___199_MJ_m2,0_5___1_5,0_70_kg_m2,0_34_kg_m2,2_5___3_5,0_96_kg_m2,0_40_kg_m2,0_84_kg_m2
2___6__,5_5___6_5,107___109_hkg_ha,0_65_kg_m2,3_5___4_5,0_l_ha,1___2__,0_01___0_5__,5_5___6_5,0_60_kg_m2,0_00___0_01__,0_72_kg_m2,200___249_MJ_m2,0_5___1_5,1_00_kg_m2,0_34_kg_m2,4_5___5_5,1_28_kg_m2,0_35_kg_m2,1_24_kg_m2
0_5___1__,5_5___6_5,105___107_hkg_ha,0_50_kg_m2,3_5___4_5,0_25_l_ha,0_5___1__,0_00___0_01__,5_5___6_5,0_50_kg_m2,0_00___0_01__,0_52_kg_m2,150___199_MJ_m2,0_5___1_5,0_95_kg_m2,0_30_kg_m2,5_5___6_5,1_24_kg_m2,0_50_kg_m2,1_06_kg_m2
0_01___0_5__,5_5___6_5,107___109_hkg_ha,0_60_kg_m2,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_50_kg_m2,0_00___0_01__,0_62_kg_m2,200___249_MJ_m2,0_5___1_5,1_00_kg_m2,0_30_kg_m2,5_5___6_5,1_28_kg_m2,0_45_kg_m2,1_16_kg_m2
10___25__,2_5___3_5,77___79_hkg_ha,0_45_kg_m2,1_5___2_5,0_50_l_ha,0_01___0_5__,0_00___0_01__,2_5___3_5,0_50_kg_m2,0_00___0_01__,0_50_kg_m2,200___249_MJ_m2,0_5___1_5,0_55_kg_m2,0_28_kg_m2,2_5___3_5,0_92_kg_m2,0_50_kg_m2,0_74_kg_m2
0_5___1__,3_5___4_5,89___91_hkg_ha,0_65_kg_m2,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,4_5___5_5,0_45_kg_m2,0_00___0_01__,0_60_kg_m2,200___249_MJ_m2,0_5___1_5,0_80_kg_m2,0_24_kg_m2,4_5___5_5,1_06_kg_m2,0_30_kg_m2,1_00_kg_m2
0_01___0_5__,4_5___5_5,91___93_hkg_ha,0_60_kg_m2,2_5___3_5,0_l_ha,1___2__,2___6__,4_5___5_5,0_45_kg_m2,0_00___0_01__,0_56_kg_m2,200___249_MJ_m2,0_5___1_5,0_85_kg_m2,0_26_kg_m2,3_5___4_5,1_08_kg_m2,0_35_kg_m2,1_00_kg_m2
1___2__,5_5___6_5,65___67_hkg_ha,0_60_kg_m2,1_5___2_5,0_l_ha,25___50__,0_5___1__,5_5___6_5,0_55_kg_m2,0_00___0_01__,0_62_kg_m2,____250_MJ_m2,0_0___0_5,0_70_kg_m2,0_28_kg_m2,2_5___3_5,0_78_kg_m2,0_00_kg_m2,0_94_kg_m2
0_01___0_5__,3_5___4_5,115___117_hkg_ha,0_50_kg_m2,4_5___5_5,0_l_ha,2___6__,0_00___0_01__,4_5___5_5,0_45_kg_m2,0_00___0_01__,0_52_kg_m2,200___249_MJ_m2,1_5___2_5,1_00_kg_m2,0_24_kg_m2,5_5___6_5,1_36_kg_m2,0_60_kg_m2,1_10_kg_m2
