temp_1,mikro_1,nedboer_2,meldug_2,nedboer_1
13_0___14_9_C,T_rt_og_koldt,2___3,0_00___0_01__,0___1
___13_0_C,T_rt_og_koldt,____4,0_00___0_01__,0___1
13_0___14_9_C,V_dt_og_koldt,2___3,1___2__,0___1
15_0___16_9_C,V_dt_og_varmt,____4,0_5___1__,____4
13_0___14_9_C,V_dt_og_koldt,____4,0_00___0_01__,____4
13_0___14_9_C,V_dt_og_koldt,0___1,0_01___0_5__,____4
15_0___16_9_C,V_dt_og_koldt,2___3,0_00___0_01__,2___3
13_0___14_9_C,V_dt_og_varmt,____4,1___2__,____4
13_0___14_9_C,V_dt_og_varmt,2___3,25___50__,____4
____17_0_C,T_rt_og_varmt,____4,2___6__,0___1
13_0___14_9_C,V_dt_og_koldt,2___3,0_00___0_01__,____4
13_0___14_9_C,T_rt_og_varmt,2___3,0_00___0_01__,0___1
13_0___14_9_C,V_dt_og_koldt,2___3,0_5___1__,____4
15_0___16_9_C,T_rt_og_koldt,0___1,0_00___0_01__,0___1
13_0___14_9_C,T_rt_og_varmt,0___1,0_00___0_01__,0___1
15_0___16_9_C,V_dt_og_varmt,2___3,0_5___1__,2___3
13_0___14_9_C,V_dt_og_koldt,____4,0_00___0_01__,____4
____17_0_C,T_rt_og_varmt,____4,25___50__,0___1
15_0___16_9_C,T_rt_og_koldt,2___3,0_00___0_01__,0___1
13_0___14_9_C,T_rt_og_varmt,____4,0_00___0_01__,0___1
13_0___14_9_C,V_dt_og_varmt,____4,0_00___0_01__,2___3
15_0___16_9_C,T_rt_og_varmt,2___3,25___50__,0___1
13_0___14_9_C,T_rt_og_koldt,____4,25___50__,0___1
___13_0_C,T_rt_og_koldt,____4,0_00___0_01__,0___1
13_0___14_9_C,T_rt_og_varmt,____4,0_00___0_01__,0___1
13_0___14_9_C,T_rt_og_koldt,2___3,0_00___0_01__,0___1
13_0___14_9_C,T_rt_og_varmt,0___1,0_00___0_01__,0___1
13_0___14_9_C,V_dt_og_varmt,2___3,0_00___0_01__,2___3
13_0___14_9_C,V_dt_og_koldt,____4,0_5___1__,____4
13_0___14_9_C,V_dt_og_koldt,0___1,6___10__,____4
15_0___16_9_C,V_dt_og_koldt,2___3,0_00___0_01__,____4
13_0___14_9_C,T_rt_og_koldt,0___1,0_00___0_01__,0___1
13_0___14_9_C,V_dt_og_varmt,____4,0_00___0_01__,____4
13_0___14_9_C,V_dt_og_koldt,____4,0_00___0_01__,2___3
13_0___14_9_C,T_rt_og_koldt,0___1,25___50__,2___3
13_0___14_9_C,V_dt_og_varmt,0___1,0_00___0_01__,____4
13_0___14_9_C,T_rt_og_koldt,2___3,0_00___0_01__,0___1
13_0___14_9_C,V_dt_og_koldt,____4,6___10__,____4
15_0___16_9_C,T_rt_og_koldt,____4,0_00___0_01__,0___1
13_0___14_9_C,V_dt_og_varmt,0___1,0_00___0_01__,0___1
13_0___14_9_C,T_rt_og_koldt,____4,1___2__,0___1
13_0___14_9_C,T_rt_og_koldt,0___1,0_00___0_01__,0___1
13_0___14_9_C,V_dt_og_varmt,2___3,0_00___0_01__,____4
15_0___16_9_C,V_dt_og_varmt,2___3,0_00___0_01__,____4
____17_0_C,V_dt_og_varmt,2___3,0_00___0_01__,2___3
13_0___14_9_C,V_dt_og_varmt,____4,0_00___0_01__,2___3
15_0___16_9_C,T_rt_og_varmt,2___3,0_00___0_01__,0___1
13_0___14_9_C,V_dt_og_varmt,2___3,1___2__,0___1
____17_0_C,T_rt_og_varmt,2___3,10___25__,0___1
15_0___16_9_C,V_dt_og_koldt,2___3,0_00___0_01__,0___1
13_0___14_9_C,T_rt_og_varmt,0___1,0_5___1__,2___3
13_0___14_9_C,T_rt_og_varmt,0___1,0_5___1__,0___1
15_0___16_9_C,T_rt_og_varmt,0___1,6___10__,0___1
15_0___16_9_C,T_rt_og_varmt,2___3,1___2__,0___1
13_0___14_9_C,V_dt_og_varmt,0___1,0_00___0_01__,2___3
13_0___14_9_C,T_rt_og_varmt,2___3,0_00___0_01__,0___1
13_0___14_9_C,T_rt_og_varmt,____4,0_5___1__,2___3
13_0___14_9_C,V_dt_og_varmt,____4,0_5___1__,____4
13_0___14_9_C,V_dt_og_varmt,____4,0_5___1__,0___1
15_0___16_9_C,V_dt_og_varmt,0___1,0_00___0_01__,2___3
13_0___14_9_C,V_dt_og_koldt,____4,0_00___0_01__,2___3
15_0___16_9_C,T_rt_og_varmt,0___1,50___100__,2___3
13_0___14_9_C,T_rt_og_varmt,____4,0_5___1__,2___3
13_0___14_9_C,T_rt_og_varmt,0___1,0_01___0_5__,0___1
13_0___14_9_C,T_rt_og_koldt,2___3,0_5___1__,0___1
13_0___14_9_C,T_rt_og_koldt,2___3,0_00___0_01__,0___1
13_0___14_9_C,T_rt_og_koldt,____4,0_01___0_5__,0___1
13_0___14_9_C,T_rt_og_koldt,0___1,0_00___0_01__,0___1
___13_0_C,T_rt_og_koldt,2___3,0_01___0_5__,0___1
___13_0_C,V_dt_og_koldt,____4,0_00___0_01__,____4
13_0___14_9_C,V_dt_og_koldt,0___1,50___100__,____4
13_0___14_9_C,T_rt_og_koldt,0___1,0_01___0_5__,0___1
15_0___16_9_C,T_rt_og_varmt,____4,0_00___0_01__,0___1
___13_0_C,T_rt_og_koldt,____4,0_00___0_01__,0___1
___13_0_C,V_dt_og_koldt,2___3,2___6__,____4
13_0___14_9_C,V_dt_og_koldt,0___1,0_00___0_01__,2___3
___13_0_C,T_rt_og_koldt,____4,1___2__,0___1
15_0___16_9_C,V_dt_og_varmt,____4,0_01___0_5__,____4
13_0___14_9_C,V_dt_og_koldt,____4,0_00___0_01__,2___3
15_0___16_9_C,V_dt_og_varmt,____4,0_00___0_01__,____4
13_0___14_9_C,T_rt_og_koldt,0___1,2___6__,0___1
13_0___14_9_C,V_dt_og_koldt,0___1,0_00___0_01__,____4
13_0___14_9_C,T_rt_og_koldt,____4,0_01___0_5__,2___3
15_0___16_9_C,V_dt_og_varmt,____4,0_00___0_01__,____4
15_0___16_9_C,T_rt_og_koldt,0___1,0_00___0_01__,0___1
13_0___14_9_C,T_rt_og_koldt,____4,0_00___0_01__,0___1
15_0___16_9_C,V_dt_og_varmt,2___3,50___100__,____4
13_0___14_9_C,T_rt_og_varmt,____4,0_00___0_01__,0___1
13_0___14_9_C,V_dt_og_varmt,2___3,2___6__,0___1
____17_0_C,T_rt_og_varmt,____4,0_00___0_01__,0___1
15_0___16_9_C,V_dt_og_koldt,____4,0_00___0_01__,2___3
13_0___14_9_C,T_rt_og_koldt,2___3,0_01___0_5__,0___1
___13_0_C,T_rt_og_koldt,0___1,0_00___0_01__,2___3
13_0___14_9_C,T_rt_og_koldt,____4,0_00___0_01__,0___1
15_0___16_9_C,V_dt_og_koldt,____4,0_00___0_01__,____4
____17_0_C,T_rt_og_varmt,____4,0_00___0_01__,0___1
13_0___14_9_C,V_dt_og_koldt,0___1,0_00___0_01__,2___3
13_0___14_9_C,V_dt_og_varmt,____4,2___6__,____4
13_0___14_9_C,V_dt_og_varmt,2___3,10___25__,2___3
13_0___14_9_C,T_rt_og_koldt,____4,0_00___0_01__,0___1
13_0___14_9_C,V_dt_og_varmt,____4,1___2__,____4
15_0___16_9_C,T_rt_og_koldt,2___3,0_00___0_01__,0___1
15_0___16_9_C,T_rt_og_varmt,0___1,0_00___0_01__,0___1
13_0___14_9_C,T_rt_og_koldt,2___3,0_01___0_5__,0___1
15_0___16_9_C,V_dt_og_varmt,____4,0_01___0_5__,2___3
___13_0_C,V_dt_og_koldt,2___3,1___2__,____4
13_0___14_9_C,T_rt_og_koldt,0___1,0_00___0_01__,0___1
13_0___14_9_C,V_dt_og_koldt,2___3,0_5___1__,2___3
15_0___16_9_C,V_dt_og_varmt,2___3,1___2__,____4
____17_0_C,V_dt_og_varmt,0___1,0_00___0_01__,2___3
____17_0_C,T_rt_og_varmt,____4,0_01___0_5__,0___1
15_0___16_9_C,T_rt_og_koldt,0___1,0_00___0_01__,0___1
___13_0_C,V_dt_og_koldt,0___1,0_00___0_01__,____4
___13_0_C,V_dt_og_koldt,2___3,0_00___0_01__,2___3
13_0___14_9_C,T_rt_og_koldt,____4,0_00___0_01__,0___1
____17_0_C,T_rt_og_varmt,2___3,0_00___0_01__,2___3
15_0___16_9_C,T_rt_og_varmt,0___1,0_01___0_5__,0___1
15_0___16_9_C,V_dt_og_varmt,____4,0_00___0_01__,____4
13_0___14_9_C,V_dt_og_varmt,2___3,0_00___0_01__,____4
