Attribute1,Attribute3,class
A11,A34,1
A12,A32,2
A14,A34,1
A11,A32,1
A11,A33,2
A14,A32,1
A14,A32,1
A12,A32,1
A14,A32,1
A12,A34,2
A12,A32,2
A11,A32,2
A12,A32,1
A11,A34,2
A11,A32,1
A11,A32,2
A14,A34,1
A11,A30,1
A12,A32,2
A14,A32,1
A14,A34,1
A11,A32,1
A11,A34,1
A12,A34,1
A14,A34,1
A11,A32,1
A14,A30,1
A13,A31,1
A12,A32,1
A11,A33,2
A12,A32,1
A11,A32,1
A12,A32,1
A14,A34,1
A13,A32,1
A12,A34,2
A14,A34,1
A13,A32,2
A13,A32,1
A12,A32,1
A14,A32,1
A12,A32,1
A12,A33,1
A11,A34,1
A11,A34,2
A14,A34,1
A14,A32,1
A11,A32,1
A14,A34,1
A14,A32,1
A12,A33,1
A12,A33,1
A14,A32,1
A14,A32,1
A12,A33,2
A14,A31,1
A12,A32,2
A14,A34,1
A13,A32,1
A11,A34,2
A12,A32,1
A12,A34,1
A12,A30,2
A12,A30,2
A14,A32,1
A14,A32,1
A14,A32,1
A12,A32,1
A14,A32,2
A14,A32,1
A14,A32,1
A14,A34,1
A11,A34,1
A12,A34,1
A11,A32,2
A11,A34,1
A11,A32,2
A12,A33,1
A14,A30,1
A12,A32,1
A14,A32,2
A14,A32,1
A14,A32,1
A11,A32,1
A11,A32,1
A14,A34,1
A12,A34,1
A12,A32,2
A11,A32,1
A11,A30,2
A14,A34,1
A11,A34,1
A14,A34,2
A13,A34,1
A12,A32,1
A12,A30,2
A14,A34,1
A12,A32,1
A12,A34,1
A12,A33,1
A14,A32,1
A12,A32,1
A14,A33,1
A12,A34,1
A14,A32,1
A12,A34,2
A14,A31,2
A12,A32,1
A11,A32,1
A12,A32,1
A12,A33,1
A13,A32,1
A12,A32,1
A14,A34,2
A11,A32,1
A14,A34,1
A11,A32,2
A11,A34,1
A11,A34,2
A12,A34,1
A11,A32,2
A14,A34,1
A14,A32,1
A13,A34,1
A12,A32,2
A11,A34,1
A11,A32,1
A12,A32,2
A12,A34,1
A11,A34,2
A12,A32,1
A11,A33,2
A14,A32,1
A14,A32,1
A14,A32,1
A14,A34,1
A14,A33,1
A12,A32,2
A12,A34,1
A13,A32,1
A13,A32,1
A12,A32,1
A11,A32,1
A11,A32,2
A14,A34,1
A12,A31,1
A11,A34,1
A14,A34,1
A11,A34,1
A14,A34,1
A14,A32,1
A14,A32,1
A13,A32,1
A12,A34,1
A12,A33,1
A11,A32,2
A11,A34,1
A11,A31,1
A12,A32,1
A14,A34,1
A14,A34,1
A14,A34,1
A14,A32,1
A12,A32,1
A14,A32,1
A14,A32,1
A11,A32,2
A12,A32,1
A14,A32,1
A12,A34,2
A11,A30,2
A14,A32,1
A12,A33,2
A12,A32,1
A11,A33,2
A14,A31,2
A11,A32,1
A11,A34,1
A14,A32,1
A11,A34,1
A14,A33,2
A12,A33,2
A11,A31,2
A14,A34,1
A12,A34,2
A14,A34,1
A12,A31,2
A12,A34,1
A11,A32,2
A12,A30,1
A14,A32,2
A12,A30,2
A12,A32,2
A14,A32,1
A12,A32,2
A12,A34,2
A14,A34,1
A12,A32,2
A12,A32,1
A12,A33,2
A14,A34,1
A11,A32,1
A14,A33,1
A11,A32,2
A14,A34,1
A11,A34,1
A14,A34,1
A12,A34,1
A11,A32,1
A14,A32,1
A14,A34,1
A14,A32,1
A11,A30,2
A13,A33,2
A14,A34,1
A12,A34,1
A11,A30,1
A13,A32,1
A11,A32,1
A14,A32,1
A12,A32,1
A11,A32,1
A14,A32,1
A14,A33,1
A14,A32,1
A14,A30,1
