Attribute2,Attribute8,Attribute16,Attribute17,Attribute18,Attribute19
6,4,2,A173,1,A192
48,2,1,A173,1,A191
12,2,1,A172,2,A191
42,2,1,A173,2,A191
24,3,2,A173,2,A191
36,2,1,A172,2,A192
24,3,1,A173,1,A191
36,2,1,A174,1,A192
12,2,1,A172,1,A191
30,4,2,A174,1,A191
12,3,1,A173,1,A191
48,3,1,A173,1,A191
12,1,1,A173,1,A192
24,4,2,A172,1,A191
15,2,1,A173,1,A191
24,4,1,A172,1,A191
24,4,2,A173,1,A191
30,2,3,A173,1,A191
24,4,1,A174,1,A192
24,3,1,A173,2,A192
9,4,3,A173,1,A192
6,2,1,A173,2,A191
10,1,2,A172,2,A191
12,3,1,A173,1,A191
10,2,2,A173,1,A191
6,1,1,A172,1,A192
6,4,1,A172,1,A191
12,3,2,A173,1,A191
7,3,1,A173,1,A191
60,3,2,A173,1,A192
18,3,1,A173,1,A192
24,2,1,A173,1,A191
18,2,2,A173,1,A192
12,4,1,A172,1,A191
12,4,1,A174,1,A192
45,4,2,A172,1,A191
48,1,1,A173,1,A192
18,4,1,A173,1,A191
10,2,1,A173,1,A192
9,4,1,A173,1,A191
30,4,1,A174,1,A191
12,3,1,A173,1,A192
18,2,1,A172,2,A192
30,1,2,A173,1,A191
48,4,2,A172,1,A191
11,4,2,A174,1,A191
36,4,1,A173,1,A191
6,1,1,A171,1,A192
11,1,2,A172,1,A191
12,4,1,A173,1,A191
24,4,1,A172,1,A191
27,1,2,A174,1,A192
12,3,1,A173,1,A191
18,2,1,A173,1,A192
36,4,2,A173,1,A192
6,1,1,A172,2,A191
12,2,1,A174,1,A192
36,2,2,A173,1,A191
18,3,1,A174,1,A191
36,4,2,A172,1,A192
9,2,1,A173,1,A192
15,4,2,A173,1,A192
36,4,1,A174,1,A192
48,2,1,A173,1,A192
24,4,1,A173,1,A192
27,4,4,A173,2,A192
12,2,1,A173,1,A191
12,4,1,A173,1,A191
36,4,1,A173,1,A192
36,4,1,A173,1,A191
36,1,1,A173,1,A191
7,4,2,A172,1,A192
8,3,2,A174,2,A192
42,2,2,A172,1,A191
36,4,1,A174,1,A192
12,4,2,A174,1,A191
42,4,1,A173,1,A191
11,2,1,A173,1,A191
54,2,1,A172,2,A191
30,2,1,A173,1,A191
24,1,2,A173,1,A192
15,4,1,A173,1,A192
18,3,1,A172,1,A191
24,4,1,A172,1,A192
10,3,1,A172,1,A191
12,4,2,A174,1,A192
18,4,2,A173,1,A191
36,1,1,A173,2,A192
18,4,1,A174,2,A192
12,4,2,A173,1,A191
12,4,1,A173,1,A191
12,4,1,A173,1,A191
12,4,1,A172,2,A191
24,4,2,A173,1,A191
12,4,1,A173,1,A192
54,3,1,A173,1,A192
12,4,1,A173,1,A191
18,4,1,A173,1,A191
36,4,1,A173,1,A191
20,3,2,A174,2,A192
24,4,1,A172,1,A191
36,4,1,A173,1,A191
6,3,1,A173,1,A191
9,4,1,A173,1,A192
12,2,1,A173,1,A192
24,2,2,A174,2,A192
18,2,2,A174,2,A192
12,2,1,A173,1,A191
24,1,1,A173,1,A192
14,1,1,A173,1,A192
6,1,2,A173,2,A191
15,4,1,A173,1,A192
18,3,1,A172,1,A191
36,4,2,A173,1,A192
12,3,1,A173,1,A191
48,4,1,A173,1,A192
42,4,1,A174,1,A192
10,2,2,A173,1,A191
33,1,2,A173,1,A191
12,3,1,A174,1,A192
21,3,2,A173,1,A192
24,4,2,A174,1,A192
12,3,1,A172,1,A191
10,4,2,A173,1,A192
18,4,1,A173,1,A191
12,4,2,A173,1,A191
12,4,1,A172,1,A191
12,4,1,A173,1,A191
12,4,2,A174,1,A192
12,3,2,A173,1,A191
48,1,1,A173,1,A191
36,4,1,A173,1,A192
15,2,2,A172,1,A191
18,4,2,A173,1,A191
60,2,1,A173,1,A192
12,4,2,A173,1,A192
27,2,2,A173,1,A191
12,4,1,A172,1,A191
15,4,3,A173,1,A192
12,2,1,A172,1,A192
6,2,1,A171,1,A191
36,4,1,A174,1,A192
27,3,1,A174,1,A191
18,2,1,A173,1,A191
21,4,1,A173,1,A192
48,4,1,A173,1,A191
6,1,2,A173,1,A192
12,4,2,A173,1,A192
36,3,2,A173,1,A191
18,4,2,A173,1,A191
6,2,1,A173,2,A192
10,1,1,A173,1,A192
36,4,1,A173,1,A191
24,2,1,A173,1,A191
24,4,1,A174,1,A192
12,2,1,A173,1,A191
9,3,2,A173,2,A191
12,4,1,A172,1,A191
24,2,2,A173,1,A192
6,1,2,A172,2,A191
24,3,1,A173,2,A192
18,4,2,A173,1,A191
15,4,2,A173,1,A192
10,2,1,A174,1,A192
36,4,1,A173,1,A191
6,1,1,A173,1,A192
18,4,1,A173,1,A191
11,4,1,A173,1,A191
24,2,1,A173,1,A192
24,4,2,A173,1,A192
15,4,2,A173,2,A191
12,4,1,A173,1,A192
24,3,1,A174,1,A192
8,4,1,A173,1,A191
21,2,2,A173,1,A191
30,4,1,A174,1,A192
12,2,1,A173,1,A191
6,4,2,A173,1,A191
12,4,2,A174,2,A192
21,4,2,A173,1,A191
36,1,2,A173,1,A191
36,2,2,A174,1,A192
21,4,2,A172,2,A191
24,4,1,A173,1,A192
18,4,1,A173,2,A192
15,4,2,A173,1,A191
9,2,1,A174,2,A192
16,2,3,A171,1,A192
12,4,1,A173,1,A191
18,1,2,A173,1,A192
24,2,3,A174,1,A192
48,4,1,A172,2,A191
27,4,1,A173,2,A192
6,2,1,A173,1,A191
45,4,1,A173,1,A191
9,2,2,A174,1,A192
6,1,2,A173,1,A192
12,4,4,A173,1,A191
24,4,1,A173,1,A192
18,4,1,A174,1,A192
9,4,2,A173,1,A192
12,4,1,A172,1,A191
27,3,2,A173,1,A191
12,4,1,A173,1,A191
12,4,2,A172,2,A191
30,3,3,A174,2,A192
12,4,3,A173,1,A192
12,4,1,A173,1,A191
24,2,1,A172,1,A191
12,3,1,A173,1,A191
9,1,2,A173,2,A191
36,2,1,A172,1,A192
27,2,2,A173,1,A192
30,4,1,A174,1,A192
36,4,1,A173,1,A192
6,1,2,A172,1,A191
18,3,1,A173,1,A192
36,2,1,A173,1,A192
24,2,1,A172,1,A191
10,2,1,A173,1,A192
12,4,1,A172,1,A191
12,4,1,A173,1,A192
12,4,2,A173,1,A191
24,4,2,A173,2,A192
15,3,1,A173,1,A192
36,4,2,A173,1,A191
48,1,2,A173,1,A192
12,4,1,A174,1,A192
9,4,1,A173,1,A191
24,4,1,A173,1,A191
36,4,1,A173,1,A191
9,2,1,A172,1,A191
12,3,1,A173,1,A191
18,4,1,A172,1,A191
4,2,3,A172,2,A191
24,4,1,A174,2,A191
6,1,1,A171,1,A192
21,4,2,A172,1,A191
12,4,2,A173,1,A191
30,1,1,A173,2,A191
24,4,1,A173,1,A191
6,3,1,A173,2,A191
48,3,2,A173,2,A191
12,3,2,A173,1,A191
12,4,1,A172,2,A191
24,4,1,A173,1,A192
12,4,3,A173,1,A191
6,4,1,A173,1,A191
24,2,1,A173,1,A191
18,3,1,A173,1,A191
6,3,2,A172,1,A192
12,1,1,A172,1,A191
30,4,1,A173,1,A191
24,2,2,A173,1,A191
9,2,1,A173,1,A192
60,1,1,A172,1,A191
24,4,2,A172,1,A191
12,4,1,A173,1,A191
15,1,1,A173,1,A192
11,4,3,A172,1,A191
12,2,1,A173,1,A191
24,4,1,A173,1,A191
18,2,3,A174,1,A192
12,2,3,A172,1,A191
10,3,2,A172,2,A191
15,4,1,A173,2,A191
36,4,2,A173,1,A191
24,4,1,A173,1,A192
14,1,1,A174,1,A192
24,4,2,A173,1,A191
18,4,1,A173,1,A191
12,3,1,A173,1,A192
48,4,1,A174,1,A192
48,4,2,A173,1,A191
30,1,1,A172,1,A192
9,1,1,A173,2,A191
18,2,2,A173,1,A191
12,2,1,A172,1,A192
6,1,1,A173,1,A191
24,4,1,A174,1,A192
15,3,2,A173,1,A192
12,4,1,A173,1,A191
18,4,1,A172,1,A191
15,4,1,A173,1,A191
24,4,1,A173,1,A192
47,1,1,A172,1,A192
48,4,1,A173,2,A191
48,2,1,A174,1,A192
12,4,2,A173,1,A192
24,4,1,A173,1,A191
12,2,1,A173,1,A192
36,1,1,A174,1,A192
24,2,2,A174,2,A192
42,4,1,A173,1,A191
48,4,2,A174,2,A191
48,1,1,A173,1,A192
12,1,1,A173,1,A191
10,4,1,A172,1,A191
18,3,1,A173,1,A192
21,3,2,A173,1,A192
6,1,1,A171,1,A192
36,4,1,A173,1,A192
24,4,2,A172,2,A191
10,4,2,A173,1,A192
48,2,1,A173,1,A191
6,4,1,A173,1,A191
30,2,1,A172,1,A191
12,4,1,A172,1,A192
8,3,1,A173,1,A191
9,4,1,A172,1,A191
48,3,1,A171,1,A192
24,4,1,A173,1,A191
24,2,1,A173,1,A191
12,2,1,A172,1,A191
4,1,1,A172,2,A191
36,4,1,A173,1,A191
12,2,1,A172,2,A191
24,1,1,A172,1,A192
12,4,2,A173,1,A191
15,1,2,A172,1,A191
