Attribute2,Attribute19,class
6,A192,1
48,A191,2
12,A191,1
42,A191,1
24,A191,2
36,A192,1
24,A191,1
36,A192,1
12,A191,1
30,A191,2
12,A191,2
48,A191,2
12,A192,1
24,A191,2
15,A191,1
24,A191,2
24,A191,1
30,A191,1
24,A192,2
24,A192,1
9,A192,1
6,A191,1
10,A191,1
12,A191,1
10,A191,1
6,A192,1
6,A191,1
12,A191,1
7,A191,1
60,A192,2
18,A192,1
24,A191,1
18,A192,1
12,A191,1
12,A192,1
45,A191,2
48,A192,1
18,A191,2
10,A192,1
9,A191,1
30,A191,1
12,A192,1
18,A192,1
30,A191,1
48,A191,2
11,A191,1
36,A191,1
6,A192,1
11,A191,1
12,A191,1
24,A191,1
27,A192,1
12,A191,1
18,A192,1
36,A192,2
6,A191,1
12,A192,2
36,A191,1
18,A191,1
36,A192,2
9,A192,1
15,A192,1
36,A192,2
48,A192,2
24,A192,1
27,A192,1
12,A191,1
12,A191,1
36,A192,2
36,A191,1
36,A191,1
7,A192,1
8,A192,1
42,A191,1
36,A192,2
12,A191,1
42,A191,2
11,A191,1
54,A191,1
30,A191,1
24,A192,2
15,A192,1
18,A191,1
24,A192,1
10,A191,1
12,A192,1
18,A191,1
36,A192,2
18,A192,1
12,A191,2
12,A191,1
12,A191,1
12,A191,2
24,A191,1
12,A192,1
54,A192,2
12,A191,1
18,A191,1
36,A191,1
20,A192,1
24,A191,1
36,A191,1
6,A191,1
9,A192,1
12,A192,1
24,A192,2
18,A192,2
12,A191,1
24,A192,1
14,A192,1
6,A191,1
15,A192,1
18,A191,1
36,A192,2
12,A191,1
48,A192,1
42,A192,2
10,A191,1
33,A191,2
12,A192,1
21,A192,2
24,A192,1
12,A191,1
10,A192,1
18,A191,2
12,A191,1
12,A191,1
12,A191,2
12,A192,1
12,A191,2
48,A191,1
36,A192,2
15,A191,1
18,A191,1
60,A192,1
12,A192,1
27,A191,1
12,A191,2
15,A192,1
12,A192,1
6,A191,1
36,A192,1
27,A191,1
18,A191,2
21,A192,1
48,A191,1
6,A192,1
12,A192,1
36,A191,1
18,A191,1
6,A192,1
10,A192,1
36,A191,1
24,A191,1
24,A192,1
12,A191,2
9,A191,1
12,A191,1
24,A192,1
6,A191,1
24,A192,1
18,A191,1
15,A192,1
10,A192,1
36,A191,1
6,A192,1
18,A191,2
11,A191,1
24,A192,1
24,A192,2
15,A191,2
12,A192,1
24,A192,2
8,A191,1
21,A191,2
30,A192,2
12,A191,1
6,A191,1
12,A192,1
21,A191,1
36,A191,2
36,A192,2
21,A191,2
24,A192,1
18,A192,2
15,A191,1
9,A192,2
16,A192,1
12,A191,2
18,A192,1
24,A192,2
48,A191,2
27,A192,2
6,A191,1
45,A191,2
9,A192,2
6,A192,1
12,A191,2
24,A192,1
18,A192,2
