Attribute1,Attribute4,Attribute8,Attribute9,Attribute10,Attribute12,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute20
A11,A43,4,A93,A101,A121,A143,A152,2,A173,1,A201
A12,A43,2,A92,A101,A121,A143,A152,1,A173,1,A201
A14,A46,2,A93,A101,A121,A143,A152,1,A172,2,A201
A11,A42,2,A93,A103,A122,A143,A153,1,A173,2,A201
A11,A40,3,A93,A101,A124,A143,A153,2,A173,2,A201
A14,A46,2,A93,A101,A124,A143,A153,1,A172,2,A201
A14,A42,3,A93,A101,A122,A143,A152,1,A173,1,A201
A12,A41,2,A93,A101,A123,A143,A151,1,A174,1,A201
A14,A43,2,A91,A101,A121,A143,A152,1,A172,1,A201
A12,A40,4,A94,A101,A123,A143,A152,2,A174,1,A201
A12,A40,3,A92,A101,A123,A143,A151,1,A173,1,A201
A11,A49,3,A92,A101,A122,A143,A151,1,A173,1,A201
A12,A43,1,A92,A101,A123,A143,A152,1,A173,1,A201
A11,A40,4,A93,A101,A123,A143,A152,2,A172,1,A201
A11,A40,2,A92,A101,A123,A143,A151,1,A173,1,A201
A11,A43,4,A92,A101,A123,A143,A152,1,A172,1,A201
A14,A43,4,A93,A101,A122,A143,A152,2,A173,1,A201
A11,A49,2,A93,A101,A123,A141,A152,3,A173,1,A201
A12,A41,4,A92,A101,A124,A143,A153,1,A174,1,A201
A14,A43,3,A93,A101,A123,A143,A152,1,A173,2,A201
A14,A40,4,A93,A101,A123,A143,A152,3,A173,1,A201
A11,A43,2,A93,A101,A121,A143,A151,1,A173,2,A201
A11,A40,1,A93,A101,A121,A143,A151,2,A172,2,A202
A12,A41,3,A93,A101,A122,A143,A152,1,A173,1,A201
A14,A42,2,A94,A101,A123,A143,A152,2,A173,1,A202
A11,A42,1,A93,A101,A121,A141,A152,1,A172,1,A201
A14,A43,4,A94,A101,A123,A143,A152,1,A172,1,A201
A13,A43,3,A92,A101,A121,A143,A151,2,A173,1,A201
A12,A43,3,A93,A103,A121,A143,A152,1,A173,1,A201
A11,A49,3,A93,A101,A124,A143,A152,2,A173,1,A201
A12,A49,3,A94,A101,A121,A141,A152,1,A173,1,A201
A11,A42,2,A93,A101,A123,A142,A152,1,A173,1,A201
A12,A40,2,A93,A101,A123,A143,A152,2,A173,1,A201
A14,A49,4,A93,A101,A124,A143,A151,1,A172,1,A201
A13,A42,4,A92,A101,A122,A141,A152,1,A174,1,A201
A12,A43,4,A93,A101,A122,A143,A152,2,A172,1,A201
A14,A46,1,A93,A101,A124,A141,A153,1,A173,1,A201
A13,A43,4,A93,A102,A121,A142,A152,1,A173,1,A201
A13,A44,2,A93,A101,A123,A143,A152,1,A173,1,A201
A12,A43,4,A93,A101,A121,A143,A152,1,A173,1,A201
A14,A43,4,A93,A101,A123,A141,A152,1,A174,1,A201
A12,A43,3,A91,A101,A123,A143,A152,1,A173,1,A201
A12,A45,2,A93,A101,A121,A143,A152,1,A172,2,A201
A11,A41,1,A94,A101,A123,A143,A151,2,A173,1,A201
A11,A41,4,A92,A101,A124,A142,A153,2,A172,1,A201
A14,A40,4,A92,A101,A123,A143,A152,2,A174,1,A201
A14,A43,4,A93,A101,A123,A143,A152,1,A173,1,A201
A11,A41,1,A92,A101,A122,A143,A151,1,A171,1,A201
A14,A40,1,A93,A101,A122,A143,A152,2,A172,1,A201
A14,A43,4,A92,A102,A121,A143,A152,1,A173,1,A201
A12,A42,4,A93,A101,A122,A141,A152,1,A172,1,A201
A12,A41,1,A93,A101,A123,A143,A152,2,A174,1,A201
A14,A43,3,A93,A101,A123,A143,A152,1,A173,1,A201
A14,A41,2,A93,A101,A122,A143,A152,1,A173,1,A201
A12,A40,4,A93,A101,A124,A141,A153,2,A173,1,A201
A14,A40,1,A93,A103,A121,A142,A152,1,A172,2,A201
A12,A43,2,A93,A101,A124,A143,A152,1,A174,1,A201
A14,A43,2,A92,A101,A123,A142,A152,2,A173,1,A201
A13,A40,3,A92,A101,A123,A143,A152,1,A174,1,A201
A11,A42,4,A92,A102,A124,A143,A151,2,A172,1,A201
A12,A49,2,A94,A101,A121,A141,A152,1,A173,1,A201
A12,A43,4,A93,A103,A121,A143,A152,2,A173,1,A201
A12,A49,4,A93,A101,A124,A143,A153,1,A174,1,A201
A12,A49,2,A93,A101,A123,A143,A152,1,A173,1,A201
A14,A43,4,A92,A101,A122,A143,A152,1,A173,1,A201
A14,A45,4,A93,A101,A122,A143,A152,4,A173,2,A201
A14,A43,2,A92,A101,A123,A141,A152,1,A173,1,A201
A12,A40,4,A94,A101,A121,A143,A152,1,A173,1,A201
A14,A46,4,A93,A101,A124,A142,A153,1,A173,1,A201
A14,A43,4,A92,A101,A123,A143,A152,1,A173,1,A201
A14,A41,1,A92,A101,A122,A141,A152,1,A173,1,A201
A14,A43,4,A93,A101,A122,A143,A151,2,A172,1,A201
A11,A410,3,A93,A101,A124,A141,A153,2,A174,2,A201
A12,A49,2,A92,A101,A121,A141,A152,2,A172,1,A201
A11,A46,4,A93,A101,A124,A143,A152,1,A174,1,A201
A11,A41,4,A93,A101,A124,A143,A153,2,A174,1,A201
A11,A43,4,A93,A101,A123,A143,A152,1,A173,1,A201
A12,A43,2,A93,A101,A122,A143,A152,1,A173,1,A201
A14,A41,2,A93,A101,A122,A143,A152,1,A172,2,A201
A12,A42,2,A94,A101,A122,A143,A152,1,A173,1,A201
A14,A43,1,A92,A101,A123,A143,A152,2,A173,1,A201
A14,A43,4,A93,A101,A122,A142,A152,1,A173,1,A201
A14,A49,3,A92,A101,A122,A143,A151,1,A172,1,A201
A11,A410,4,A92,A103,A121,A143,A152,1,A172,1,A201
A11,A43,3,A93,A101,A121,A143,A152,1,A172,1,A201
A14,A49,4,A92,A103,A121,A143,A152,2,A174,1,A201
A12,A42,4,A92,A101,A122,A143,A152,2,A173,1,A201
A12,A46,1,A93,A101,A124,A143,A153,1,A173,2,A201
A11,A40,4,A93,A101,A123,A143,A152,1,A174,2,A201
A11,A45,4,A93,A101,A121,A143,A152,2,A173,1,A201
A14,A43,4,A93,A101,A121,A143,A152,1,A173,1,A201
A11,A41,4,A93,A101,A121,A143,A152,1,A173,1,A201
A14,A43,4,A92,A101,A122,A141,A152,1,A172,2,A201
A13,A42,4,A93,A102,A124,A143,A151,2,A173,1,A201
A12,A40,4,A93,A101,A121,A143,A152,1,A173,1,A201
A12,A49,3,A93,A101,A124,A143,A151,1,A173,1,A201
A14,A46,4,A92,A101,A123,A143,A152,1,A173,1,A201
A12,A49,4,A93,A101,A123,A143,A152,1,A173,1,A201
A12,A43,4,A93,A101,A121,A143,A152,1,A173,1,A201
A12,A41,3,A93,A101,A122,A141,A151,2,A174,2,A201
A14,A40,4,A94,A101,A121,A143,A151,1,A172,1,A201
A12,A43,4,A93,A101,A123,A143,A151,1,A173,1,A201
A14,A43,3,A92,A101,A121,A143,A152,1,A173,1,A201
A12,A42,4,A93,A101,A123,A143,A151,1,A173,1,A201
A14,A41,2,A94,A101,A123,A143,A151,1,A173,1,A201
A12,A410,2,A93,A102,A123,A143,A152,2,A174,2,A201
A14,A40,2,A93,A101,A124,A141,A152,2,A174,2,A201
A12,A40,2,A93,A101,A123,A143,A152,1,A173,1,A201
A11,A42,1,A92,A101,A122,A143,A152,1,A173,1,A202
A12,A49,1,A94,A101,A121,A143,A152,1,A173,1,A201
A12,A49,1,A91,A101,A123,A141,A152,2,A173,2,A201
A13,A46,4,A92,A101,A122,A143,A151,1,A173,1,A201
A12,A40,3,A93,A101,A121,A143,A151,1,A172,1,A201
A14,A40,4,A92,A101,A121,A142,A152,2,A173,1,A201
A11,A43,3,A94,A101,A121,A143,A152,1,A173,1,A201
A14,A43,4,A93,A101,A121,A143,A152,1,A173,1,A201
A11,A43,4,A92,A101,A123,A143,A152,1,A174,1,A201
A11,A42,2,A92,A102,A121,A143,A151,2,A173,1,A202
A11,A42,1,A92,A101,A123,A143,A152,2,A173,1,A201
A12,A40,3,A91,A101,A123,A143,A152,1,A174,1,A201
A11,A43,3,A92,A101,A121,A143,A152,2,A173,1,A201
A14,A41,4,A92,A101,A123,A143,A151,2,A174,1,A201
A14,A42,3,A93,A101,A121,A143,A151,1,A172,1,A201
A13,A40,4,A93,A101,A124,A143,A153,2,A173,1,A201
A12,A42,4,A92,A101,A121,A143,A151,1,A173,1,A201
A11,A40,4,A93,A101,A122,A143,A152,2,A173,1,A201
A11,A43,4,A94,A101,A121,A143,A152,1,A172,1,A201
A12,A45,4,A93,A101,A123,A143,A152,1,A173,1,A201
A12,A41,4,A93,A101,A123,A143,A152,2,A174,1,A201
A11,A40,3,A92,A102,A121,A143,A152,2,A173,1,A201
A12,A40,1,A92,A101,A123,A143,A152,1,A173,1,A201
A11,A46,4,A93,A101,A122,A142,A152,1,A173,1,A201
A14,A42,2,A93,A101,A122,A141,A152,2,A172,1,A201
A14,A42,4,A93,A101,A124,A141,A153,2,A173,1,A201
A14,A43,2,A92,A101,A121,A143,A152,1,A173,1,A201
A14,A43,4,A92,A101,A121,A143,A152,2,A173,1,A201
A14,A41,2,A93,A101,A123,A143,A152,2,A173,1,A201
A12,A43,4,A93,A101,A121,A143,A152,1,A172,1,A201
A12,A43,4,A93,A103,A121,A141,A152,3,A173,1,A201
A13,A43,2,A92,A101,A123,A143,A151,1,A172,1,A201
A13,A40,2,A94,A101,A121,A143,A152,1,A171,1,A202
A12,A43,4,A92,A101,A124,A143,A152,1,A174,1,A201
A11,A43,3,A93,A101,A123,A143,A152,1,A174,1,A201
A11,A42,2,A93,A101,A123,A143,A152,1,A173,1,A201
A14,A42,4,A92,A101,A122,A143,A152,1,A173,1,A201
A12,A49,4,A93,A101,A123,A143,A152,1,A173,1,A201
A11,A40,1,A92,A101,A124,A143,A152,2,A173,1,A201
A14,A40,4,A92,A101,A123,A143,A152,2,A173,1,A201
A11,A42,3,A93,A103,A122,A143,A152,2,A173,1,A201
A14,A43,4,A93,A101,A123,A143,A152,2,A173,1,A201
A14,A43,2,A93,A101,A124,A141,A153,1,A173,2,A201
A14,A43,1,A93,A101,A122,A143,A152,1,A173,1,A202
A13,A43,4,A93,A101,A123,A143,A152,1,A173,1,A201
A12,A41,2,A92,A101,A124,A143,A151,1,A173,1,A201
A12,A49,4,A93,A101,A123,A143,A151,1,A174,1,A201
A11,A42,2,A92,A101,A123,A143,A151,1,A173,1,A201
A11,A45,3,A93,A103,A121,A143,A152,2,A173,2,A202
A11,A48,4,A94,A101,A123,A141,A152,1,A172,1,A201
A12,A40,2,A93,A101,A123,A141,A152,2,A173,1,A201
A14,A43,1,A93,A101,A121,A143,A152,2,A172,2,A201
A14,A43,3,A93,A101,A121,A143,A152,1,A173,2,A201
A14,A40,4,A92,A101,A122,A143,A152,2,A173,1,A201
A14,A44,4,A93,A101,A122,A143,A152,2,A173,1,A201
A12,A40,2,A93,A101,A124,A141,A153,1,A174,1,A201
A14,A40,4,A93,A101,A122,A143,A152,1,A173,1,A201
A14,A42,1,A93,A101,A123,A143,A152,1,A173,1,A201
A11,A42,4,A92,A101,A123,A143,A152,1,A173,1,A201
A12,A42,4,A92,A101,A121,A143,A152,1,A173,1,A201
A14,A42,2,A92,A101,A122,A143,A151,1,A173,1,A201
A12,A49,4,A91,A101,A121,A143,A152,2,A173,1,A201
A11,A40,4,A93,A101,A123,A143,A151,2,A173,2,A201
A14,A42,4,A92,A101,A121,A143,A152,1,A173,1,A201
A12,A42,3,A92,A101,A122,A143,A152,1,A174,1,A201
A12,A43,4,A93,A103,A121,A143,A152,1,A173,1,A202
A11,A46,2,A93,A101,A122,A143,A152,2,A173,1,A201
A14,A41,4,A92,A101,A121,A141,A152,1,A174,1,A201
A11,A42,2,A91,A101,A123,A143,A152,1,A173,1,A201
A11,A43,4,A93,A101,A123,A143,A152,2,A173,1,A201
A14,A43,4,A93,A101,A123,A143,A151,2,A174,2,A201
A11,A40,4,A93,A101,A121,A143,A152,2,A173,1,A201
