A,B,D,F,G,H,I,J,K,L,M,Q,R,S,U,V,W,X,Y,Z
GP,F,U,A,4,4,at_home,teacher,course,mother,2,no,no,no,yes,no,no,4,3,4
GP,F,U,T,1,1,at_home,other,course,father,1,yes,no,no,yes,yes,no,5,3,3
GP,F,U,T,1,1,at_home,other,other,mother,1,no,no,no,yes,yes,no,4,3,2
GP,F,U,T,4,2,health,services,home,mother,1,yes,no,yes,yes,yes,yes,3,2,2
GP,F,U,T,3,3,other,other,home,father,1,yes,no,no,yes,no,no,4,3,2
GP,M,U,T,4,3,services,other,reputation,mother,1,yes,no,yes,yes,yes,no,5,4,2
GP,M,U,T,2,2,other,other,home,mother,1,no,no,no,yes,yes,no,4,4,4
GP,F,U,A,4,4,other,teacher,home,mother,2,yes,no,no,yes,no,no,4,1,4
GP,M,U,A,3,2,services,other,home,mother,1,yes,no,no,yes,yes,no,4,2,2
GP,M,U,T,3,4,other,other,home,mother,1,yes,no,yes,yes,yes,no,5,5,1
GP,F,U,T,4,4,teacher,health,reputation,mother,1,yes,no,no,yes,yes,no,3,3,3
GP,F,U,T,2,1,services,other,reputation,father,3,yes,no,yes,yes,yes,no,5,2,2
GP,M,U,T,4,4,health,services,course,father,1,yes,no,yes,yes,yes,no,4,3,3
GP,M,U,T,4,3,teacher,other,course,mother,2,yes,no,no,yes,yes,no,5,4,3
GP,M,U,A,2,2,other,other,home,other,1,yes,no,no,yes,yes,yes,4,5,2
GP,F,U,T,4,4,health,other,home,mother,1,yes,no,no,yes,yes,no,4,4,4
GP,F,U,T,4,4,services,services,reputation,mother,1,yes,no,yes,yes,yes,no,3,2,3
GP,F,U,T,3,3,other,other,reputation,mother,3,yes,no,yes,yes,no,no,5,3,2
GP,M,U,T,3,2,services,services,course,mother,1,yes,yes,yes,yes,yes,no,5,5,5
GP,M,U,T,4,3,health,other,home,father,1,no,no,yes,yes,yes,no,3,1,3
GP,M,U,T,4,3,teacher,other,reputation,mother,1,no,no,no,yes,yes,no,4,4,1
GP,M,U,T,4,4,health,health,other,father,1,yes,yes,no,yes,yes,no,5,4,2
GP,M,U,T,4,2,teacher,other,course,mother,1,no,no,yes,yes,yes,no,4,5,1
GP,M,U,T,2,2,other,other,reputation,mother,2,yes,no,yes,yes,yes,no,5,4,4
GP,F,R,T,2,4,services,health,course,mother,1,yes,no,yes,yes,yes,no,4,3,2
GP,F,U,T,2,2,services,services,home,mother,1,yes,no,no,yes,yes,no,1,2,2
GP,M,U,T,2,2,other,other,home,mother,1,yes,no,no,yes,yes,no,4,2,2
GP,M,U,T,4,2,health,services,other,mother,1,no,no,no,yes,yes,no,2,2,4
GP,M,U,A,3,4,services,other,home,mother,1,yes,yes,yes,yes,yes,no,5,3,3
GP,M,U,T,4,4,teacher,teacher,home,mother,1,yes,yes,yes,yes,yes,yes,4,4,5
GP,M,U,T,4,4,health,services,home,mother,1,yes,yes,no,yes,yes,no,5,4,2
GP,M,U,T,4,4,services,services,reputation,mother,2,yes,no,yes,yes,yes,no,4,3,1
GP,M,R,T,4,3,teacher,at_home,course,mother,1,yes,no,yes,yes,yes,yes,4,5,2
GP,M,U,T,3,3,other,other,course,mother,1,no,no,yes,yes,yes,no,5,3,2
GP,M,U,T,3,2,other,other,home,mother,1,yes,no,no,yes,yes,no,5,4,3
GP,F,U,T,2,3,other,other,other,father,2,yes,no,yes,yes,no,no,3,5,1
GP,M,U,T,4,3,teacher,services,home,mother,1,yes,no,yes,yes,yes,no,5,4,3
GP,M,R,A,4,4,other,teacher,reputation,mother,2,yes,no,yes,yes,yes,yes,2,4,3
GP,F,R,T,3,4,services,health,course,mother,1,yes,no,yes,yes,yes,no,4,3,2
GP,F,R,T,2,2,at_home,other,reputation,mother,1,yes,no,yes,yes,no,no,4,3,1
GP,F,U,T,2,2,other,other,home,mother,2,yes,no,yes,yes,yes,yes,3,3,3
GP,M,U,T,4,4,teacher,other,home,other,1,yes,no,no,yes,yes,yes,5,4,3
GP,M,U,T,4,4,services,teacher,course,father,1,yes,no,yes,yes,yes,no,4,3,3
GP,M,U,T,2,2,services,services,course,father,1,yes,no,no,yes,yes,no,5,4,1
GP,F,U,T,2,2,other,at_home,course,father,2,no,no,yes,yes,yes,no,4,3,3
GP,F,U,A,4,3,other,other,course,mother,1,yes,yes,yes,yes,yes,yes,5,2,2
