A,D,G,H,I,K,M,N,Q,R,T,U,V,Z
GP,U,4,4,at_home,course,2,2,no,no,yes,yes,no,4
GP,U,1,1,at_home,course,1,2,yes,no,no,yes,yes,3
GP,U,1,1,at_home,other,1,2,no,no,yes,yes,yes,2
GP,U,4,2,health,home,1,3,yes,no,yes,yes,yes,2
GP,U,3,3,other,home,1,2,yes,no,yes,yes,no,2
GP,U,4,3,services,reputation,1,2,yes,no,yes,yes,yes,2
GP,U,2,2,other,home,1,2,no,no,yes,yes,yes,4
GP,U,4,4,other,home,2,2,yes,no,yes,yes,no,4
GP,U,3,2,services,home,1,2,yes,no,yes,yes,yes,2
GP,U,3,4,other,home,1,2,yes,no,yes,yes,yes,1
GP,U,4,4,teacher,reputation,1,2,yes,no,yes,yes,yes,3
GP,U,2,1,services,reputation,3,3,yes,no,yes,yes,yes,2
GP,U,4,4,health,course,1,1,yes,no,yes,yes,yes,3
GP,U,4,3,teacher,course,2,2,yes,no,yes,yes,yes,3
GP,U,2,2,other,home,1,3,yes,no,yes,yes,yes,2
GP,U,4,4,health,home,1,1,yes,no,yes,yes,yes,4
GP,U,4,4,services,reputation,1,3,yes,no,yes,yes,yes,3
GP,U,3,3,other,reputation,3,2,yes,no,yes,yes,no,2
GP,U,3,2,services,course,1,1,yes,yes,yes,yes,yes,5
GP,U,4,3,health,home,1,1,no,no,yes,yes,yes,3
GP,U,4,3,teacher,reputation,1,2,no,no,yes,yes,yes,1
GP,U,4,4,health,other,1,1,yes,yes,yes,yes,yes,2
GP,U,4,2,teacher,course,1,2,no,no,yes,yes,yes,1
GP,U,2,2,other,reputation,2,2,yes,no,yes,yes,yes,4
GP,R,2,4,services,course,1,3,yes,no,yes,yes,yes,2
GP,U,2,2,services,home,1,1,yes,no,no,yes,yes,2
GP,U,2,2,other,home,1,1,yes,no,yes,yes,yes,2
GP,U,4,2,health,other,1,1,no,no,yes,yes,yes,4
GP,U,3,4,services,home,1,2,yes,yes,yes,yes,yes,3
GP,U,4,4,teacher,home,1,2,yes,yes,yes,yes,yes,5
GP,U,4,4,health,home,1,2,yes,yes,no,yes,yes,2
GP,U,4,4,services,reputation,2,2,yes,no,yes,yes,yes,1
GP,R,4,3,teacher,course,1,2,yes,no,yes,yes,yes,2
GP,U,3,3,other,course,1,2,no,no,no,yes,yes,2
GP,U,3,2,other,home,1,1,yes,no,no,yes,yes,3
GP,U,2,3,other,other,2,1,yes,no,yes,yes,no,1
GP,U,4,3,teacher,home,1,3,yes,no,yes,yes,yes,3
GP,R,4,4,other,reputation,2,3,yes,no,yes,yes,yes,3
GP,R,3,4,services,course,1,3,yes,no,yes,yes,yes,2
GP,R,2,2,at_home,reputation,1,1,yes,no,yes,yes,no,1
GP,U,2,2,other,home,2,2,yes,no,no,yes,yes,3
GP,U,4,4,teacher,home,1,1,yes,no,no,yes,yes,3
GP,U,4,4,services,course,1,2,yes,no,yes,yes,yes,3
GP,U,2,2,services,course,1,1,yes,no,yes,yes,yes,1
GP,U,2,2,other,course,2,2,no,no,yes,yes,yes,3
GP,U,4,3,other,course,1,2,yes,yes,yes,yes,yes,2
GP,U,3,3,other,home,1,2,yes,no,yes,yes,yes,5
GP,U,4,3,health,reputation,1,4,no,no,yes,yes,yes,2
GP,U,4,2,teacher,home,1,2,yes,no,yes,yes,no,3
GP,U,4,4,services,other,1,2,yes,no,no,yes,yes,4
GP,U,2,2,services,course,3,2,yes,no,yes,yes,yes,3
GP,U,4,2,health,other,1,2,yes,no,yes,yes,yes,3
GP,U,4,2,health,other,2,1,no,no,yes,yes,no,5
GP,U,4,4,services,course,1,1,yes,no,yes,yes,yes,4
GP,U,3,3,other,other,1,1,no,no,yes,yes,yes,4
GP,U,2,1,other,other,1,2,no,no,yes,yes,yes,4
GP,U,4,3,services,reputation,1,2,yes,no,yes,yes,yes,2
GP,U,4,4,teacher,reputation,1,2,yes,no,yes,yes,no,2
GP,U,1,2,other,home,1,2,yes,no,yes,yes,yes,2
GP,U,4,2,services,course,1,2,yes,yes,yes,yes,yes,3
GP,R,4,4,health,other,1,2,yes,no,yes,yes,no,4
GP,U,1,1,services,course,4,1,yes,no,no,yes,yes,5
GP,U,1,2,other,reputation,1,2,no,no,yes,yes,yes,3
GP,U,4,3,teacher,home,1,3,yes,no,yes,yes,yes,4
GP,U,4,3,services,reputation,1,2,no,no,yes,yes,yes,4
GP,U,4,3,teacher,course,3,2,yes,no,yes,yes,yes,3
GP,U,4,4,other,reputation,1,4,yes,no,no,yes,yes,3
GP,U,3,1,services,course,1,4,yes,no,yes,yes,yes,3
GP,R,2,2,health,reputation,2,2,yes,no,yes,yes,yes,3
GP,R,3,1,other,reputation,2,4,yes,no,no,yes,yes,2
GP,U,3,1,other,reputation,2,4,yes,no,yes,yes,yes,2
GP,U,4,2,other,course,1,4,no,no,yes,yes,yes,3
GP,R,1,1,other,reputation,1,2,yes,no,no,yes,yes,4
GP,U,3,1,other,reputation,1,1,no,no,yes,yes,no,2
GP,U,3,3,other,home,1,2,yes,no,yes,yes,yes,3
GP,U,4,3,teacher,home,1,2,yes,no,yes,yes,yes,3
GP,U,4,0,teacher,course,2,4,no,no,yes,yes,yes,3
GP,U,2,2,other,reputation,1,4,no,no,yes,yes,yes,3
GP,U,2,1,other,home,2,1,yes,no,yes,no,yes,1
GP,U,3,4,at_home,course,1,2,yes,no,yes,yes,yes,3
GP,U,2,3,other,course,1,1,yes,no,no,yes,yes,2
GP,U,2,3,other,home,1,3,no,no,no,yes,yes,2
GP,U,3,2,services,reputation,1,2,yes,no,yes,yes,yes,4
GP,U,2,2,services,home,2,2,no,yes,yes,yes,yes,3
GP,U,1,1,other,home,1,2,yes,no,no,yes,yes,2
GP,U,4,4,services,reputation,2,2,no,no,yes,yes,yes,4
GP,U,2,2,at_home,course,1,2,yes,no,yes,yes,no,4
GP,U,4,2,other,reputation,1,3,yes,no,yes,yes,yes,3
GP,U,2,2,services,reputation,2,2,no,no,no,yes,yes,2
GP,U,4,4,teacher,reputation,1,2,yes,no,yes,yes,no,3
GP,U,3,3,other,home,1,3,yes,no,yes,yes,yes,3
GP,U,4,3,services,reputation,1,1,no,no,yes,yes,yes,5
GP,U,3,1,other,home,1,2,yes,no,yes,yes,no,3
GP,U,4,2,teacher,home,2,2,yes,no,yes,yes,yes,3
GP,U,2,2,services,reputation,1,4,yes,no,yes,yes,yes,4
GP,R,1,1,at_home,home,2,4,yes,yes,yes,yes,yes,2
GP,R,4,3,services,reputation,2,1,yes,yes,no,yes,yes,3
GP,U,2,1,other,course,1,2,yes,no,yes,yes,no,5
GP,U,4,4,other,reputation,1,1,no,no,no,yes,yes,4
GP,U,4,3,other,course,1,3,yes,no,yes,yes,yes,5
GP,U,4,4,services,other,1,1,yes,no,yes,yes,yes,5
GP,U,4,4,services,other,1,3,yes,no,yes,yes,yes,3
GP,U,4,4,services,course,1,1,yes,yes,no,yes,yes,3
GP,U,3,2,services,home,2,2,yes,no,yes,yes,yes,5
GP,U,3,4,services,course,1,2,yes,no,yes,yes,yes,4
GP,U,3,3,other,reputation,1,4,no,no,yes,yes,no,3
GP,U,2,2,other,course,1,4,yes,no,yes,yes,yes,2
GP,U,3,3,services,home,1,3,yes,no,yes,yes,yes,3
GP,R,4,4,other,home,4,4,yes,no,yes,yes,yes,5
GP,U,4,4,health,other,1,3,yes,no,yes,yes,yes,5
GP,U,4,4,teacher,course,1,1,no,no,yes,yes,yes,3
GP,R,3,3,services,reputation,1,3,yes,no,yes,yes,yes,2
GP,U,2,2,at_home,home,1,2,no,no,yes,yes,yes,2
GP,U,4,2,teacher,course,1,1,no,no,yes,yes,yes,2
GP,R,2,1,health,reputation,1,2,no,no,yes,yes,yes,2
GP,U,4,4,teacher,course,1,2,yes,no,yes,yes,yes,4
GP,U,4,4,other,reputation,2,2,yes,no,yes,yes,no,3
GP,U,3,3,other,home,2,1,no,no,yes,yes,yes,2
GP,R,1,3,other,course,3,2,yes,no,yes,yes,yes,4
GP,U,3,4,other,reputation,1,1,no,no,yes,yes,yes,3
GP,U,1,2,at_home,course,1,2,no,no,no,yes,yes,3
GP,U,2,2,services,home,1,4,yes,no,yes,yes,yes,4
GP,U,2,4,other,course,2,2,yes,no,yes,yes,yes,2
GP,U,4,4,health,course,1,1,yes,no,yes,yes,yes,4
GP,U,2,2,other,home,1,2,no,no,yes,yes,yes,4
GP,U,3,4,services,home,1,1,no,no,yes,yes,yes,5
GP,U,3,4,other,home,1,2,no,no,yes,yes,yes,2
GP,U,0,1,at_home,course,1,2,yes,no,no,no,no,2
GP,R,4,4,teacher,course,1,1,no,no,yes,yes,yes,5
GP,U,2,3,other,course,2,3,yes,no,no,yes,yes,3
GP,R,3,4,services,course,2,3,yes,no,yes,yes,yes,2
GP,U,2,1,services,reputation,1,2,yes,no,yes,no,yes,5
GP,U,2,1,other,course,3,1,yes,no,yes,yes,yes,2
